specimen_number,long_n25k,lat_n25k,replicate,elev_m_n
AHUC100004,-120.03158276086,37.4742761470842,rep1,575.46
AHUC100005,-119.907691244576,37.5271197274891,rep1,912.72
AHUC100006,-120.442966658715,38.0119964100707,rep1,542.08
AHUC100007,-119.331118737549,36.6213933385136,rep1,124.75
AHUC100008,-123.121966670708,39.0237265763218,rep1,223.06
AHUC100009,-123.533173332842,39.5139529599248,rep1,685.06
AHUC100010,-119.445809261947,36.6949232063769,rep1,113.4
CAS-BOT-BC95004,-121.205316938923,36.0679462201099,rep1,633.78
CDA40358,-119.444455595196,36.85831992839,rep1,326.84
CHSC14017,-122.13761065706,39.0729218361872,rep1,39.26
CHSC23125,-122.996480166057,37.9091725587067,rep1,0
CHSC24140,-122.981444884223,38.9526784559709,rep1,689.64
CHSC24930,-123.957376361495,41.8083677748078,rep1,435.54
CHSC26054,-117.001389,34.0387898420531,rep1,1136.93
CHSC26430,-123.891512830566,41.7435422936396,rep1,675.65
CHSC27517,-122.778268015745,38.9658608649872,rep1,1054.21
CHSC27541,-122.782207554717,38.968070884294,rep1,1037.16
CHSC27746,-120.384295118827,37.7818275676616,rep1,267.23
CHSC27799,-122.795667947163,38.940615566297,rep1,609.95
CHSC31076,-122.544289872361,38.3350475357891,rep1,377.85
CHSC31077,-121.508198926441,39.4441254634887,rep1,103.38
CHSC31306,-123.55317197827,39.8675102505919,rep1,787.51
CHSC32094,-121.336202019586,39.35094126844,rep1,355.52
CHSC35982,-121.702309164842,39.8036671875802,rep1,395.38
CHSC36121,-122.517915844451,38.970313629619,rep1,387.57
CHSC38460,-121.562159549302,39.896389281631,rep1,884.06
CHSC40119,-123.250228373279,39.0062169470617,rep1,375.92
CHSC4019,-121.719268948003,39.7314109835295,rep1,255.35
CHSC4065,-122.204416838847,40.2615925315566,rep1,106.41
CHSC43315,-121.724461156209,39.380783710306,rep1,26.61
CHSC47108,-120.191533027206,36.1595225263421,rep1,144.41
CHSC52401,-122.770278,38.836538253464,rep1,802.02
CHSC55499,-121.988476425257,40.5209003911612,rep1,538.97
CHSC55712,-122.726799473434,39.5142037561382,rep1,1705.88
CHSC56643,-122.667776271727,40.0161196175447,rep1,790.06
CHSC57470,-123.303410042472,38.4637995957751,rep1,-1000000
CHSC59547,-122.705109914064,38.8440749403312,rep1,864.75
CHSC59744,-120.471964625862,37.7729923489356,rep1,315.88
