ID1,ID2,lat,long,el
AHUC100004,rep1,37.4731823737543,-120.045608256045,657.04
AHUC100005,rep1,37.4594401892673,-120.062645866049,730.15
AHUC100006,rep1,38.0523933500007,-120.466629106811,478.47
AHUC100007,rep1,36.6821398314389,-119.401636759586,121.52
AHUC100008,rep1,39.0012891465933,-123.085629216344,256.2
AHUC100009,rep1,39.4906692068548,-123.789316604611,18.16
AHUC100010,rep1,36.8036194279642,-119.38091520326,242.1
CAS-BOT-BC95004,rep1,35.994497901089,-121.240199756699,309.97
CDA40358,rep1,36.8064361344243,-119.339126343843,409.3
CHSC14017,rep1,39.0152604042364,-122.359573797608,328.43
CHSC24140,rep1,38.9321595120693,-122.784578641035,644.32
CHSC24930,rep1,41.7848824072331,-124.213791387895,11.59
CHSC26054,rep1,34.0125414109843,-117.002290630435,967.78
CHSC26430,rep1,41.7286191895825,-123.888586393477,350.57
CHSC27517,rep1,38.940442868016,-122.784573036515,568.15
CHSC27541,rep1,38.9391235760549,-122.800352238482,562.76
CHSC27746,rep1,37.7101569814388,-120.211278068496,544.32
CHSC27799,rep1,38.9441354216019,-122.792943090932,541.35
CHSC31076,rep1,38.3526734206871,-122.570853581977,559.67
CHSC31077,rep1,39.5515158347964,-121.389103208589,329.8
CHSC31306,rep1,39.7028709076653,-123.497979415446,545.8
CHSC32094,rep1,39.399249305011,-121.34915327037,276.15
CHSC35982,rep1,39.8936861786237,-121.921614809189,86.84
CHSC36121,rep1,39.0111472552257,-122.363242191536,328.43
CHSC38460,rep1,39.7774196624953,-121.762789942045,194.75
CHSC40119,rep1,38.9417999046808,-123.311929879937,261.83
CHSC4019,rep1,39.7291650283179,-121.681381529456,338.62
CHSC4065,rep1,40.1630556556284,-122.265319215768,90.27
CHSC43315,rep1,39.267713925319,-121.806694001471,112.67
CHSC47108,rep1,36.0906244226168,-120.427882381838,317.52
CHSC52401,rep1,38.9097794905471,-122.785983374119,742.3
CHSC55499,rep1,40.4031768904131,-121.955468747344,412.28
CHSC55712,rep1,39.4967393836817,-122.496253547164,339.38
CHSC56643,rep1,39.8473968321248,-122.565179396799,238.19
CHSC57470,rep1,38.5558280064506,-123.307106815298,0.95
CHSC59547,rep1,39.0286973210086,-122.68505758099,631.73
CHSC59744,rep1,37.8160165041442,-120.316831219433,288.93
CHSC61985,rep1,34.3405133736777,-118.861776523199,385.9
CHSC62467,rep1,39.5507732540049,-121.373201567612,330.94
CHSC700,rep1,38.8920122144564,-121.292810948815,51.09
CHSC70018,rep1,36.8982389550802,-119.313166067223,649.45
CHSC70378,rep1,36.9318149752962,-121.018757372435,191.06
CHSC71117,rep1,39.0525311758721,-122.783933384644,403.74
CHSC77587,rep1,39.7849048205207,-122.59015525096,272.65
CHSC81274,rep1,39.4880664437155,-123.805475620775,0
CHSC88986,rep1,39.8649042967516,-121.886370490474,94.6
CHSC90100,rep1,38.9374264806611,-122.773534941526,667.34
CHSC90532,rep1,39.1686880319787,-122.594285031409,769.08
CHSC9270,rep1,39.9000010589725,-121.933830467625,81.69
CSUSB91437,rep1,34.2451388158409,-117.267294419771,1387.6
CSUSB91439,rep1,33.0857677276541,-116.658351468947,1137.93
CSUSB91441,rep1,33.8323658316659,-117.47685636684,356.63
CSUSB91442,rep1,33.9792473283182,-117.300741519124,593.82
CSUSB91443,rep1,33.9587288809206,-117.372926759259,298.08
CSUSB91444,rep1,33.7511198902202,-117.115096118763,518.91
DAV300326,rep1,39.0512453931574,-122.782816981718,403.74
DAV300327,rep1,38.4484825060182,-120.630763,677.45
DAV300330,rep1,34.2367651687326,-118.286228538776,550.8
DAV300331,rep1,33.7707111274294,-117.448191960156,463.07
DAV300333,rep1,36.9187516505848,-119.324925391826,403.74
DAV300334,rep1,35.4391988660869,-120.277328658537,512.11
DAV300336,rep1,38.8315989857096,-120.976521815458,306.94
DAV300337,rep1,38.5364459075048,-120.425238565275,1316.1
DAV300338,rep1,34.1857364370058,-117.678664509827,919.6
DAV300341,rep1,36.5644547999121,-119.214489698915,190.65
DAV300342,rep1,39.0371095055332,-122.73826639511,596.91
DAV300343,rep1,39.2256180617426,-121.777281874248,213.17
DAV300344,rep1,35.1936527889831,-119.868402040809,600.16
