ID1,ID2,lat,long,el
AHUC100004,rep1,37.47427615,-120.0315828,575.46
AHUC100005,rep1,37.52711973,-119.9076912,912.72
AHUC100006,rep1,38.01199641,-120.4429667,542.08
AHUC100007,rep1,36.62139334,-119.3311187,124.75
AHUC100008,rep1,39.02372658,-123.1219667,223.06
AHUC100009,rep1,39.51395296,-123.5331733,685.06
AHUC100010,rep1,36.69492321,-119.4458093,113.4
CAS-BOT-BC95004,rep1,36.06794622,-121.2053169,633.78
CDA40358,rep1,36.85831993,-119.4444556,326.84
CHSC14017,rep1,39.07292184,-122.1376107,39.26
CHSC23125,rep1,37.90917256,-122.9964802,0
CHSC24140,rep1,38.95267846,-122.9814449,689.64
CHSC24930,rep1,41.80836777,-123.9573764,435.54
CHSC26054,rep1,34.03878984,-117.001389,1136.93
CHSC26430,rep1,41.74354229,-123.8915128,675.65
CHSC27517,rep1,38.96586086,-122.778268,1054.21
CHSC27541,rep1,38.96807088,-122.7822076,1037.16
CHSC27746,rep1,37.78182757,-120.3842951,267.23
CHSC27799,rep1,38.94061557,-122.7956679,609.95
CHSC31076,rep1,38.33504754,-122.5442899,377.85
CHSC31077,rep1,39.44412546,-121.5081989,103.38
CHSC31306,rep1,39.86751025,-123.553172,787.51
CHSC32094,rep1,39.35094127,-121.336202,355.52
CHSC35982,rep1,39.80366719,-121.7023092,395.38
CHSC36121,rep1,38.97031363,-122.5179158,387.57
CHSC38460,rep1,39.89638928,-121.5621595,884.06
CHSC40119,rep1,39.00621695,-123.2502284,375.92
CHSC4019,rep1,39.73141098,-121.7192689,255.35
CHSC4065,rep1,40.26159253,-122.2044168,106.41
CHSC43315,rep1,39.38078371,-121.7244612,26.61
CHSC47108,rep1,36.15952253,-120.191533,144.41
CHSC52401,rep1,38.83653825,-122.770278,802.02
CHSC55499,rep1,40.52090039,-121.9884764,538.97
CHSC55712,rep1,39.51420376,-122.7267995,1705.88
CHSC56643,rep1,40.01611962,-122.6677763,790.06
CHSC59547,rep1,38.84407494,-122.7051099,864.75
CHSC59744,rep1,37.77299235,-120.4719646,315.88
CHSC61985,rep1,34.20553874,-118.9982064,32.09
CHSC62467,rep1,39.56662434,-121.3653605,547.97
CHSC700,rep1,39.04453812,-121.4452022,26.27
CHSC70018,rep1,36.8921573,-119.3278908,882.36
CHSC70378,rep1,37.00814339,-120.9825903,165.08
CHSC71117,rep1,39.22558012,-122.8439739,1167.94
CHSC77587,rep1,39.78554354,-122.5974198,405.11
CHSC81274,rep1,39.31438721,-123.7738134,134.96
CHSC88986,rep1,40.06599825,-121.7657871,445.28
CHSC90100,rep1,38.96192013,-122.7414857,603.22
CHSC90532,rep1,39.32726418,-122.573762,613.02
CHSC9270,rep1,39.80566535,-121.9227954,52.22
CSUSB91437,rep1,34.24561031,-117.2035779,1644.05
CSUSB91439,rep1,32.9325277,-116.7731078,229.74
CSUSB91441,rep1,33.84607518,-117.4157947,440.75
CSUSB91442,rep1,34.11953932,-117.4259614,427.8
CSUSB91443,rep1,33.84365435,-117.5425021,290.31
CSUSB91444,rep1,33.78265606,-117.1070768,751.9
DAV300326,rep1,39.0558924,-122.5277157,435.02
DAV300327,rep1,38.35447588,-120.7645745,392.94
DAV300330,rep1,34.31015381,-118.0972726,1022.44
DAV300331,rep1,33.85761942,-117.4876156,400.11
DAV300333,rep1,36.89243046,-119.2891728,290.82
DAV300334,rep1,35.63887648,-120.1585977,632.19
DAV300336,rep1,38.89562315,-121.1136293,276.1
DAV300337,rep1,38.48853667,-120.4506936,1239.91
DAV300338,rep1,34.07588111,-117.7585487,280.37
DAV300341,rep1,36.54926957,-119.2076285,136.12
DAV300342,rep1,39.16760227,-122.7836135,1232.38
DAV300343,rep1,39.13240387,-121.9301815,15.43
DAV300344,rep1,35.209909,-119.8591992,586.19
DAV300345,rep1,38.27298776,-123.064749,0
DAV300346,rep1,34.44376379,-119.666923,136.73
DAV300349,rep1,37.51158591,-121.7557006,790.78
DAV300351,rep1,38.37224927,-122.0245841,80.73
DAV300352,rep1,39.20031994,-122.5547234,789.84
DAV300353,rep1,38.5348504,-122.276963,373.17
DAV300354,rep1,38.60377309,-122.3598208,178.87
