specimen_number,long_n5k,lat_n5k,replicate,elev_m_n
AHUC100004,-120.038741698361,37.4865055571771,rep1,643.07
AHUC100005,-120.072185315744,37.4685236336469,rep1,702.42
AHUC100006,-120.466197512316,38.0366677875566,rep1,555.14
AHUC100007,-119.393259202004,36.6706507701734,rep1,123.91
AHUC100008,-123.103254883209,39.0025973074347,rep1,219.31
AHUC100009,-123.754982598967,39.5210110511311,rep1,58.34
AHUC100010,-119.359912817735,36.826263361842,rep1,198.8
CAS-BOT-BC95004,-121.247371319778,35.9898120421505,rep1,305.58
CDA40358,-119.375147651677,36.8238495523735,rep1,279.22
CHSC14017,-122.343552977522,39.0416640484401,rep1,376.46
CHSC23125,-123.054077603071,37.9983684733721,rep1,0
CHSC24140,-122.763296942612,38.9472975241714,rep1,641.23
CHSC24930,-124.180585211748,41.8097219351136,rep1,7.18
CHSC26054,-117.01262834208,34.024756982281,rep1,978.83
CHSC26430,-123.914802840724,41.7553898908981,rep1,528.15
CHSC27517,-122.81532830303,38.9085440527706,rep1,808.16
CHSC27541,-122.790188077226,38.9243399636115,rep1,674.02
CHSC27746,-120.236020671878,37.7058178361039,rep1,379.42
CHSC27799,-122.77486735252,38.9760278587983,rep1,1166.45
CHSC31076,-122.557673209148,38.3632254901466,rep1,219.54
CHSC31077,-121.42573224974,39.5733912707034,rep1,501.85
CHSC31306,-123.503433286406,39.7196910229816,rep1,470.16
CHSC32094,-121.306604493773,39.3950703568147,rep1,668.72
CHSC35982,-121.89164950631,39.8970490464384,rep1,122.96
CHSC36121,-122.32885216623,39.0052502357792,rep1,615.02
CHSC38460,-121.703048739175,39.7818607696347,rep1,288.93
CHSC40119,-123.311856062249,38.8908267491247,rep1,370.23
CHSC4019,-121.71901036298,39.7022768487803,rep1,190.48
CHSC4065,-122.25114030503,40.1616692785068,rep1,95.18
CHSC43315,-121.794729537147,39.2920783613049,rep1,25.51
CHSC47108,-120.441382131102,36.0979693658908,rep1,331.48
CHSC52401,-122.754454202713,38.8857433526373,rep1,1008.87
CHSC55499,-121.985443933798,40.4004724068684,rep1,340.84
CHSC55712,-122.541582185429,39.4512439915222,rep1,391.18
CHSC56643,-122.570309725514,39.8559333446383,rep1,297.66
CHSC57470,-123.292824043689,38.5432336484576,rep1,30.34
CHSC59547,-122.667955708737,39.0205026111809,rep1,404.83
CHSC59744,-120.326731144392,37.8335632498698,rep1,373.14
CHSC61985,-118.895531622982,34.3604629961361,rep1,356.17
CHSC62467,-121.429911464987,39.5572564850027,rep1,455.95
CHSC700,-121.332641380642,38.8938838957992,rep1,38.06
CHSC70018,-119.317874548385,36.8951997212315,rep1,672.53
CHSC70378,-121.046671371689,36.9491315296077,rep1,213.99
CHSC71117,-122.740136046737,39.067530658784,rep1,881.61
CHSC77587,-122.603612538885,39.7886283713515,rep1,414.46
CHSC81274,-123.839572368677,39.4714142559309,rep1,0
CHSC88986,-121.885687459628,39.8635327279258,rep1,93.7
CHSC90100,-122.79032808976,38.8982506672585,rep1,836.02
CHSC90532,-122.596875482698,39.14736428449,rep1,573.91
CHSC9270,-121.96344804659,39.8641292714095,rep1,63.21
CSUSB91437,-117.275242995141,34.2377215234616,rep1,1491.51
CSUSB91439,-116.663999679132,33.079997950139,rep1,1061.89
CSUSB91441,-117.473881098484,33.8396654112631,rep1,384.15
CSUSB91442,-117.312222171303,33.9772059502688,rep1,360.71
CSUSB91443,-117.367194012222,33.9396845921051,rep1,361.7
CSUSB91444,-117.138885419652,33.7447330970642,rep1,464.06
DAV300326,-122.779551768363,39.0410964087848,rep1,403.74
DAV300327,-120.61579251718901,38.4814547231703,rep1,955.41
DAV300330,-118.265705440495,34.257305662402,rep1,693.62
DAV300331,-117.457057119885,33.7641985599102,rep1,357.85
DAV300333,-119.303058097669,36.8897623024183,rep1,608.96
DAV300334,-120.243011839148,35.4312461560335,rep1,537.35
DAV300336,-120.962142281621,38.831698125178,rep1,302.62
DAV300337,-120.404664199625,38.5320551800829,rep1,1444.56
DAV300338,-117.665764376394,34.2304781159229,rep1,1330.73
DAV300341,-119.244853278881,36.5806799382044,rep1,140.19
DAV300342,-122.747591798013,39.0451142440244,rep1,491.92
DAV300343,-121.726919201193,39.2368975288363,rep1,23.31
DAV300344,-119.865647188976,35.2072503743375,rep1,588.41
DAV300345,-123.063141693135,38.2982612152839,rep1,0.55
DAV300346,-119.680936451003,34.4771478265948,rep1,743.32
DAV300349,-121.872477954039,37.5980888590672,rep1,126.86
DAV300351,-122.163401345999,38.4527030261864,rep1,321.66
DAV300352,-122.376222632038,39.0489042714415,rep1,386.71
DAV300353,-122.187362631737,38.5815640590497,rep1,271.88
DAV300354,-122.232636620922,38.4957432239094,rep1,411.46
DAV300357,-123.105006203781,38.9636390203548,rep1,147.71
DAV300358,-122.749787535489,38.8221828665419,rep1,1025.4
DAV300359,-122.816315138241,38.8249505481559,rep1,699.28
DAV300360,-122.620539473783,38.8133807304058,rep1,330
DAV300361,-122.800194187379,38.8325410271915,rep1,852.35
