specimen_number,YoC,lat,long,elev_m,Tmax01_A,Tmax02_A,Tmax03_A,Tmax04_A,Tmax05_A,Tmax06_A,Tmax07_A,Tmax08_A,Tmax09_A,Tmax10_A,Tmax11_A,Tmax12_A,Tmin01_A,Tmin02_A,Tmin03_A,Tmin04_A,Tmin05_A,Tmin06_A,Tmin07_A,Tmin08_A,Tmin09_A,Tmin10_A,Tmin11_A,Tmin12_A,Tave01_A,Tave02_A,Tave03_A,Tave04_A,Tave05_A,Tave06_A,Tave07_A,Tave08_A,Tave09_A,Tave10_A,Tave11_A,Tave12_A,PPT01_A,PPT02_A,PPT03_A,PPT04_A,PPT05_A,PPT06_A,PPT07_A,PPT08_A,PPT09_A,PPT10_A,PPT11_A,PPT12_A,Tmax_wt_A,Tmax_sp_A,Tmax_sm_A,Tmax_at_A,Tmin_wt_A,Tmin_sp_A,Tmin_sm_A,Tmin_at_A,Tave_wt_A,Tave_sp_A,Tave_sm_A,Tave_at_A,PPT_wt_A,PPT_sp_A,PPT_sm_A,PPT_at_A,MAT_A,MWMT_A,MCMT_C,MAP_A,MSP_A
AHUC100004,1941,37.479049,-120.031164,610,0.8570000000000011,-0.0710000000000015,0.9110000000000014,-2.132999999999999,0.08800000000000097,-1.5969999999999978,0.4490000000000052,-2.2070000000000007,-1.7669999999999995,-2.1310000000000002,1.777000000000001,-0.34699999999999953,1.985,2.6370000000000005,0.8059999999999996,-1.1490000000000005,1.1210000000000004,-0.8719999999999999,0.379999999999999,-0.32099999999999973,-1.9429999999999996,-1.0359999999999996,0.7070000000000003,1.5230000000000001,1.4169999999999998,1.3330000000000002,0.9059999999999988,-1.6440000000000001,0.6550000000000011,-1.277000000000001,0.36599999999999966,-1.2629999999999981,-1.8009999999999984,-1.629999999999999,1.1879999999999988,0.5439999999999996,-16.129999999999995,103.38999999999999,0.10999999999999943,84.4,-12.93,-4.81,0,0.42999999999999994,-10.65,14.420000000000002,-32.91,153.41,1.077,-0.3500000000000014,-1.1140000000000043,-0.740000000000002,2.092,0.25900000000000034,-0.3019999999999996,-0.8230000000000004,1.6340000000000003,0.004999999999999005,-0.7569999999999979,-0.7789999999999999,277.25,72.58000000000001,-4.1899999999999995,-29.110000000000014,-0.12899999999999956,0.08600000000000207,1.6959999999999988,279.83000000000004,-27.86
AHUC100005,1941,37.455256,-120.070729,610,0.907,-0.0030000000000001137,0.8769999999999989,-2.0700000000000003,0.16900000000000048,-1.597999999999999,0.4870000000000019,-2.1140000000000043,-1.6099999999999994,-2.1389999999999993,1.708000000000002,-0.3219999999999992,2.001,2.737,0.9130000000000003,-1.0669999999999993,1.1580000000000013,-0.8759999999999994,0.40999999999999837,-0.3410000000000011,-1.9030000000000005,-0.984,0.6190000000000002,1.5699999999999998,1.3970000000000002,1.3170000000000002,0.8460000000000001,-1.5700000000000003,0.6199999999999974,-1.2330000000000005,0.3960000000000008,-1.2759999999999998,-1.706000000000003,-1.5579999999999998,1.213000000000001,0.6270000000000007,-14.300000000000011,103.33000000000001,4.810000000000002,84.47,-12.370000000000001,-4.97,0,0.3899999999999999,-9.51,13.649999999999999,-31.340000000000003,139.82,1.1599999999999984,-0.3719999999999999,-1.0380000000000038,-0.7159999999999975,2.145,0.3340000000000005,-0.2679999999999989,-0.7190000000000003,1.6550000000000002,-0.06800000000000139,-0.7010000000000005,-0.7210000000000001,269.52,75.9,-4.470000000000001,-27.269999999999996,-0.06099999999999994,0.13400000000000034,1.7590000000000003,273.94000000000005,-26.42
AHUC100006,1949,38.038573,-120.456538,305,-4.263,-3.1910000000000007,-2.0359999999999996,2.9989999999999988,-0.6739999999999995,1.9480000000000004,0.15699999999999648,-1.6129999999999995,1.4390000000000036,-0.31400000000000006,3.7650000000000006,-0.8730000000000011,-6.318,-3.12,-0.1940000000000004,1.125,0.3439999999999994,0.4350000000000005,-0.6359999999999992,-0.9349999999999987,0.7319999999999993,-1.6139999999999999,2.122,-1.502,-5.243,-3.205,-1.1140000000000008,2.1110000000000007,-0.11700000000000088,1.189,-0.24099999999999966,-1.3230000000000004,1.0859999999999985,-1.0199999999999996,2.942,-1.189,-94.11000000000001,-40.5,50.599999999999994,-66.24,-5.420000000000002,-7.24,-0.54,-0.29000000000000004,-10.78,-34.04,-14.819999999999993,-55.78,-3.402000000000001,0.12600000000000122,0.12699999999999534,1.5970000000000013,-3.803,0.3949999999999996,-0.4120000000000008,0.4090000000000007,-3.6080000000000005,0.26200000000000045,-0.09299999999999997,1.0030000000000001,-131.75,-20.039999999999992,-8.16,-58.71000000000001,-0.5079999999999991,-0.532,-4.731,-277.32000000000005,-24.299999999999997
AHUC100007,1952,36.677055,-119.391129,122,-1.6690000000000005,-0.23900000000000077,-3.745000000000001,-0.120000000000001,2.1930000000000014,-2.716000000000001,0.4889999999999972,0.5289999999999964,1.0820000000000007,2.7880000000000003,-0.7920000000000016,-0.5020000000000007,-0.8859999999999999,-0.7029999999999998,-1.6510000000000002,0.6580000000000004,0.8149999999999995,-2.199,0.815999999999999,-0.3789999999999978,0.6640000000000015,1.325000000000001,-1.0949999999999998,0.8250000000000002,-1.2800000000000002,-0.4740000000000002,-2.75,0.26899999999999835,1.504999999999999,-2.4589999999999996,0.657,0.0730000000000004,0.8239999999999981,2.1099999999999994,-0.9430000000000014,0.12099999999999955,43.11,-34.81,45.19,11.55,-10.68,-2.6900000000000004,0,0,-1.2300000000000004,-12.86,1.8299999999999983,37.76,-1.0390000000000015,-0.5229999999999997,-0.5360000000000014,1.0579999999999998,-0.681,-0.09199999999999964,-0.6210000000000004,0.2940000000000005,-0.9050000000000011,-0.35999999999999943,-0.5770000000000017,0.6300000000000026,58.91,46.129999999999995,-2.6900000000000004,-12.21,-0.16100000000000136,0.4750000000000014,-0.609,78.26999999999998,-14.57
AHUC100008,1955,39.001841,-123.084724,254.64,-1.5579999999999998,-0.16499999999999915,0.5640000000000001,-3.1140000000000008,0.8679999999999986,-0.12399999999999878,-1.2549999999999955,0.9890000000000043,0.934000000000001,0.38899999999999935,-0.865000000000002,-0.875,-2.41,-2.704,-2.314,-2.3949999999999996,-0.6539999999999999,-0.9410000000000007,-1.314,-1.5889999999999986,-1.0459999999999994,-0.2699999999999996,-0.41000000000000014,2.466,-1.939,-1.4309999999999992,-0.8709999999999987,-2.7109999999999985,0.10800000000000054,-0.5350000000000001,-1.3219999999999992,-0.2970000000000006,-0.010999999999999233,0.06899999999999906,-0.6869999999999994,0.8080000000000007,-116.99000000000001,-139.58,-98.35,60.01,-23.41,-5.41,0,-1.6800000000000002,-2.6999999999999993,-33.43,-8.709999999999994,275.98,-1.029,-0.5949999999999989,-0.12899999999999778,0.18999999999999773,-1.845,-1.7559999999999998,-1.311,-0.54,-1.4849999999999994,-1.1219999999999999,-0.7199999999999989,-0.1750000000000007,-269,-61.78,-7.1,-44.78999999999999,-0.7539999999999996,-0.8470000000000013,-1.303,-94.26999999999998,-33.14
AHUC100009,1977,39.500373,-123.789098,4.42,1.0459999999999994,2.596,-1.3610000000000007,1.4130000000000003,-2.4029999999999987,1.4800000000000004,0.07000000000000028,0.38700000000000045,-1.1630000000000003,-0.6859999999999999,-0.7560000000000002,0.7780000000000005,-1.0780000000000003,0.28200000000000003,-1.5540000000000003,-0.19600000000000062,-1.0150000000000006,1.2880000000000003,-0.21199999999999974,1.4779999999999998,1.0439999999999987,0.28199999999999914,-0.24600000000000044,1.8249999999999993,-0.06099999999999994,1.4400000000000013,-1.4570000000000007,0.548,-1.7070000000000007,1.3900000000000006,-0.1169999999999991,0.984,-0.05500000000000149,-0.20500000000000007,-0.5039999999999996,1.298,-127.59,-88.94999999999999,-54.2,-53.599999999999994,7.640000000000001,-4.359999999999999,-1.98,7.77,49.97,-17.57,-19.61,59.58000000000001,1.9380000000000006,-0.7870000000000008,0.6440000000000019,-0.8390000000000022,-0.9510000000000005,-0.9199999999999999,0.8569999999999993,0.39399999999999924,0.4919999999999991,-0.9019999999999992,0.7520000000000007,-0.22199999999999953,-359.29,-100.12,1.4200000000000017,12.740000000000009,0.17999999999999972,0.7350000000000012,0.4289999999999985,-241.92999999999995,58.03
AHUC100010,1940,36.810227,-119.38207,164.15,0.4190000000000005,0.26699999999999946,1.782,0.791999999999998,2.9549999999999983,3.398999999999994,-0.5330000000000013,0.9499999999999957,-1.9440000000000026,0.2889999999999979,-0.42900000000000205,2.6320000000000014,3.0790000000000006,1.6810000000000005,1.2459999999999996,1.0040000000000004,1.6940000000000008,2.415000000000001,-0.4539999999999971,0.3890000000000029,-0.9219999999999988,0.5640000000000001,-0.2970000000000006,2.161,1.7990000000000004,1.029,1.5150000000000006,0.9019999999999992,2.3279999999999994,2.9529999999999994,-0.4430000000000014,0.6759999999999984,-1.477999999999998,0.43400000000000105,-0.3669999999999991,2.3449999999999998,115.79,84.01,-14.86,-6.6199999999999974,-10.46,-3.2699999999999996,-0.3,0,-5.16,18.84,-36.68,101.28,1.607000000000001,1.8070000000000022,1.2779999999999987,-0.7219999999999978,1.9860000000000002,1.3570000000000002,0.8510000000000009,-0.2560000000000002,1.7970000000000006,1.573999999999998,1.0649999999999977,-0.4400000000000013,159.91,-31.900000000000006,-3.6799999999999997,-23.060000000000002,0.9959999999999987,-0.4239999999999995,2.4110000000000005,243.5,-19.35
AHUC100011,1940,38.505108,-122.083495,214.06,0.4739999999999984,0.26500000000000057,1.1140000000000008,0.23499999999999943,1.439,2.058,-0.3299999999999983,0.14399999999999835,-2.211000000000002,-9.999999999976694e-4,-0.8270000000000017,2.388,2.539,2.289,1.7299999999999995,1.0810000000000004,0.8710000000000004,0.8420000000000005,-0.6590000000000007,-0.07499999999999929,0.5600000000000005,0.20700000000000074,-0.577,1.8510000000000004,1.4979999999999993,1.2719999999999985,1.4719999999999995,0.6099999999999994,1.1509999999999998,1.445999999999998,-0.49799999999999756,0.029999999999997584,-0.8249999999999993,0.10299999999999798,-0.6999999999999993,2.1189999999999998,120.83000000000001,159.53,45.47,-14.590000000000003,7.449999999999999,-2.8499999999999996,0.39,-0.6699999999999999,-3.6899999999999995,1.6400000000000006,-29.760000000000005,191,0.9390000000000001,0.897000000000002,0.6539999999999964,-0.9430000000000014,2.063,1.1950000000000003,0.03599999999999959,0.027000000000001023,1.5060000000000002,1.0460000000000012,0.2959999999999994,-0.5030000000000001,212.01,37.24000000000001,-4.07,-32.8,0.6790000000000003,-0.6489999999999974,2.0409999999999995,472.82000000000005,-0.379999999999999
BSCA0945,1985,33.35175,-116.55051,1586.29,-1.2270000000000003,-0.03200000000000003,-0.5280000000000005,2.669999999999998,0.7199999999999989,2.218,0.9800000000000004,0.9130000000000003,-3.8889999999999993,-0.8889999999999993,-2.8949999999999996,0.8620000000000001,0.42,-1.2189999999999999,-0.938,1.6380000000000003,0.5979999999999999,0.8439999999999994,1.8569999999999993,-0.6350000000000016,-1.3369999999999997,0.7000000000000011,-0.1469999999999998,1.4019999999999997,-0.4509999999999996,-0.6770000000000005,-0.7850000000000001,2.1510000000000016,0.6539999999999999,1.5819999999999972,1.4180000000000028,0.13700000000000045,-2.5619999999999976,-0.04499999999999993,-1.5749999999999993,1.1349999999999998,-49.099999999999994,-51.81,-50.64,-26.58,-12.760000000000002,-0.9500000000000002,11.940000000000001,-24.6,11.829999999999998,-13.23,121.58,-27.049999999999997,-1.5079999999999991,0.9830000000000005,1.3719999999999999,-2.628,-0.121,0.3939999999999997,0.7530000000000001,-0.2610000000000001,-0.8570000000000002,0.7419999999999991,1.0139999999999993,-1.392999999999999,-8.139999999999986,-90.05000000000001,-12.61,120.27,0.07699999999999996,1.086000000000002,-0.024999999999999467,-109.23000000000002,-13.480000000000004
CAS-BOT-BC263265,2012,37.96519,-122.61191,205.75,2.4510000000000005,0.6179999999999986,-1.7719999999999985,0.14700000000000202,1.0569999999999986,0.1789999999999985,-0.815999999999999,0.13899999999999935,-0.7390000000000008,0.4059999999999988,0.18200000000000216,-0.2759999999999998,0.665,-0.37399999999999967,-0.43400000000000016,0.6779999999999999,0.05400000000000027,-0.12199999999999989,0.1429999999999989,0.6110000000000007,-0.37899999999999956,1.314,1.5349999999999993,0.4219999999999997,1.5570000000000004,0.17900000000000027,-1.1069999999999993,0.4139999999999997,0.5510000000000002,-0.02400000000000091,-0.28699999999999903,0.3299999999999983,-0.5519999999999996,0.8079999999999998,0.8119999999999994,0.018000000000000682,16.180000000000007,-99.9,250.7,79.4,-11.89,3.1099999999999994,2.2800000000000002,-1.7200000000000002,-11.66,53.99,167.07,164.45,1.3650000000000002,-0.22900000000000276,-0.16600000000000037,-0.11400000000000077,-0.02400000000000002,0.13100000000000023,0.2129999999999992,0.8580000000000005,0.6219999999999999,-0.053000000000000824,-0.021000000000000796,0.32399999999999984,-233.61,318.16,3.539999999999999,209.55,0.1899999999999995,0.14299999999999713,0.9700000000000006,611.94,-19.93
