ID1,ID2,Latitude,Longitude,Elevation,MAT_51-80,MWMT_51-80,MCMT_51-80,TD_51-80,MAP_51-80,MSP_51-80,AHM_51-80,SHM_51-80,DD_0_51-80,DD5_51-80,DD_18_51-80,DD18_51-80,NFFD_51-80,bFFP_51-80,eFFP_51-80,FFP_51-80,PAS_51-80,EMT_51-80,EXT_51-80,MAR_51-80,Eref_51-80,CMD_51-80,RH_51-80,MAT_81-10,MWMT_81-10,MCMT_81-10,TD_81-10,MAP_81-10,MSP_81-10,AHM_81-10,SHM_81-10,DD_0_81-10,DD5_81-10,DD_18_81-10,DD18_81-10,NFFD_81-10,bFFP_81-10,eFFP_81-10,FFP_81-10,PAS_81-10,EMT_81-10,EXT_81-10,MAR_81-10,Eref_81-10,CMD_81-10,RH_81-10,Year,MAT_a*,MWMT_a*,MCMT_a*,TD_a*,MAP_a*,MSP_a*,AHM_a*,SHM_a*,DD_0_a*,DD5_a*,DD_18_a*,DD18_a*,NFFD_a*,bFFP_a*,eFFP_a*,FFP_a*,PAS_a*,EMT_a*,EXT_a*,MAR_a*,Eref_a*,CMD_a*,RH_a*
CAS-BOT-BC213909,1906,34.4731,-117.1246,934,15.7,26.6,6.7,19.9,139,23,185.5,1159.1,35,3999,1707,867,293,99,313,214,1,-18.3,44.2,-9999,1496,1359,49,16.4,26.8,7.1,19.7,159,20,165.7,1351,30,4225,1560,972,308,85,320,234,1,-15.7,46,-9999,1501,1342,51,1906,15.5,27.4,6.8,20.6,245,27,103.8,1018,34,3918,1740,820,302,95,312,217,1,-18.9,44.6,-9999,1452,1251,51
CAS-BOT-BC224919,2011,33.7631,-117.4664,319,17.5,25.1,11.5,13.7,284,17,96.9,1439,11,4540,1055,850,348,41,349,308,0,-8,46.1,-9999,1546,1271,51,18.3,25.9,12.4,13.5,296,16,95.8,1643.2,8,4825,892,976,358,20,357,337,0,-4.3,47.6,-9999,1541,1256,53,2011,18,25.8,11.8,14,353,32,79.3,815.1,9,4705,959,922,356,24,359,335,0,-8.6,46.4,-9999,1516,1169,53
CAS-BOT-BC263265,2012,37.9652,-122.6119,214,14.2,19.2,8.4,10.8,1089,43,22.2,449.2,22,3344,1668,258,349,38,350,313,5,-8.1,39.3,-9999,1111,715,63,14.6,19.7,9,10.7,1200,50,20.5,395.5,20,3487,1558,300,354,24,354,330,4,-6.3,39.8,-9999,1103,704,64,2012,14.4,19.4,9,10.4,1830,35,13.3,547.8,20,3411,1591,257,352,27,354,326,5,-9.2,39.7,-9999,1106,661,64
CAS-BOT-BC422397,2014,37.9639,-122.6242,290,14.1,19.1,8.3,10.8,1140,45,21.1,425,23,3301,1705,247,349,38,351,314,6,-8,39.3,-9999,1095,692,64,14.5,19.7,8.9,10.8,1253,53,19.6,370.9,21,3443,1593,288,355,24,355,331,5,-6.2,39.8,-9999,1086,679,65,2014,15.9,20.1,11.6,8.5,1585,61,16.3,331.9,12,3892,1217,397,363,5,365,360,2,-9.1,39.6,-9999,1133,678,65
CAS-BOT-BC7216,1906,34.4731,-117.1246,934,15.7,26.6,6.7,19.9,139,23,185.5,1159.1,35,3999,1707,867,293,99,313,214,1,-18.3,44.2,-9999,1496,1359,49,16.4,26.8,7.1,19.7,159,20,165.7,1351,30,4225,1560,972,308,85,320,234,1,-15.7,46,-9999,1501,1342,51,1906,15.5,27.4,6.8,20.6,245,27,103.8,1018,34,3918,1740,820,302,95,312,217,1,-18.9,44.6,-9999,1452,1251,51
CAS-BOT-BC7218,1882,34.1529,-118.1215,249,17.7,23.7,12.5,11.1,445,25,62.2,957.2,8,4583,913,766,360,13,361,348,0,-4.4,43.6,-9999,1399,1024,57,18.4,24.4,13.5,11,472,24,60.2,1001.3,6,4843,769,882,365,3,364,361,0,-0.5,44.9,-9999,1390,1020,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAS-BOT-BC7219,1897,39.6058,-121.6833,57,16.3,26.1,7.1,19,624,38,42.1,690.7,29,4146,1520,874,331,63,330,267,4,-12.7,43.4,-9999,1336,978,55,16.8,26.3,7.7,18.6,688,47,38.9,561.2,25,4326,1402,948,341,49,336,287,3,-10.4,44.4,-9999,1324,948,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAS-BOT-BC7220,1889,34.2281,-117.301,1128,14.2,23.5,7,16.5,692,56,34.9,420.2,36,3439,1923,520,305,101,322,221,6,-15.4,41.3,-9999,1309,891,55,14.9,23.8,7.7,16.1,773,48,32.2,499,30,3679,1734,602,322,79,330,251,5,-12.6,42.9,-9999,1309,893,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDA11943,1989,39.8833,-123.55,773,12.3,20.5,5.8,14.7,1905,97,11.7,210.9,55,2803,2357,280,297,112,319,207,33,-15.5,39.9,-9999,1076,616,59,12.6,21,6.3,14.7,2015,110,11.2,190.7,50,2901,2274,311,308,100,324,223,29,-13.1,40.1,-9999,1064,597,61,1989,12.2,19.8,5.5,14.3,1258,141,17.6,140.2,61,2754,2369,225,297,103,316,214,35,-15.6,40.1,-9999,1041,542,60
CDA12056,1989,38.5,-122.4,218,15,22.3,7.7,14.6,816,27,30.6,838.7,27,3656,1629,503,332,67,334,267,5,-12,41.9,15.8,1278,908,55,15.5,22.7,8.4,14.3,916,32,27.8,717.9,23,3826,1502,558,341,50,341,291,4,-9.7,42.5,-9999,1266,889,57,1989,15,22.5,7.6,14.9,538,70,46.5,321.1,30,3680,1597,489,326,65,330,265,3,-12.4,42.3,-9999,1258,847,56
