ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
RSA749469,1999,33.7297,-117.6575,347,17.7,24.1,13.4,10.7,400,19,69.3,1266.5,7,4582,894,747,365,3,365,362,0,0.1,44.9,-9999,1332,1011,61
RSA233474,1969,34.1632,-117.6823,774,16.8,24.4,11.1,13.4,635,30,42.2,809.6,12,4287,1182,729,355,26,356,330,1,-4.8,44.3,-9999,1328,925,60
UC606903,1938,38.3425,-122.1996,446,15.4,23,8.2,14.8,838,31,30.4,741,25,3823,1535,582,349,35,349,314,4,-8,42.1,-9999,1222,879,61
GMDRC4298,2010,34.7845,-115.6598,1334,16.7,28,7,21,201,60,132.9,465,32,4368,1566,1109,334,61,333,272,1,-10.8,43,-9999,1283,1081,64
GMDRC7692,2015,34.7848,-115.664,1390,16.6,27.8,6.9,20.9,206,62,129.4,451.2,33,4323,1588,1085,335,61,333,272,1,-10.8,42.8,-9999,1262,1056,64
GMDRC9674,2017,34.8056,-115.6714,1356,16.7,28,7,21,204,61,130.7,457.7,32,4359,1569,1104,334,61,333,272,1,-10.7,43,-9999,1278,1073,64
GMDRC9754,2017,34.8094,-115.6556,1297,16.8,28.1,7,21.1,199,60,134.5,471.5,32,4388,1555,1119,334,62,333,271,1,-10.9,43.3,-9999,1301,1102,63
GMDRC995,2001,34.8192,-115.6475,1270,16.8,28.1,6.9,21.2,197,59,135.6,474,32,4382,1558,1116,332,63,332,269,1,-11.1,43.3,-9999,1312,1113,62
GMDRC3694,2005,34.8081,-115.6695,1305,16.9,28.1,7.1,21.1,200,60,134,472,31,4408,1544,1129,335,61,333,272,1,-10.7,43.3,-9999,1298,1098,63
GMDRC7800,2015,34.7814,-115.6522,1347,16.7,28,6.9,21,199,60,133.9,465.8,33,4360,1571,1105,334,61,333,272,1,-10.8,43,-9999,1280,1080,64
UC606908,1938,35.6416,-120.7016,263,15.6,22.6,8.7,13.8,396,14,64.5,1582.8,21,3849,1456,538,320,81,322,242,1,-13.4,45.1,-9999,1480,1164,48
HSC97503,2007,40.8341,-123.7133,1418,10.5,19.5,3.4,16.1,2871,283,7.1,68.9,105,2313,2934,193,276,126,313,187,132,-17,38.9,-9999,918,379,65
JROH5546,2013,37.4011,-122.2307,132,15.2,20.3,10.1,10.2,728,27,34.6,739.9,16,3668,1427,359,353,32,351,319,2,-5.6,40.9,-9999,1208,842,60
HSC77392,1983,40.8957,-123.7732,762,12.4,20.6,5.9,14.7,2143,194,10.5,106.3,53,2834,2330,291,306,104,321,218,33,-13.5,41.7,-9999,1065,528,60
HSC97903,1995,40.7689,-123.5508,372,13.8,23,6.1,16.9,1278,94,18.6,244,45,3297,2041,486,308,102,317,215,16,-13.4,44.7,-9999,1255,814,53
HSC13590,1948,40.8743,-123.733,1435,10.8,20,3.5,16.5,2839,276,7.3,72.4,100,2409,2855,226,286,119,316,197,119,-15.8,39.5,13.2,931,398,66
UC595056,1938,39.1831,-122.7026,734,14.6,23.9,7.2,16.8,1101,53,22.3,450.6,37,3565,1864,606,330,71,335,265,10,-11.2,41.9,-9999,1146,763,62
UC1069197,1934,37.9965,-123.0162,32,12.2,13.9,9.7,4.2,762,36,29.2,382.5,19,2567,2165,32,358,6,355,350,3,-4.5,31.4,-9999,736,396,77
RSA421268,1949,34.1602,-117.797,888,17,24.5,11.5,13,631,33,42.7,754.3,12,4334,1146,745,361,11,362,351,1,-2.4,44,-9999,1271,874,64
JEPS111846,2005,37.9842,-122.2028,234,14.8,20.4,8.5,11.9,630,23,39.3,885.4,23,3551,1567,366,350,30,350,319,3,-8,40.2,-9999,1124,795,64
UC1426018,1973,34.1661,-117.6836,774,16.8,24.4,11,13.5,640,30,41.8,803.9,13,4263,1199,724,354,29,355,326,1,-5.3,44.3,-9999,1328,924,60
RSA421309,1973,34.1661,-117.6836,774,16.8,24.4,11,13.5,640,30,41.8,803.9,13,4263,1199,724,354,29,355,326,1,-5.3,44.3,-9999,1328,924,60
RSA589117,1992,34.429,-117.8374,1351,14.3,24.3,6.1,18.1,315,31,77.3,780.9,45,3532,1974,632,301,101,319,218,4,-15.8,43.3,-9999,1328,1063,56
RSA114997,1955,40.9229,-123.8067,584,12.9,20.5,7,13.5,1880,163,12.2,125.3,41,2950,2157,283,320,89,327,238,19,-11.6,41.9,-9999,1085,568,59
RSA597259,1968,34.2034,-117.487,1376,14.4,23.1,7.4,15.7,1023,50,23.9,460.2,33,3502,1837,518,330,71,337,266,8,-10.9,41.7,-9999,1200,791,62
RSA668058,1957,33.3128,-116.8643,1610,14.5,23.6,7.7,15.9,680,59,36,399.2,34,3547,1849,566,329,71,335,264,5,-11.2,41.9,20.9,1209,810,63
HSC35261,1975,40.8474,-123.4762,491,13.5,22.8,5.6,17.2,1231,94,19.1,242.2,51,3220,2121,466,303,107,315,209,18,-14.2,44.4,-9999,1234,792,54
JEPS3117,1915,38.0778,-120.3673,817,14.8,24.5,7,17.5,921,67,27,367.4,37,3668,1833,670,318,83,325,241,8,-13.8,45.1,-9999,1266,842,57
RSA191996,1959,33.5068,-117.3643,605,17.5,24.7,13.2,11.5,403,23,68.3,1060.5,8,4518,972,757,365,0,365,365,0,0.8,43.7,-9999,1199,896,68
RSA489150,1988,34.1477,-116.4187,1145,16.5,26.5,8.1,18.4,221,36,119.6,727.1,26,4247,1492,940,327,71,330,259,1,-12.1,44.2,-9999,1422,1200,56
RSA180273,1965,33.5051,-117.2834,613,17.6,24.6,13.1,11.5,382,21,72.4,1155.3,8,4556,948,771,365,0,365,365,0,1.2,44.8,-9999,1296,993,64
SBBG125441,2010,34.2795,-118.027,1398,14.6,23.7,7.7,16.1,896,38,27.4,617.4,34,3562,1844,579,339,55,342,287,7,-8.9,41.4,16.6,1104,732,68
SBBG127047,2011,34.2785,-118.072,1641,13.9,22.9,6.9,16,878,36,27.2,640.3,41,3345,2006,495,340,50,343,293,10,-8.6,40,15.3,1001,662,73
CHSC27746,1978,37.7078,-120.2008,530,15.9,26,7.5,18.5,688,41,37.7,637.4,30,4033,1613,842,329,68,331,264,4,-12.4,45.6,-9999,1333,953,56
CHSC31076,1980,38.3633,-122.5603,174,15,21.1,8.8,12.3,1076,43,23.2,489.8,22,3632,1542,423,346,44,346,301,5,-8.1,41.7,-9999,1229,824,58
CHSC4019,1967,39.7292,-121.7028,123,17,26.6,8,18.6,792,55,34.1,481.9,24,4400,1373,994,346,42,344,302,4,-9.6,44.6,-9999,1305,920,59
CHSC52497,1982,36.3664,-121.5442,730,14.4,21.8,8.8,12.9,716,29,34,760.5,23,3428,1720,374,338,65,341,276,3,-8.3,39.9,13.8,1196,833,60
CHSC57470,1990,38.5433,-123.2928,24,12.3,14.8,9.2,5.6,878,47,25.4,312.8,22,2604,2160,44,347,37,342,305,4,-7.5,33.8,-9999,870,480,69
CHSC59744,1979,37.8144,-120.3117,362,16.1,26,7.9,18.1,656,43,39.7,603.7,27,4085,1556,849,332,64,333,269,4,-11.8,44.8,-9999,1324,943,57
CHSC62467,1991,39.5467,-121.3878,331,16.2,25.9,7.8,18.1,1173,83,22.3,310.8,27,4109,1528,851,340,52,339,287,6,-10.7,44.6,-9999,1260,802,59
