specimen_number,YoC,lat,long,elev_m,MAT_n51,MWMT_n51,MCMT_n51,TD_n51,MAP_n51,MSP_n51,AHM_n51,SHM_n51,DD_0_n51,DD5_n51,DD_18_n51,DD18_n51,NFFD_n51,bFFP_n51,eFFP_n51,FFP_n51,PAS_n51,EMT_n51,EXT_n51,MAR_n51,Eref_n51,CMD_n51,RH_n51,MAT_n81,MWMT_n81,MCMT_n81,TD_n81,MAP_n81,MSP_n81,AHM_n81,SHM_n81,DD_0_n81,DD5_n81,DD_18_n81,DD18_n81,NFFD_n81,bFFP_n81,eFFP_n81,FFP_n81,PAS_n81,EMT_n81,EXT_n81,MAR_n81,Eref_n81,CMD_n81,RH_n81
AHUC100006,1949,38.038573,-120.456538,305,15.4,25.4,6.7,18.6,701,43,36.2,584.5,34,3849,1722,748,316,85,324,239,6,-14.8,44.1,,1345,946,54,16,25.9,7.6,18.3,777,52,33.5,497.5,29,4067,1575,847,332,65,334,269,5,-12.1,44.9,,1322,915,57
BSCA0941,2003,32.995,-116.53667,,12.8,22.2,5.4,16.7,638,70,35.7,316.4,56,3013,2292,382,285,118,310,192,10,-17.9,40.5,,1270,840,56,13.6,22.5,6.6,15.9,696,64,33.9,354.5,44,3258,2066,449,308,97,321,224,8,-14.6,42.1,,1267,852,58
BSCA0942,2003,32.93194,-116.49333,,12.4,21.8,5.1,16.7,604,69,37.1,318.3,61,2907,2386,351,271,128,304,176,11,-19.1,40.7,,1292,865,54,13.3,22.2,6.2,16,663,63,35.1,355,48,3153,2154,412,296,109,314,206,8,-15.8,42.3,,1294,880,56
BSCA0944,2004,32.942222,-116.57278,,12.1,21.4,4.9,16.4,707,71,31.3,300,65,2796,2469,313,271,127,304,176,15,-19.2,40.3,,1242,801,55,12.9,21.8,6.1,15.7,768,63,29.8,346.8,51,3036,2234,368,296,108,314,206,11,-15.9,41.7,,1240,818,58
BSCA0945,1985,33.35175,-116.55051,,13.3,22.9,5.8,17,400,71,58.1,323.4,51,3166,2184,448,293,111,318,206,5,-17.2,39.9,,1251,893,57,14,23.1,7,16.1,444,68,54.1,342,40,3406,1973,520,314,89,328,238,4,-13.9,41.4,,1243,893,60
BSCA0946,1969,33.33027,-116.89894,,14.1,23.5,6.9,16.6,575,60,42,392.8,39,3435,1967,548,311,98,325,227,5,-14.4,41.2,19.3,1265,858,59,14.9,24,8.1,16,607,54,41,441.9,31,3682,1758,624,330,72,335,263,4,-10.9,42.5,,1249,853,62
BSCA4977,2004,32.94222,-116.57278,,12.1,21.4,4.9,16.4,707,71,31.3,300,65,2796,2469,313,271,127,304,176,15,-19.2,40.3,,1242,802,55,12.9,21.8,6.1,15.7,768,63,29.8,346.8,51,3036,2234,368,296,108,314,206,11,-15.9,41.7,,1240,818,58
CAS-DS-135673,1889,34.2281,-117.301,1219,13.9,23.2,6.7,16.5,714,58,33.4,402.5,40,3343,2001,485,304,101,321,220,7,-15.5,40.8,19.2,1275,860,57,14.6,23.5,7.4,16.1,797,49,30.9,478.4,33,3581,1809,566,321,80,330,250,6,-12.7,42.4,,1273,864,59
COLL*SD185718,2002,33.22,-116.6,1135,13.9,22.8,6.9,15.9,440,64,54.2,358,38,3329,1982,461,293,114,317,203,4,-16.9,41.7,,1378,992,52,14.7,23.3,8.1,15.2,486,60,50.7,389.3,30,3580,1769,537,316,90,328,238,3,-13.5,43.3,,1373,998,54
COLL*SD199224,2007,32.99873,-116.5696,1409,12.5,21.8,5.3,16.6,691,74,32.6,295.6,59,2928,2358,354,277,123,307,183,12,-18.7,40.6,,1265,820,55,13.3,22.3,6.4,15.8,752,66,31,336.2,46,3170,2130,413,301,103,317,214,9,-15.4,42.1,,1262,832,58
