ID1,ID2,lat,long,el
SBBG164508,1968,35.418,-118.579,1859
SBBG164507,1967,35.195066,-118.534846,
SBBG164522,1928,34.778,-120.155,
SBBG164527,1964,34.942,-120.1995,335
SBBG164512,2017,36.5567,-120.8108,715
SBBG164523,1938,35.805,-118.681,
SBBG164525,1928,34.4895,-120.225,
SBBG164515,1974,35.01,-120.48,
SBBG164511,2010,34.87801,-119.34137,1469
SBBG164504,1961,36.1015,-120.311,
SBBG164514,1973,35.4585,-120.3335,
SBBG164528,1940,36.0942,-120.4711,488
SBBG164526,1965,34.465,-119.65,
SBBG164517,1962,35.5935,-120.152,602
SBBG164505,1950,34.971165,-119.455567,
SBBG164510,1945,37.324,-119.558,1052
SBBG164524,1973,34.4293,-119.706,
SBBG164503,1951,37.88,-122.189,
SBBG164516,1979,35.2993,-119.9771,579
SBBG164500,1929,34.664,-120.333,
SBBG164498,2017,36.3125,-121.5725,1475
SBBG164518,1971,35.473,-120.984,518
SBBG164529,2003,34.5767,-118.8861,884
SBBG164509,1991,35.339,-120.617,610
OBI106038,1967,35.2055285,-120.1912599,
OBI106022,1978,35.351177,-120.005123,
OBI106027,1978,35.351177,-120.005123,
OBI106046,1937,40.483215,-123.740232,762
OBI106052,1950,34.971205,-119.455334,
OBI106056,1978,35.570441,-118.568642,701
OBI106040,1979,35.2993,-119.9771,579
OBI106025,1981,35.45983,-120.33394,
OBI106061,1985,35.438108,-120.493918,
OBI106063,1995,35.46411,-120.33005,450
OBI106023,1998,35.045615,-119.7714,1554
OBI106037,1952,35.481179,-120.321879,
OBI106039,1971,35.418043,-120.568649,274
OBI106053,1971,35.543942,-120.896932,518
OBI106029,1973,34.4293,-119.706,
OBI106020,1933,36.527035,-121.835454,30
OBI106019,1979,35.197821,-120.66211,
OBI106060,1965,34.4916,-119.5865,
OBI106034,1939,38.061745,-122.69831,45
OBI106024,1986,35.402195,-120.612946,
OBI106062,1988,35.918675,-119.374004,61
OBI106026,1982,35.12639,-120.4025,
OBI106048,1997,34.861591,-119.213581,
OBI106033,1968,35.206217,-119.881875,
OBI106055,1966,35.279519,-120.540786,
OBI106028,1964,35.207788,-120.470393,
OBI106058,1954,32.5962,-116.545,732
OBI106049,1952,35.379759,-120.285566,
OBI106054,1958,35.084389,-119.752739,
OBI106051,1962,35.724109,-120.225261,
OBI106017,1969,33.96621,-117.31939,366
OBI106035,1956,35.09084,-120.46303,
OBI106059,1965,36.997662,-119.703272,213
OBI106032,1978,35.434689,-120.494125,
OBI106031,1995,34.7795,-120.4273,
OBI106018,2005,35.027778,-119.665278,
OBI106021,1979,35.197821,-120.66211,
LOB115754,2016,33.89014,-116.69586,515
UCSB030053,1961,34.748,-120.053,
UCSB030052,1962,33.72163,-117.39338,
UCSB030050,1963,33.88068,-116.84681,
UCSB030045,1977,33.82158,-117.36016,
UCSB030044,1977,33.80996,-117.4308,
UCSB030034,1954,34.0968,-117.7012,
UCSB030033,1963,33.85103,-116.82793,
UCSB030032,1960,34.5334,-119.061,
UCSB030026,1928,34.23496,-117.189624,
UCSB030085,1979,36.784553,-119.289851,
UCSB030081,1957,33.7619,-117.4723,
UCSB030076,1968,34.5111,-119.8131,
UCSB030058,1938,35.805,-118.681,
UCSB030061,1946,34.463,-119.6906,
UCSB030064,1978,33.8713,-117.4363,
UCSB030065,1961,36.10151,-120.31102,
UCSB030093,1953,33.07817,-116.61458,
UCSB030408,1962,33.517333,-117.595479,
UCSB030406,1946,34.4585,-119.6917,
UCSB030405,1934,34.42407,-117.301134,
UCSB030404,1958,34.230227,-118.181587,
UCSB030403,1935,34.199248,-117.779642,
UCSB030402,1946,35.101482,-118.283635,
UCSB030098,1982,33.531045,-117.589222,
UCSB030097,1984,34.7219,-119.9544,
UCSB032711,1991,34.495975,-119.123119,
SDSU06088,1934,34.264,-116.8662,
SDSU06100,1929,37.547577,-119.678451,1219
SDSU06105,1990,32.86077,-116.4217,
SDSU06106,1972,38.394487,-123.095123,
SDSU06111,1988,33.06859,-116.61022,
