ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
SBBG164508,1968,35.418,-118.579,1859,11.2,21.7,2.9,18.8,433,30,49.1,729.7,112,2632,2791,327,268,119,304,185,21,-20.1,37.9,20.9,1077,785,62
SBBG164507,1967,35.195066,-118.534846,-9999,14.1,24,6.1,17.9,278,21,86.7,1135.8,46,3438,2010,575,307,93,320,227,3,-15.3,41.8,-9999,1248,990,58
SBBG164522,1928,34.778,-120.155,-9999,15.9,21.8,10.9,10.9,506,16,51.2,1362.3,13,3942,1269,477,345,46,346,300,1,-8.5,42.3,-9999,1340,967,55
SBBG164527,1964,34.942,-120.1995,335,16.3,23.7,10.3,13.4,473,19,55.7,1257.3,16,4121,1288,665,346,44,347,303,1,-7.7,43.4,-9999,1328,951,58
SBBG164512,2017,36.5567,-120.8108,715,15.6,24.7,8.2,16.5,336,18,76.2,1347,26,3912,1574,696,330,66,334,268,2,-12.4,43.3,15,1357,1081,55
SBBG164523,1938,35.805,-118.681,-9999,13.3,22.9,5.8,17.1,629,40,37,577.2,51,3170,2178,453,296,102,315,212,9,-16.5,41.9,-9999,1217,851,57
SBBG164525,1928,34.4895,-120.225,-9999,14.9,18.6,11.8,6.8,480,16,51.8,1195.6,11,3524,1404,194,360,11,360,349,1,-3.6,38.2,-9999,1088,743,66
SBBG164515,1974,35.01,-120.48,-9999,14.4,17.3,11.3,6,411,15,59.4,1152.3,12,3349,1515,127,352,31,349,319,1,-6.7,36.4,-9999,1093,755,63
SBBG164511,2010,34.87801,-119.34137,1469,13.8,23.1,6.1,17,304,21,78.3,1121.4,49,3333,2072,521,302,103,319,216,4,-15.3,44.1,-9999,1306,1040,56
SBBG164504,1961,36.1015,-120.311,-9999,17.3,27,8.1,18.9,195,12,140.1,2262.4,23,4497,1331,1043,335,58,334,276,1,-11.5,45,-9999,1466,1271,54
SBBG164514,1973,35.4585,-120.3335,-9999,15.1,23.1,8.2,14.9,437,21,57.4,1079.3,25,3714,1604,534,308,95,314,219,2,-15.3,45.4,-9999,1491,1154,47
SBBG164528,1940,36.0942,-120.4711,488,15.8,25,7.9,17,311,16,82.9,1542,26,3976,1548,733,318,82,323,241,2,-14.2,43.7,-9999,1432,1158,51
SBBG164526,1965,34.465,-119.65,-9999,15.5,20.9,11.4,9.5,623,17,40.9,1265.6,12,3771,1317,356,357,19,358,339,1,-3.9,41.4,-9999,1207,845,62
SBBG164517,1962,35.5935,-120.152,602,16.1,24.8,8.6,16.2,300,15,87,1624.7,23,4066,1465,749,335,60,337,277,1,-11,44.1,-9999,1390,1120,55
SBBG164505,1950,34.971165,-119.455567,-9999,14.9,23.4,8.3,15.1,215,12,116.1,1901.1,27,3664,1681,551,315,86,323,237,1,-13.3,43.6,-9999,1390,1175,52
SBBG164510,1945,37.324,-119.558,1052,14.3,24.6,6.5,18.1,959,57,25.3,430.9,44,3506,1985,630,304,97,319,221,11,-15.6,42.8,-9999,1251,830,56
SBBG164524,1973,34.4293,-119.706,-9999,15.7,19.6,12.4,7.2,474,12,54.1,1637,9,3815,1208,294,361,7,360,353,1,-3.2,39.1,-9999,1136,801,65
SBBG164503,1951,37.88,-122.189,-9999,14.4,19.8,8.7,11.2,717,31,34,641.1,22,3406,1634,286,352,28,352,325,3,-7.3,39.8,-9999,1069,728,66
SBBG164516,1979,35.2993,-119.9771,579,15.3,24.1,8.1,16.1,230,14,110.1,1684.4,27,3793,1640,640,307,95,320,225,1,-14.8,44.9,-9999,1444,1213,49
SBBG164500,1929,34.664,-120.333,-9999,15.5,19.6,11.3,8.3,433,13,58.8,1456.9,12,3755,1284,311,348,41,346,306,1,-7.9,40.6,-9999,1299,949,56
SBBG164498,2017,36.3125,-121.5725,1475,13.6,22.7,6.8,15.9,994,43,23.7,533.9,43,3239,2058,440,333,72,338,266,12,-10.3,39.6,16.5,1072,727,67
SBBG164518,1971,35.473,-120.984,518,14,16.6,10.5,6.2,740,26,32.4,640.5,14,3199,1641,98,347,40,344,305,2,-7.7,35.8,-9999,1069,640,63
