ID1,ID2,lat,long,el
RSA749469,1999,33.7297,-117.6575,347
RSA233474,1969,34.1632,-117.6823,774
UC606903,1938,38.3425,-122.1996,446
GMDRC4298,2010,34.7845,-115.6598,1334
GMDRC7692,2015,34.7848,-115.664,1390
GMDRC9674,2017,34.8056,-115.6714,1356
GMDRC9754,2017,34.8094,-115.6556,1297
GMDRC995,2001,34.8192,-115.6475,1270
GMDRC3694,2005,34.8081,-115.6695,1305
GMDRC7800,2015,34.7814,-115.6522,1347
UC606908,1938,35.6416,-120.7016,263
HSC97503,2007,40.8341,-123.7133,1418
JROH5546,2013,37.4011,-122.2307,132
HSC77392,1983,40.8957,-123.7732,762
HSC97903,1995,40.7689,-123.5508,372
HSC13590,1948,40.8743,-123.733,1435
UC595056,1938,39.1831,-122.7026,734
UC1069197,1934,37.9965,-123.0162,32
RSA421268,1949,34.1602,-117.797,888
JEPS111846,2005,37.9842,-122.2028,234
UC1426018,1973,34.1661,-117.6836,774
RSA421309,1973,34.1661,-117.6836,774
RSA589117,1992,34.429,-117.8374,1351
RSA114997,1955,40.9229,-123.8067,584
RSA597259,1968,34.2034,-117.487,1376
RSA668058,1957,33.3128,-116.8643,1610
HSC35261,1975,40.8474,-123.4762,491
JEPS3117,1915,38.0778,-120.3673,817
RSA191996,1959,33.5068,-117.3643,605
RSA489150,1988,34.1477,-116.4187,1145
RSA180273,1965,33.5051,-117.2834,613
SBBG125441,2010,34.2795,-118.027,1398
SBBG127047,2011,34.2785,-118.072,1641
CHSC27746,1978,37.7078,-120.2008,530
CHSC31076,1980,38.3633,-122.5603,174
CHSC4019,1967,39.7292,-121.7028,123
CHSC52497,1982,36.3664,-121.5442,730
CHSC57470,1990,38.5433,-123.2928,24
CHSC59744,1979,37.8144,-120.3117,362
CHSC62467,1991,39.5467,-121.3878,331
CHSC70018,1996,36.9081,-119.3067,473
HSC32387,1974,41.2795,-124.0082,463
RSA587321,1995,33.3966,-116.973,1225
SD11309,1935,32.9594,-116.5797,1494
SD215561,1997,33.3503,-117.0328,198
SD115641,1983,32.6306,-116.0937,1130
SD133999,1991,33.3314,-116.7125,932
HSC89473,1986,41.0542,-124.1519,14
UC1239737,1938,40.8343,-123.7133,1418
HSC13581,1962,41.0406,-124.1148,63
UC1282735,1952,38.7123,-122.4785,278
UC579895,1934,38.2919,-122.968,135
HSC32847,1973,39.6114,-123.1794,730
JEPS1791,1934,40.3077,-123.9767,914
CSUSB122,1966,33.9407,-117.3565,370
RSA662611,1994,34.1657,-117.7691,584
RSA771945,1973,34.4574,-117.8141,1210
SDSU6137,1952,34.2915,-117.8404,1070
RSA29712,1932,34.2142,-117.6672,1144
RSA346567,1971,34.1764,-117.7542,614
RSA381419,1971,36.9062,-119.2686,304
RSA607025,1968,34.2843,-117.8647,1274
SBBG108619,1967,35.1951,-118.5348,1042
OBI28779,1981,35.4598,-120.3339,424
UC1190350,1958,37.9129,-120.2832,702
UC1057474,1940,38.5404,-122.7734,67
JEPS1803,1941,34.77,-115.683,1330
POM97174,1925,35.1019,-118.2843,1199
RSA421327,1925,34.1352,-118.4386,346
RSA524475,1990,33.5,-116.9667,491
RSA554391,1992,34.3,-117.2167,1493
UCSB5326,1960,34.5334,-119.061,1294
CSUSB2020,1979,34.2478,-117.2645,1384
RSA607224,1968,34.3006,-117.9799,1259
RSA735439,2008,34.289,-117.2059,1471
RSA250674,1971,34.1346,-117.7312,533
RSA588054,1994,34.4662,-118.0305,1145
UC666593,1942,33.3436,-116.8804,1579
UC666595,1942,33.3436,-116.8804,1579
POM88484,1925,32.8772,-116.4459,1684
CHSC14017,1974,39.0117,-122.3667,359
CHSC24140,1976,38.9425,-122.7922,561
CHSC27541,1978,38.9425,-122.7922,561
CHSC27799,1978,38.9425,-122.7922,561
CHSC31306,1980,39.7164,-123.4894,506
CHSC35982,1982,39.8994,-121.9169,94
CHSC36121,1980,39.0117,-122.3644,359
CHSC4065,1967,40.1631,-122.2564,98
CHSC55499,1991,40.4011,-121.9775,343
CHSC55712,1991,39.4803,-122.5,369
CHSC61985,1993,34.3381,-118.8644,422
CHSC71117,1989,39.0558,-122.7814,422
CHSC88986,2000,39.8806,-121.8942,117
CHSC90100,1991,38.9431,-122.7933,561
RSA29562,1941,33.2216,-116.6061,1001
SD28484,1941,33.2216,-116.6061,1001
SD38532,1935,33.0768,-116.5341,806
CHSC77587,1999,39.7933,-122.5911,256
CHSC81274,2001,39.4911,-123.7897,13
CHSC90532,1997,39.1625,-122.615,495
CHSC23125,1962,37.9964,-123.0061,79
