ID1,ID2,lat,long,el
CAS-BOT-BC224919,2011,33.763056,-117.466389,311 m
CAS-BOT-BC263265,2012,37.96519,-122.61191,NA
CAS-BOT-BC422397,2014,37.96388,-122.62416,NA
CAS-BOT-BC7219,1897,39.605797,-121.68332,53 m
CHSC116923,2011,39.91,-122.128611,66 m
CHSC116929,2011,39.610556,-121.561667,235 m
CHSC12046,1970,39.198889,-121.795,121 m
CHSC14010,1974,38.176667,-120.391667,914 m
CHSC14017,1974,39.011667,-122.366667,335 m
CHSC24140,1976,38.9425,-122.792222,NA
CHSC24951,1976,39.233889,-123.370278,426 m
CHSC2522,1958,39.732778,-121.834167,365 m
CHSC26054,1963,34.014722,-117.001389,1066 m
CHSC27541,1978,38.9425,-122.792222,499 m
CHSC27746,1978,37.707778,-120.200833,502 m
CHSC27799,1978,38.9425,-122.792222,463 m
CHSC31076,1980,38.363333,-122.560278,225 m
CHSC31077,1980,39.550556,-121.380278,316 m
CHSC31306,1980,39.716389,-123.489444,NA
CHSC32094,1973,39.395833,-121.361944,304 m
CHSC32915,1980,39.1,-122.495556,NA
CHSC35982,1982,39.899444,-121.916944,100 m
CHSC36121,1980,39.011667,-122.364444,321 m
CHSC40119,1985,38.932222,-123.307222,NA
CHSC4019,1967,39.729167,-121.702778,NA
CHSC4065,1967,40.163056,-122.256389,91 m
CHSC43315,1977,39.266389,-121.813056,45 m
CHSC43316,1969,38.556111,-122.186944,243 m
CHSC52497,1982,36.366389,-121.544167,NA
CHSC55499,1991,40.401111,-121.9775,365 m
CHSC55712,1991,39.480278,-122.5,122 m
CHSC56643,1977,39.853056,-122.573333,300 m
CHSC57470,1990,38.543333,-123.292778,24 m
CHSC57471,1987,39.428056,-122.511111,304 m
CHSC59547,1992,39.036389,-122.692222,536 m
CHSC59744,1979,37.814444,-120.311667,457 m
CHSC61985,1993,34.338056,-118.864444,70 m
CHSC697,1897,39.655,-121.584167,NA
CHSC698,1904,39.830556,-121.810556,83 m
CHSC699,1940,33.708611,-117.082778,NA
CHSC700,1947,38.891667,-121.291944,91 m
CHSC71117,1989,39.055833,-122.781389,396 m
CHSC76195,1938,37.393056,-120.007778,457 m
