X1,specimen_number,taxon name,collector,coll_number_prefix,coll_number,coll_number_suffix,collection_date,late_collection_date,verbatim_date,county,elevation,locality,latitude,longitude,datum,source,error_distance,units,citation,doy,new_error_distance_m
1,CAS-BOT-BC224919,Nemophila menziesii,A. C. Sanders,NA,38983,NA,4/6/2011,4/6/2011,4/6/2011,Riverside,311 m,"""Peninsular Range; Santa Ana Mtns. Region: Temescal Canyon, along Temescal Canyon Rd. 1.5 mi. NE (73 deg. ) of Glen Ivy Hot Springs, 0-0.4 mi. NE of I-15 crossing""",33.763056,-117.466389,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),96,NA
2,CAS-BOT-BC263265,Nemophila menziesii,G. Block; J. Missaghian; J. Klein; C. Barrio-Lopez,NA,206,NA,3/24/2012,3/24/2012,3/24/2012,Marin,NA,"""Mount Tamalpais. Marin Municipal Water District lands: Sky Oaks Meadow, outcrop near Meadow Club golf course""",37.96519,-122.61191,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,NA
3,CAS-BOT-BC422397,Nemophila menziesii,K. Hopper; P. DaSilva; S. Kawachi; G. Anderson; J. Porter; M. Fernholz,NA,14016,NA,4/26/2014,4/26/2014,4/26/2014,Marin,NA,Mount Tamalpais. Marin Municipal Water District lands: Less than 0.25 miles up Azalea Hill Trail from intersection with Bolinas-Fairfax Road. Plot on north side of trail near shallow drainage.,37.96388,-122.62416,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),116,NA
4,CAS-BOT-BC7219,Nemophila menziesii,H. E. Brown,NA,145,NA,1897-04-15,1897-04-15,1897-04-15,Butte,53 m,Near Clear Creek,39.605797,-121.68332,"""Terrain Navigator 1:24,000 (copied from UC107941)""",NAD27,0.258,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,415.20972
5,CHSC116923,Nemophila menziesii,J. P. Bergmann,NA,NA,NA,3/18/2011,3/18/2011,3/18/2011,Tehama,66 m,"""Corning,Loleta Avenue.""",39.91,-122.128611,NULL,DMS conversion by CCH loading script,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),77,NA
6,CHSC116929,Nemophila menziesii,D. S. Groteguth,NA,NA,NA,4/24/2011,4/24/2011,4/24/2011,Glenn,235 m,Oak woodland 4 miles NW of Elk Creek. Beautiful rolling foothills.,39.610556,-121.561667,NULL,DMS conversion by CCH loading script,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,NA
7,CHSC12046,Nemophila menziesii,K. H. Bishop,NA,108,NA,3/23/1970,3/23/1970,3/23/1970,Sutter,121 m,"""Ca. 700 yds. n of Cole House, Moore Canyon, Sutter Buttes.""",39.198889,-121.795,NAD 1983,DMS conversion by CCH loading script,2,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),82,3218.68
8,CHSC14010,Nemophila menziesii,J. A. Roberts,NA,NA,NA,4/9/1974,4/9/1974,4/9/1974,Calaveras,914 m,"""5 mi e of Hwy 4, 5 mi e of Murphys; w facing slope.""",38.176667,-120.391667,NAD 1983,DMS conversion by CCH loading script,2,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,3218.68
9,CHSC14017,Nemophila menziesii,G. Notch,NA,122,NA,3/30/1974,3/30/1974,3/30/1974,Colusa,335 m,Locally scattered along roadside ca. 0.5 mi w of jct of Hwys 20 and 16 on Hwy 20.,39.011667,-122.366667,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),89,402.335
10,CHSC24140,Nemophila menziesii,B. Bunge,NA,3,NA,4/3/1976,4/3/1976,4/3/1976,Lake,NA,"""Growing ca. 12 yds from road at intersection of Hwys. 29 and 175, 11 mi. s of Kelseyville.""",38.9425,-122.792222,NAD 1983,DMS conversion by CCH loading script,0.25,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),94,402.335
