specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source
POM156599,1903-05-26,1903,5,26,146,integrifolia,San Diego,Hills near Campo,,32.6064,-116.469,4827,,,WGS84,cch1
POM182246,1932-05-15,1932,5,15,136,integrifolia,San Diego,10 miles west of Campo.,915,32.608056,-116.629167,,,,,cch1
POM14755,1913-04-06,1913,4,6,96,integrifolia,San Diego,Point Loma.,,32.6948,-117.245,3218.68,,,WGS84,cch1
POM47079,1924-05-10,1924,5,10,131,integrifolia,San Diego,Lions Valley.,,32.71389,-116.75889,1609,,,WGS84,cch1
JEPS1895,1916-04-02,1916,4,2,93,integrifolia,San Diego,San Diego,15,32.73409,-117.12945,9654,,,WGS84,cch1
POM126452,1906-05-24,1906,5,24,144,integrifolia,San Diego,Descanso.,,32.8528,-116.616,1609.34,,,WGS84,cch1
POM88484,1925-05-16,1925,5,16,136,integrifolia,San Diego,"""Laguna Mountains, Laguna Camp""",1524,32.87719,-116.44592,402,,,WGS84,cch1
POM48180,1924-05-11,1924,5,11,132,integrifolia,San Diego,Descanso Creek.,1433,32.88958,-116.57607,1610,,,WGS84,cch1
POM3737,1897-03-31,1897,3,31,90,menziesii,San Diego,Foster.,,32.9084,-116.9261,805,,,WGS84,cch1
POM126450,1896-04-01,1896,4,1,92,integrifolia,San Diego,Ramona.,,33.04179,-116.86803,4827,,,WGS84,cch1
POM126453,1901-04-07,1901,4,7,97,,San Diego,Banner Grade.,,33.0782,-116.565,2574.944,,,WGS84,cch1
POM210106,1935-04-11,1935,4,11,101,,San Diego,"""Foot of Banner Grade, San Felipe Valley, San Diego County.""",,33.07822,-116.53295,1609.34,,,WGS84,cch1
POM73427,1906-04-17,1906,4,17,107,integrifolia,San Diego,Julian.,1220,33.0787,-116.602,1609.34,,,WGS84,cch1
JEPS1794,1920-04-23,1920,4,23,114,,San Diego,head of Grapevine Canyon,,33.1758,-116.5233,,,,NAD83,cch1
POM46977,1919-06-03,1919,6,3,154,integrifolia,San Diego,"""Edge of woods, mesa Grande.""",1021,33.18032,-116.76919,1610,,,WGS84,cch1
POM305712,1939-04-22,1939,4,22,112,,San Diego,East of Lake Henshaw.,,33.23906,-116.69116,1610,,,WGS84,cch1
CDA20118,2003-04-17,2003,4,17,107,menziesii,San Diego,Peninsular Ranges; 6 mi E of Rincon.,,33.283333,-116.887778,,,,,cch1
POM155815,1903-04-26,1903,4,26,116,integrifolia,San Diego,"""Hills near Moro School, Falbrook.""",,33.30764,-117.25945,1609,,,WGS84,cch1
PASA2116,1929-05-04,1929,5,4,124,,San Diego,"""Palomar, east trail""",1295.4,33.36337,-116.83613,3218.68,,,WGS84,cch1
POM73920,1882-03-23,1882,3,23,82,integrifolia,San Diego,Fallbrook.,,33.37642,-117.25115,4828.02,,,WGS84,cch1
JEPS1481,1935-04-21,1935,4,21,111,,San Diego,Oak Grove Valley Oak Grove Valley (e San Diego Co.),838,33.39359,-116.78796,805,,,WGS84,cch1
POM289751,1932-03-26,1932,3,26,86,,Riverside,Temecula Grade. Temecula Valley.,549,33.4667,-117.1362,1000,,,WGS84,cch1
JEPS60186,1969-04-24,1969,4,24,114,,Riverside,along highway 79 about 2 1/2 mi s Sage; s of Sage,,33.55012,-116.90912,741,,,WGS84,cch1
CLARK-A1656-623,1978-06-05,1978,6,5,156,,Riverside,San Jacinto Mountains,1493.52,33.5615,-116.5704,,,,WGS84/NAD83,cch1
POM305648,1939-04-22,1939,4,22,112,,Riverside,"""Hemet-Anza, Bautista Creek Road.""",,33.6401,-116.8018,10700,,,WGS84,cch1
POM264311,1937-05-10,1937,5,10,130,integrifolia,Riverside,Lake Elsinore.,,33.647222,-117.337222,,,,,cch1
POM3489,1917-04-04,1917,4,4,94,,Riverside,Palm Canyon,762,33.6698,-116.5157,1000,,,WGS84,cch1
POM13005,1922-05-19,1922,5,19,139,,Riverside,"""Keen Canyon, San Jacinto Mountains.""",1524,33.701,-116.7105,558,,,WGS84,cch1
POM3455,1897-04-07,1897,4,7,97,,Riverside,"""Winchester, Riverside""",,33.707306,-117.084694,,,,,cch1
CHSC699,1940-03-10,1940,3,10,70,,Riverside,Pleasant Valley near Winchester.,,33.708611,-117.082778,16093.4,,,NAD 1983,cch1
POM184247,1932-03-24,1932,3,24,84,,Riverside,North of Elsinore,305,33.708889,-117.360833,,,,,cch1
CSUSB123,1975-04-27,1975,4,27,117,,Riverside,Juniper Flats Rs. and Highway 74 at Homeland.,542.544,33.74732,-117.1146,1460,,,WGS84,cch1
CAS-BOT-BC224919,2011-04-06,2011,4,6,96,,Riverside,"""Peninsular Range; Santa Ana Mtns. Region: Temescal Canyon, along Temescal Canyon Rd. 1.5 mi. NE (73 deg. ) of Glen Ivy Hot Springs, 0-0.4 mi. NE of I-15 crossing""",311,33.763056,-117.466389,,,,,cch1
HSC13591,1964-03-17,1964,3,17,77,,Riverside,"""8 mi. SE of Corona, along road to Elsinore""",,33.7854,-117.4947,3000,,,WGS84,cch1
POM258226,1941-03-26,1941,3,26,85,,Riverside,Soboba Springs.,,33.7996,-116.9277,1000,,,WGS84,cch1
JEPS29295,1962-03-25,1962,3,25,84,,Riverside,"""about 5 mi se Corona (on both sides of Temescal Wash from Santa Ana Canyon to Elsinore, just n of Bedford Canyon, eastern base of the Santa Ana Mountains); eastern base Santa Ana Mountains, n of Bedford Canyon""",304,33.8155,-117.5448,2300,,,,cch1
CSUSB120,1965-04-21,1965,4,21,111,menziesii,Riverside,About 1 mile southwest of Lake Matthews Dam; near roadside on steep slope; Riverside.,,33.82936,-117.46651,1000,,,WGS84,cch1
JEPS1478,1939-04-17,1939,4,17,107,,Riverside,Corona,,33.855598,-117.570198,8000,,,WGS84,cch1
POM347132,1926-03-13,1926,3,13,72,integrifolia,Orange,Santa Ana Canyon.,,33.876448,-117.687658,3000,,,WGS84,cch1
POM126470,1908-02-02,1908,2,2,33,,Riverside,Box Springs Mts. Foothills,,33.9382,-117.3195,1500,,,WGS84,cch1
CSUSB122,1966-02-20,1966,2,20,51,menziesii,Riverside,"""Arlington Ave., 1 mile east of Victoria Street, 100 yards south of road. City of Riverside.""",304.8,33.94073,-117.35647,277,,,WGS84,cch1
CLARK-A1703-30,1966-03-09,1966,3,9,68,,Riverside,Riverside,213.36,33.9669,-117.347,,,,WGS84/NAD83,cch1
CLARK-A1528-548,1937-06-17,1937,6,17,168,,Riverside,Box Springs Mountains,,33.9761,-117.2899,,,,WGS84/NAD83,cch1
CLARK-A1528-2987,1947-03-21,1947,3,21,80,,Riverside,Reche Canyon,,33.9996,-117.2317,,,,WGS84/NAD83,cch1
POM128992,1927-05-07,1927,5,7,127,,San Bernardino,"""South Bench, Yucaipa""",,34.0039,-117.062,2000,,,WGS84,cch1
CLARK-A1528-5660,1952-02-29,1952,2,29,60,,Riverside,Reche Canyon,457.20000000000005,34.0076,-117.2567,,,,WGS84/NAD83,cch1
CHSC26054,1963-05-04,1963,5,4,124,,San Bernardino,Head of Wildwood Canyon above Yucaipa.,1066,34.014722,-117.001389,1609.34,,,NAD 1983,cch1
CHSC701,1938-04-01,1938,4,1,91,integrifolia,San Bernardino,Redlands Wash,,34.039722,-117.193333,4828.02,,,NAD 1983,cch1
POM7063,1919-04-05,1919,4,5,95,integrifolia,Los Angeles,"""Puddingstone Canyon, near San Dimas.""",274,34.0872,-117.8135,1500,,,WGS84,cch1
POM126458,1908-03-13,1908,3,13,73,,San Bernardino,San Bernardino Valley.,360,34.113067,-117.291902,10000,,,WGS84,cch1
LA202608,1941-04-08,1941,4,8,98,menziesii,Los Angeles,"""Santa Monica Mountains, Sherman Oaks""",,34.14330879,-118.4534229,9999,,,NAD 1927,cch1
IRVC26484,2003-04-05,2003,4,5,95,,San Bernardino,"""UC Burns Pinyon Ridge Reserve, off Skyline Ranch Rd. ca. 2 miles (air) ESE of Pinoneertown, 1.5 mi. (air) NW of Yucca Valley, between front gate and reserve headquarters at old Burns home. Little San Bernardino Mountains""",1250,34.149167,-116.455833,1000,,,WGS84,cch1
