specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source
RSA75878,1925-05-12,1925,5,12,132,integrifolia,San Diego,Potrero Grade,686,32.59699,-116.65411,4827,,,WGS84,cch1
RSA701641,2001-03-16,2001,3,16,75,integrifolia,Imperial,"""Jacumba Natural Area, In-ko-pah Mountains, near SmugglerAs Cove.""",1046,32.628333,-116.11,,,,,cch1
RSA0011369,2013-03-16,2013,3,16,75,integrifolia,San Diego,The Jacumba Mountains; north side of Table Mountain.,1033,32.6639,-116.14568,,,,NAD83,cch1
RSA0073978,2010-04-24,2010,4,24,114,integrifolia,San Diego,Rancho San Diego; US Fish & Wildlife Refuge; N side of San Miguel Mountains; W of Millar Ranch Road; 0.37 miles SSW of junction with highway 94 (Campo Road).,125,32.726,-116.9404,,,,,cch1
RSA733465,2007-03-25,2007,3,25,84,integrifolia,San Diego,"""Cleveland National Forest: Pine Creek Wilderness; north of Barrett Lake, southeast of Alpine north of the Horsethief Canyon Trailhead on Lyons Valley Road, along a trail in the bottom of Horsethief Canyon not that this area was partially burned in 2006.""",635,32.7547,-116.6622,,,,,cch1
RSA421497,1938-05-29,1938,5,29,149,integrifolia,San Diego,Laguna Mt.,,32.8433,-116.4806,12070.05,,,WGS84,cch1
RSA421498,1925-06-08,1925,6,8,159,integrifolia,San Diego,Laguna Lake region.,,32.87988,-116.45768,806,,,WGS84,cch1
RSA733241,2005-06-29,2005,6,29,180,integrifolia,San Diego,"""Laguna Mountains: Clevelad National Forest; vicinity of Penny Pines above Storm Canyon, E of Sunrise highway and W of the Pacific Crest Trail, Sw of Garnet Peak.""",1660,32.9144,-116.4578,,,,,cch1
RSA421367,1929-03-30,1929,3,30,89,,San Diego,Cuyamaca Valley.,,32.99264,-116.56513,2415,,,WGS84,cch1
RSA701528,2004-04-05,2004,4,5,96,,San Diego,"""Pine Hills area, between Magee Flat and Deadman Flat along Eagle Peak Rd.""",,33.031111,-116.660556,,,,,cch1
RSA798328,2013-03-26,2013,3,26,85,integrifolia,San Diego,Lake Hodges: south of Escondido; southeast of the intersection of Lake Drive and Beech Lane; along the north side of Lake southeast of the boat ramp.,130,33.0633,-117.1004,,,,,cch1
RSA421370,1947-04-14,1947,4,14,104,menziesii,San Diego,San Felipe.,1067,33.1992,-116.5986,1609.34,,,WGS84,cch1
RSA75880,1930-05-11,1930,5,11,131,integrifolia,San Diego,Henshaw Dam.,854,33.2417,-116.7631,402.335,,,WGS84,cch1
RSA12318,1934-04-15,1934,4,15,105,integrifolia,San Diego,4 miles from Bonsall on road to Moosa Canyon.,122,33.26802,-117.17116,1610,,,WGS84,cch1
RSA703103,2004-04-27,2004,4,27,118,,San Diego,"""Warner Springs area, rolling terrain near the Pacific Crest Trail, south of Highway 79 and west of the Warner Springs resort.""",898,33.270833,-116.532222,,,,,cch1
RSA69060,1938-04-27,1938,4,27,117,integrifolia,San Diego,"""Cedar Creek Bridge, Alt 1050m. San Diego County.""",1050,33.27763,-116.85549,402.335,,,WGS84,cch1
RSA668058,1957-06-08,1957,6,8,159,,San Diego,"""Near crestline Camp, Palomar Mt., Agua Tibia Mountains.""",1646,33.31277,-116.86427,162,,,WGS84,cch1
RSA69363,1951-06-05,1951,6,5,156,integrifolia,San Diego,Doan Valley.,1372,33.33853,-116.8983,1609,,,WGS84,cch1
RSA43793,1949-06-01,1949,6,1,152,integrifolia,San Diego,"""Doane Valley, Palomar Mt.""",,33.34176,-116.90197,1367.939,,,WGS84,cch1
RSA613194,1997-04-08,1997,4,8,98,,San Diego,"""NW Palomar Mountains, Agua Tibia Mountains: Wilderness Gardens Preserve. Approximately 3.4 miles east of Pala south of Hwy. 76 along the San Luis Rey River., Areas along the main trail network from the parking area along the primary driveway within the river bottom to areas of native grasslands on the higher slopes.""",162,33.350278,-117.032778,,,,,cch1
RSA305715,1973-05-04,1973,5,4,124,,Los Angeles,Middle of Middle Ranch Canyon; Santa Catalina Island.,244,33.361789,-118.416738,819,,,WGS84,cch1
RSA75875,1929-05-04,1929,5,4,124,,San Diego,Trail from Oak Grove to Palomar Mountain.,1296,33.37724,-116.81395,4827,,,WGS84,cch1
RSA587321,1995-06-13,1995,6,13,164,integrifolia,San Diego,"""NW Palomar Mountains; Agua Tibia Mountains; Cleveland National Forest, Agua Tibia Wilderness Area, W slope of Agua Tibia Mountains, SSW of Crosley Saddle., N branch of upper Agua Tibia Creek, at confluences of two large drainages from the E. North of the wilderness boundary. T9S R1W NE/4 NW/4 Sec.15.""",1049,33.3966,-116.973,241.401,,,WGS84,cch1
RSA763963,2010-05-14,2010,5,14,134,,San Diego,"""Dameron Valley: East side of Hwy 79, 0.6 miles south of Riverside/San Diego county line, +/- 3.0 miles NW of Oak Grove.""",754,33.416944,-116.827222,,,,,cch1
RSA421368,1945-03-25,1945,3,25,84,menziesii,San Diego,Cottonwood Creek near Aguanga,610,33.42605,-116.8679,1610,,,WGS84,cch1
RSA613142,1997-03-06,1997,3,6,65,integrifolia,Riverside,"""NW Palomar Mountains, Agua Tibia Mountains: Pechanga Indian Reservation. Area between a newly established firebreak on the south end of the Reservation, west of Magee Truck Trail and upper Pala Creek.""",396,33.4384,-117.0758,1000,,,NAD83,cch1
RSA586935,1995-05-04,1995,5,4,124,integrifolia,Riverside,"""NW Palomar Mountains; Agua Tibia Mountains; Cleveland National Forest, Agua Tibia Wilderness Area. N slope of Agua Tibia Mtn., E of the Dripping Springs Alcove Area, N of the Woodchuck Trail.""",610,33.4525,-116.956389,,,,,cch1
RSA421337,1973-04-01,1973,4,1,91,,Riverside,"""Jct. Vail Lake Marina and Hwy. 71/79, about 3 miles west of Aguanga.""",426,33.459167,-116.907222,,,,,cch1
RSA523544,1990-04-02,1990,4,2,92,menziesii,Riverside,"""Vail Lake area, lower slopes of Agua Tibia Mtn, along Hwy 79, E of USFWS Dripping Springs Guard Station.""",488,33.464167,-116.956944,,,,,cch1
RSA613472,1997-03-13,1997,3,13,72,menziesii,Riverside,"""NW Palomar Mountains, Agua Tibia Mountains: In the Redhawk Housing Development, north of the Pechanga Indian Reservation. The hills south of the intersection of Marge Place and Tehachapi Pass (south of Redhawk Parkway).""",378,33.470278,-117.076944,,,,,cch1
RSA5018,1932-03-20,1932,3,20,80,,Riverside,"""Richman Ranch, 2.5 miles no. of De Luz; S.W. Riverside County.""",457,33.473333,-117.315833,,,,,cch1
RSA543739,1991-05-02,1991,5,2,122,,Riverside,"""Vail Lake region, SW & W flanks of Billy Goat Mountain, 3 miles N Hwy 79, 1 mile W of Hwy 371, N of Aguanga.""",600,33.476667,-116.870556,,,,,cch1
RSA562471,1992-05-06,1992,5,6,127,,San Diego,"""Southern Santa Ana Mountains, San Mateo Canyon Wilderness Area. South side of Miller Mountain along """"Miller Canyon'"""", the major drainage on the southern flank of the mountain., From Road 8S02 upstream to the area of contact between lower granitic and higher basaltic rocks.""",640,33.485833,-117.395278,,,,,cch1
RSA524475,1990-04-03,1990,4,3,93,,Riverside,"""Vail Lake area, upper benches and adjacent slopes of the E flank of 'Big' Oak Mountain., just S of the E summit.""",610,33.5,-116.966667,400,,,NAD83,cch1
RSA522735,1990-03-29,1990,3,29,88,,Riverside,"""Vail Lake area, cinder cone ridge at N side of mouth of Temecula Creek Canyon and adjacent benches on S Flank of Big Oak Mountain.""",396,33.5025,-116.998611,1600,,,NAD83,cch1
RSA191997,1960-03-25,1960,3,25,85,,Riverside,14 miles west of Murrieta.,,33.5028,-117.3433,1000,,,WGS84,cch1
RSA180273,1965-04-04,1965,4,4,94,integrifolia,Riverside,8 miles west of Murrieta-Tenaja Range.,,33.5051,-117.2834,200,,,WGS84,cch1
RSA191996,1959-04-02,1959,4,2,92,,Riverside,"""Cleveland National Forest, Trabuco District, Tenaja Guard Station, slopes of Tenaja Canyon.""",,33.5068,-117.3643,200,,,WGS84,cch1
RSA682600,2003-03-27,2003,3,27,86,,Orange,Santa Ana Mountain Foothills: Canyon bottom and west facing slopes above Canada Gobernadora.,91,33.533333,-117.583333,,,,,cch1
RSA523514,1990-03-30,1990,3,30,89,,Riverside,"""Vail Lake area, valley between Black Hills & Rocky Ridge.""",701,33.5363,-116.9537,500,,,WGS84,cch1
RSA421345,1947-06-09,1947,6,9,160,,Riverside,"""Los Alamos Canyon, Elsinore.""",762,33.55,-117.395,20000,,,NAD27,cch1
RSA12926,1935-04-07,1935,4,7,97,integrifolia,Orange,"""San Juan Canyon, Ortega Hwy, 2 miles east Orange County.""",762,33.5963,-117.4647,500,,,WGS84,cch1
RSA645309,2000-05-21,2000,5,21,142,integrifolia,Riverside,"""Peninsular Ranges; Santa Ana Mountains: Morgan Canyon, San Mateo Canyon Wilderness Area, along Morgan Trail about 1 mile from trailhead on Main Divide Road.""",,33.60533,-117.42316,1199,,,WGS84,cch1
RSA421354,1935-03-03,1935,3,3,62,,Riverside,San Juan Canyon.,762,33.606389,-117.4325,,,,,cch1
RSA75874,1929-05-04,1929,5,4,124,,Riverside,"""In open spaces along road, summit of St. JohnAs Grade, south of Hemet.""",793,33.6093,-116.9354,1250,,,WGS84,cch1
RSA421340,1969-04-12,1969,4,12,102,,Riverside,"""10 mi SE of Hemet, 200 yrs. E. of State St. in a wash.""",335,33.62205,-116.9371,3000,,,WGS84,cch1
RSA262102,1971-03-24,1971,3,24,83,integrifolia,Riverside,Main Divide Truck Trail between El Carriso and San Mateo Canyon. Cleveland National Forest.,1220,33.625,-117.375,,,,,cch1
RSA483609,1988-05-21,1988,5,21,142,,Riverside,"""Thomas Mountain Rd, from North to South. West of Garner Valley and South of Lake Hemet on Hwy 74""",1677,33.63742,-116.70553,1000,,,WGS84,cch1
RSA606291,1994-04-07,1994,4,7,97,,Riverside,"""Shipley Reserve, study site Sh4. S of Hemet, S end of Rawson Road""",660,33.6382,-117.0313,2000,,,WGS84,cch1
RSA769524,2010-05-10,2010,5,10,130,integrifolia,Riverside,"""San Bernardino National Forest: Garner Valley, approximately 1.1 air mile southeast of junction of forest service road 6S13 and forest service road 6S04.""",1349,33.64496,-116.65589,,,,,cch1
RSA421339,1929-04-07,1929,4,7,97,,Riverside,S. Hemet.,,33.6804,-116.9711,3200,,,WGS84,cch1
RSA421335,1929-03-02,1929,3,2,61,,Riverside,Near Elsinore.,,33.6814,-117.3608,4000,,,WGS84,cch1
RSA673728,2000-05-27,2000,5,27,148,,Riverside,San Jacinto Mountains: Baldy Mtn. area.,1616,33.683333,-116.716667,1600,,,NAD83,cch1
RSA496740,1988-02-04,1988,2,4,35,,Riverside,"""Northgate Estates development, immediately NW of Canyon Lake.""",488,33.704167,-117.28,,,,,cch1
RSA444484,1966-04-05,1966,4,5,95,,Riverside,Winchester.,,33.707306,-117.084694,,,,,cch1
RSA421331,1929-03-02,1929,3,2,61,,Riverside,Near Alberhill,,33.7181,-117.3896,2000,,,WGS84,cch1
RSA802257,2013-06-05,2013,6,5,156,,Riverside,In Strawberry Creek below Strawberry Valley approximately 2.25 air miles southwest of Idyllwild.,,33.72957,-116.74579,,,,NAD83,cch1
RSA749469,1999-04-22,1999,4,22,112,menziesii,Orange,"""Lomas de Santiago: tributary to Santiago Creek wash along spur road on ridge between Limestone Cyn. and Santiago Creek wash opposite Williams Cyn., 1.8 km SE Silverado Sch. and 2.3 km NNW Bolero Lookout.""",396,33.729722,-117.6575,9,,,,cch1
RSA751918,2009-05-22,2009,5,22,142,,Riverside,"""San Jacinto Mountains: Old Control Road, above Halfway Spring.""",1159,33.733333,-116.766667,,,,,cch1
