specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source
SDSU6124,1941-05-16,1941,5,16,136,integrifolia,San Diego,Campo to Boulevvard Highway.,,32.6513,-116.383,,,,,cch1
SD261570,1917-05-12,1917,5,12,132,integrifolia,San Diego,Cleveland National Forest: Barber Mountain area: west of Barrett Lake and southeast of the junction of Honey Springs Road and Lyons Valley Road; along Forest Rte. 17S10/Barber Mountain Road; along stream in rocky canyon,700,32.68267,-116.69306,,,,,cch1
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,,32.734,-117.129,9500,,,WGS84,cch1
SBBG6145,1937-03-11,1937,3,11,70,integrifolia,San Diego,Cuyamaca Rd above Julian,,33.0124,-116.5613,6435,,,WGS84,cch1
SD38532,1935-04-19,1935,4,19,109,,San Diego,"""In shade of shrubs, 1 mile east of Banner""",,33.0768,-116.53406,402.335,,,WGS84,cch1
SEINET7072858,1963-05-20,1963,5,20,140,,San Diego,"""North of Julian on Volcan Road. Coordinate datum: WGS84/NAD83. (33? deg. 6' 42"""" North Latitude, -116? deg. 36' 5"""" West Longitude, Coordinate datum: NAD27.).""",,33.1117,-116.602,,,,,cch1
SD176710,2006-05-10,2006,5,10,130,integrifolia,San Diego,"""Warner Springs area, Vista Irrigation District land, in wash south of S-2 (San Felipe Rd) ca. 1 mile SE of S-2's intersection with SR-79.""",900,33.2395,-116.6631,,,,,cch1
UCSC009129,2015-03-24,2015,3,24,83,,San Diego,"""East Grade Road, Palomar Mountain""",1428,33.2923,-116.8283,,,,,cch1
SD244363,2015-02-24,2015,2,24,55,integrifolia,San Diego,Camp Pendleton: central portion of Base; India Training Area; north of Basilone Rd. & east of Roblar Rd.; along a trail in a canyon bottom,139,33.3572,-117.3504,,,,,cch1
SD262013,1917-03-14,1917,3,14,73,integrifolia,San Diego,"""Fallbrook Naval Weapons Station: west of Fallbrook; North Magazine, north of Ammunition Road; northwestern part of station; on the northwestern slope of the highest peak on the station""",245,33.38229,-117.28723,,,,,cch1
SEINET7067555,1947-06-13,1947,6,13,164,,Riverside,About 5.2 miles northeast of De Luz in Sandia Canyon. Coordinate datum: NAD27.,,33.4886,-117.2544,,,,,cch1
SEINET7063430,1947-03-30,1947,3,30,89,menziesii,Riverside,"""About 4.2 miles west of Sage on East Benton Road. UTM Zone 11, 499198mE, 3715007mN. (WGS84/NAD83).""",549,33.5748,-117.0086,,,,,cch1
SEINET7063438,1947-03-30,1947,3,30,89,menziesii,Riverside,"""About 4.2 miles west of Sage in Tucalota Valley on East Benton Road. UTM Zone 11, 501405mE, 3715115mN. (WGS84/NAD83).""",561,33.5757,-116.9849,,,,,cch1
SEINET7073387,1963-04-23,1963,4,23,113,,Riverside,About 0.6 mile up Railroad Canyon Road southeast of Lake Elsinore. Coordinate datum: NAD27.,,33.6637,-117.2864,,,,,cch1
SEINET7073396,1963-04-23,1963,4,23,113,,Riverside,About 1.6 mile up the Railroad Canyon Road southeast of Lake Elsinore. Coordinate datum: NAD27.,,33.6641,-117.2692,,,,,cch1
SEINET7063415,1947-03-29,1947,3,29,88,menziesii,Riverside,"""About 6.2 miles east of Lake Elsinore on Newport Road. UTM Zone 11, 481169mE, 3727240mN. (WGS84/NAD83).""",434,33.6849,-117.2032,,,,,cch1
UCR122527,2001-05-20,2001,5,20,140,,Riverside,"""San Jacinto Mtns., 0.3 mi NW of Keen Camp Summit along CA-74""",1494,33.68833,-116.70333,,,,,cch1
UCD120217,1975-04-26,1975,4,26,116,,Riverside,Mayhew Canyon 1.5 mi. southeast of Glen Ivy on Highway 71.,335,33.7627,-117.4655,,,,WGS84,cch1
UCD120224,1933-04-02,1933,4,2,92,,Riverside,Box Springs Hills.,,33.98152,-117.29485,,,,WGS84,cch1
UCR16823,1974-05-02,1974,5,2,122,integrifolia,Riverside,"""San Bernardino Mtns., Banning Canyon""",1524,34.025,-116.86667,,,,,cch1
UCD120079,1964-03-26,1964,3,26,86,,San Bernardino,Dry Morongo Valley.,,34.0457,-116.6202,,,,WGS84,cch1
SEINET3091664,1945-05-05,1945,5,5,125,,Riverside,San Gorgonio Mountains above Banning.,914,34.087216,-116.835735,10000,,,,cch1
