specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,county,locality,datum,source
CAS-BOT-BC224919,2011-04-06,2011,4,6,96,33.763056,-117.466389,311,NA,NA,Riverside,"""Peninsular Range; Santa Ana Mtns. Region: Temescal Canyon, along Temescal Canyon Rd. 1.5 mi. NE (73 deg. ) of Glen Ivy Hot Springs, 0-0.4 mi. NE of I-15 crossing""",NA,cch1
CAS-BOT-BC263265,2012-03-24,2012,3,24,84,37.96519,-122.61191,NA,NA,NA,Marin,"""Mount Tamalpais. Marin Municipal Water District lands: Sky Oaks Meadow, outcrop near Meadow Club golf course""",NA,cch1
CAS-BOT-BC422397,2014-04-26,2014,4,26,116,37.96388,-122.62416,NA,NA,NA,Marin,Mount Tamalpais. Marin Municipal Water District lands: Less than 0.25 miles up Azalea Hill Trail from intersection with Bolinas-Fairfax Road. Plot on north side of trail near shallow drainage.,NA,cch1
CAS-BOT-BC7219,1897-04-15,1897,4,15,105,39.605797,-121.68332,53,415.20972,NA,Butte,Near Clear Creek,"""Terrain Navigator 1:24,000 (copied from UC107941)""",cch1
CHSC116923,2011-03-18,2011,3,18,77,39.91,-122.128611,66,NA,NA,Tehama,"""Corning,Loleta Avenue.""",NA,cch1
CHSC116929,2011-04-24,2011,4,24,114,39.610556,-121.561667,235,NA,NA,Glenn,Oak woodland 4 miles NW of Elk Creek. Beautiful rolling foothills.,NA,cch1
CHSC12046,1970-03-23,1970,3,23,82,39.198889,-121.795,121,3218.68,NA,Sutter,"""Ca. 700 yds. n of Cole House, Moore Canyon, Sutter Buttes.""",NAD 1983,cch1
CHSC14010,1974-04-09,1974,4,9,99,38.176667,-120.391667,914,3218.68,NA,Calaveras,"""5 mi e of Hwy 4, 5 mi e of Murphys; w facing slope.""",NAD 1983,cch1
CHSC14017,1974-03-30,1974,3,30,89,39.011667,-122.366667,335,402.335,NA,Colusa,Locally scattered along roadside ca. 0.5 mi w of jct of Hwys 20 and 16 on Hwy 20.,NAD 1983,cch1
CHSC24140,1976-04-03,1976,4,3,94,38.9425,-122.792222,NA,402.335,NA,Lake,"""Growing ca. 12 yds from road at intersection of Hwys. 29 and 175, 11 mi. s of Kelseyville.""",NAD 1983,cch1
