specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,county,locality,source,datum
CAS-BOT-BC224919,2011-04-06,2011,4,6,96,33.763056,-117.466389,311,NA,NA,Riverside,"""Peninsular Range; Santa Ana Mtns. Region: Temescal Canyon, along Temescal Canyon Rd. 1.5 mi. NE (73 deg. ) of Glen Ivy Hot Springs, 0-0.4 mi. NE of I-15 crossing""",cch1,NA
CAS-BOT-BC263265,2012-03-24,2012,3,24,84,37.96519,-122.61191,NA,NA,NA,Marin,"""Mount Tamalpais. Marin Municipal Water District lands: Sky Oaks Meadow, outcrop near Meadow Club golf course""",cch1,NA
CAS-BOT-BC422397,2014-04-26,2014,4,26,116,37.96388,-122.62416,NA,NA,NA,Marin,Mount Tamalpais. Marin Municipal Water District lands: Less than 0.25 miles up Azalea Hill Trail from intersection with Bolinas-Fairfax Road. Plot on north side of trail near shallow drainage.,cch1,NA
CAS-BOT-BC7219,1897-04-15,1897,4,15,105,39.605797,-121.68332,53,415.20972,NA,Butte,Near Clear Creek,cch1,"""Terrain Navigator 1:24,000 (copied from UC107941)"""
CHSC116923,2011-03-18,2011,3,18,77,39.91,-122.128611,66,NA,NA,Tehama,"""Corning,Loleta Avenue.""",cch1,NA
CHSC116929,2011-04-24,2011,4,24,114,39.610556,-121.561667,235,NA,NA,Glenn,Oak woodland 4 miles NW of Elk Creek. Beautiful rolling foothills.,cch1,NA
CHSC12046,1970-03-23,1970,3,23,82,39.198889,-121.795,121,3218.68,NA,Sutter,"""Ca. 700 yds. n of Cole House, Moore Canyon, Sutter Buttes.""",cch1,NAD 1983
CHSC14010,1974-04-09,1974,4,9,99,38.176667,-120.391667,914,3218.68,NA,Calaveras,"""5 mi e of Hwy 4, 5 mi e of Murphys; w facing slope.""",cch1,NAD 1983
CHSC14017,1974-03-30,1974,3,30,89,39.011667,-122.366667,335,402.335,NA,Colusa,Locally scattered along roadside ca. 0.5 mi w of jct of Hwys 20 and 16 on Hwy 20.,cch1,NAD 1983
CHSC24140,1976-04-03,1976,4,3,94,38.9425,-122.792222,NA,402.335,NA,Lake,"""Growing ca. 12 yds from road at intersection of Hwys. 29 and 175, 11 mi. s of Kelseyville.""",cch1,NAD 1983
CHSC24951,1976-04-14,1976,4,14,105,39.233889,-123.370278,426,3218.68,NA,Mendocino,Ca. 2-12 yds n of Orr Springs Rd and 12.8 mi w of Orr Springs Rd-Business 101 intersection in central Ukiah.,cch1,NAD 1983
CHSC2522,1958-04-19,1958,4,19,109,39.732778,-121.834167,365,16093.4,NA,Butte,"""Chico Canyon, Chico area.""",cch1,NAD 1983
CHSC26054,1963-05-04,1963,5,4,124,34.014722,-117.001389,1066,1609.34,NA,San Bernardino,Head of Wildwood Canyon above Yucaipa.,cch1,NAD 1983
CHSC27541,1978-04-09,1978,4,9,99,38.9425,-122.792222,499,402.335,NA,Lake,"""Jct. hwy.29 and 175, ca. 3 mi se of Kelseyville.""",cch1,NAD 1983
CHSC27746,1978-03-25,1978,3,25,84,37.707778,-120.200833,502,201.1675,NA,Mariposa,"""Highway 132, ca. .4 mi w of junction with Highway 49 at Coulterville.""",cch1,NAD 1983
CHSC27799,1978-04-08,1978,4,8,98,38.9425,-122.792222,463,402.335,NA,Lake,"""Jct. Hwys. 29 and 175, ca. 3 mi. se of Kelseyville.""",cch1,NAD 1983
CHSC31076,1980-04-02,1980,4,2,93,38.363333,-122.560278,225,201.1675,NA,Sonoma,Ca. 15 mi se of Petaluma. Ca. 1.3 mi w of jct of Warm Springs Rd and Sonoma Mountain Rd on s side of road.,cch1,NAD 1983
CHSC31077,1980-04-01,1980,4,1,92,39.550556,-121.380278,316,804.67,NA,Butte,"""25 yd n of Craig Access Rd, 2 mi ssw of Lumpkin Rd inside boundary of State Park, ca. 18 mi e of Oroville.""",cch1,NAD 1983
CHSC31306,1980-05-14,1980,5,14,135,39.716389,-123.489444,NA,402.335,NA,Mendocino,1.2 mi n of Laytonville city limits between Rte 101 and County Road 307. Under a large Quercus lobata.,cch1,NAD 1983
CHSC32094,1973-04-15,1973,4,15,105,39.395833,-121.361944,304,804.67,NA,Yuba,"""On dry edge of rd cut bank, Darby Rd, Bangor.""",cch1,NAD 1983
