coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
380487,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. menziesii",1,,,,,,,,urn:uuid:887b6e4a-f41d-407c-ba75-5bc45c602093,"2019-04-22 18:22:30"
380487,unknown,,s.d.,,"Nemophila menziesii",0,"H.& A.",,,,,,,urn:uuid:6d7f7a69-0654-4a69-980d-7e14bbd43949,"2019-04-22 18:22:30"
380493,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. menziesii",1,,,,,,,,urn:uuid:d213479f-ff2b-440d-bddf-978e2f54124d,"2019-04-22 18:22:30"
380493,unknown,,s.d.,,"Nemophila menziesii",0,"H and G",,,,,,,urn:uuid:80b7d9d3-2843-4614-9965-dbbe7114cbf0,"2019-04-22 18:22:30"
380499,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. menziesii",1,,,,,,,,urn:uuid:bf89d75c-d2d0-451f-9722-03ebe4559fa4,"2019-04-22 18:22:30"
380499,"D. F. Howe",,s.d.,,"Nemophila menziesii",0,Nutt.,,,,,,,urn:uuid:12a31c7f-c5c9-417d-bd56-15bf51f211b7,"2019-04-22 18:22:30"
380505,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. menziesii",1,,,,,,,,urn:uuid:3548fcf2-e070-40ca-b63c-8b8573e6d45f,"2019-04-22 18:22:30"
380505,unknown,,s.d.,,"Nemophila menziesii",0,H.&A,,,,,,,urn:uuid:0ae69668-5265-44ac-ae8f-610bb505e8b8,"2019-04-22 18:22:30"
380511,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. atomaria",1,"(Fisch. & Mey.) Voss",,,,,,,urn:uuid:f16f8efb-cb76-4d51-a18b-34a3a2f8996b,"2019-04-22 17:35:43"
380511,"D. F. Howe",,s.d.,,"Nemophila menziesii subsp. atomaria",0,"(F. & M.) Brand.",,,,,,,urn:uuid:3f371adb-6883-49ad-8a11-ef0d7e46a159,"2019-04-22 17:35:43"
394081,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. integrifolia",1,Brand,,,,,,,urn:uuid:dba475e3-14a5-4c8c-999c-0bb6931ff0b6,"2019-04-22 18:16:48"
394081,unknown,,s.d.,,"Nemophila menziesii var. menziesii",0,"Hook. & Arn.",,,,,,,urn:uuid:f1a7c837-12b7-4ae9-a331-64d5de1a1cbd,"2019-04-22 18:16:48"
380517,"Michael G. Simpson",,2019-04-22,,"Nemophila menziesii var. integrifolia",1,Brand,,,,,,,urn:uuid:40aa18c1-9075-4693-abc3-c0d1fd2213af,"2019-04-22 18:16:48"
380517,"D. F. Howe",,s.d.,,"Nemophila menziesii",0,"H. & A.",,,,,,,urn:uuid:6e46ef2f-7c95-45fb-b712-59647cc0df11,"2019-04-22 18:16:48"
