specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,source
SD00010586,500269,2012-02-17,2012,2,17,48,integrifolia,FFL,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,some clay soils,85,32.5365,-117.10306,,,,cch2
SD00010592,500286,2008-04-11,2008,4,11,102,integrifolia,FL,San Diego,"Border Field State Park, at the eastern base of Bunker Hill, south of city of Imperial Beach. South Mesa, flat area just north of US/Mexico Border fence, 1 mi E of Pacific Ocean and about .1 mi NW of Border Monument 257",marine sediment,70,32.53722,-117.105,,,,cch2
SD00010634,500242,2008-03-14,2008,3,14,74,integrifolia,FL,San Diego,"Border Field State Park, bottom of east facing slope, south towards the border fence, about 1.3 mi east of Pacific Ocean and .15 miles northeast of Border Monument #257",marine sediment,27,32.5375,-117.10194,,,,cch2
SD00010554,500058,1936-04-28,1936,4,28,119,integrifolia,FFL,San Diego,Near Monument School,,,32.54362,-117.08315,402,,,cch2
OBI106058,196221,1954-05-18,1954,5,18,138,integrifolia,,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",One year old burn,732,32.5962,-116.545,805,,,cch2
SD00010556,500049,1935-04-03,1935,4,3,93,integrifolia,FL,San Diego,Near Tecate Junction on Potrero Grade,,,32.59816,-116.64312,805,,,cch2
SD00010611,500079,1941-05-22,1941,5,22,142,integrifolia,FFL,San Diego,Burn between Campo and Canyon City,,,32.5987,-116.50384,3218,,,cch2
SD00008034,500148,1983-05-14,1983,5,14,134,menziesii,FL,Imperial,"In-Ko-Pah Mountains, south of I-8. (IPB 10/07)","Damp, sandy d.g.",1158,32.63057,-116.0937,241,,,cch2
SD00008033,500176,2001-03-16,2001,3,16,75,integrifolia,FL,Imperial,"Jacumba Natural Area, In-Ko-Pah Mountains, near Smuggler's Cove. (IPB 10/07)",,1046,32.63482,-116.09537,241,,,cch2
SD00010534,500184,2003-04-19,2003,4,19,109,integrifolia,FL,San Diego,Boulevard - Garza Property near Shasta Lane - Location 1- near graded area at southwestern edge of property.,Granitic,1123,32.63889,-116.34556,,,,cch2
SD00010538,500082,1941-05-16,1941,5,16,136,integrifolia,FFL,San Diego,Campo Boulevard highway,,,32.65127,-116.38252,11263,,,cch2
SD00010547,500048,1935-03-23,1935,3,23,82,integrifolia,FL,Imperial,"Boulder Park on Highway 80, top of Mountain Springs Grade",,,32.6589,-116.1008,644,,,cch2
SD00010545,500187,2003-04-29,2003,4,29,119,integrifolia,FFL,San Diego,"Walker Canyon Ecological Reserve: between Boulevard and Jacumba on the north side of Interstate 8, along arroyo bottom near stream",granitic substrates,870,32.66361,-116.22167,,,,cch2
SD00010612,500070,1938-05-18,1938,5,18,138,integrifolia,FFL,San Diego,Burn at Boulevarde,,,32.66367,-116.27363,1609,,,cch2
RSA0011369,1231699,2013-03-16,2013,3,16,75,,,San Diego County,The Jacumba Mountains; north side of Table Mountain.,"Open valley floor with granitic boulder piles with Juniperus, Yucca whipplei, Ericameria cooperi, Rhus ilicifolia, Rhus ovata, Eriogonum fasciculatum, Simmondsia chinensis, Salvia apiana, Opuntia wolfii, Opuntia chlorotica, Atriplex canescens, Lotus haydonii, Mimulus aridus, ect.",1033,32.6639,-116.14568,,,,cch2
SD00010582,500282,2012-04-24,2012,4,24,115,integrifolia,FFL,San Diego,Mountain Warfare Training Camp Michael Monsoor: La Posta area; east of Morena Reservoir and west of La Posta Road; along a dirt road,granitic substrates,970,32.66724,-116.4419,,,,cch2
SD00010639,500226,2007-03-20,2007,3,20,79,integrifolia,FL,San Diego,"Bratton Valley, land surrounding 18569 Deerhorn Valley Rd, 3 mi N of Dulzura, 2.5 mi SE of Lyons Peak summit, ½ mi. SE of inters of Honey Springs Rd & Deerhorn Valley Rd.",Decomposed granite soil. Afternoon shade.,656,32.67444,-116.74806,,,,cch2
SD00010638,500232,2007-03-01,2007,3,1,60,integrifolia,FL,San Diego,"Cleveland National Forest, in Morena Village, W of Lake Morena Drive, E of Lupine Drive, S of Cleveland Forest Drive.","Fine loose sand, no rocks.",963,32.67636,-116.51032,,,,cch2
SD00010656,500195,2005-01-20,2005,1,20,20,integrifolia,FFL,San Diego,"Rancho Jamul Ecological Reserve (California Dept. of Fish & Game): west of Hwy. 94, south of Jamul & north of Otay Lakes Road; central part of reserve just west of the main buildings, northeast-facing rocky slope",some clay soils with granite boulders,270,32.67861,-116.86,,,,cch2
SD00010526,500330,2017-05-12,2017,5,12,132,integrifolia,FFL,San Diego,Cleveland National Forest: Barber Mountain area: west of Barrett Lake and southeast of the junction of Honey Springs Road and Lyons Valley Road; along Forest Rte. 17S10/Barber Mountain Road; along stream in rocky canyon,granite substrates,700,32.68267,-116.69306,,,,cch2
SD00010646,500220,2008-04-21,2008,4,21,112,integrifolia,FFL,San Diego,"Hauser Wilderness: Cleveland National Forest; W of Morena Reservoir, at Bronco Flats just S of Skye Valley Road",mostly granitic substrates,995,32.69457,-116.56417,,,,cch2
SD00010635,500243,2008-03-23,2008,3,23,83,integrifolia,FL,San Diego,"Cleveland National Forest, Lake Morena area, .9 mi NNW of Morena Village and about 1 mi WNW of intersection of Highway S-1 and Oak Dr.",Decomposed granite & scattered boulders.,942,32.69463,-116.50762,,,,cch2
