specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,references
UCR0077172,1655775,2012-04-24,2012,4,24,115,integrifolia,,San Diego,Mountain Warfare Training Camp Michael Monsoor: La Posta area; east of Morena Reservoir and west of La Posta Road; along a dirt road. Atlas Square: T23,"Chaparral with Adenostoma fasciculatum, Quercus x acutidens, Rhus ovata, Eriogonum fasciculatum, Yucca schidigera, Salvia apiana, Sambucus nigra, Eriophyllum confertiflorum; granitic substrates.",970,32.66719,-116.44189,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1655775
UCR0077174,1590660,1982-04-16,1982,4,16,106,integrifolia,,San Diego,"Pine Valley, Corte Madera Ranch",,1200,32.77917,-116.56444,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1590660
UCR0077177,1462122,1951-05-21,1951,5,21,141,integrifolia,,San Diego,Cuyamaca,,,32.97722,-116.57917,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1462122
UCR0077176,1570996,2004-04-05,2004,4,5,96,,,San Diego,"Pine Hills area, between Magee Flat and Deadman Flat along Eagle Peak Road","Relatively gently rolling terrain of meadow-like openings surrounded by woodland of Quercus agrifolia and Quercus engelmannii, with scattered Arctostaphylos glauca and Salvia apiana; adjacent rockier slopes previously dominated by chaparral of Adenostoma fasciculatum, Arctostaphylos glauca, etc., but entire area burned in October 2003 fire.",,33.03111,-116.66056,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1570996
UCR0018152,3752992,1974-05-21,1974,5,21,141,integrifolia,,San Diego,3 miles east of Julian,"Dry, grassy slope.",1082,33.08889,-116.57917,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=3752992
UCR0077170,1653886,2009-04-29,2009,4,29,119,integrifolia,,San Diego,"Mesa Grande, Nature Conservancy (Wheatly Property), 2 miles W of Morettis Junction (Pala Road & Hwy 79) E of Mesa Grande Road, 2.5 miles south of dam at Lake Henshaw. Square H17","Granitic substrate on oak woodland hilltop, with Quercus engelmannii, Melica frutescens, Wyethia ovata, Lupinus sp., Bromus tectorum, Erodium botrys.",1079,33.199,-116.751,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1653886
UCR0077178,1568044,2004-04-27,2004,4,27,118,,,San Diego,"Warner Springs area, rolling terrain near the Pacific Crest Trail, south of Hwy 79 and west of the Warner Springs Resort","Grassland dominated by exotic taxa, including Bromus spp., Avena barbata, and Erodium cicutarium, along with natives such as Stipa spp., Aristida, Poa secunda, Opuntia phaeacantha, Eriogonum elongatum, and Gutierrezia sarrothrae.",898,33.27083,-116.64167,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1568044
UCR0077179,1556447,1997-04-08,1997,4,8,98,integrifolia,,San Diego,"Wilderness Gardens Preserve c. 3.4 miles east of Pala, south of Hwy 76 along the San Luis Rey River","Areas along the main trail network from the parking area, along primary driveway within the river bottom to areas of native grasslands on the higher slopes. Oak woodland with Quercus agrifolia, Populus fremontii, Platanus racemosa, Salix ssp., etc., with an understory of Ericameria pinifolia, Toxicodendron diversilobum, Rhamnus ilicifolia, Lepidospartum squamatum, etc., along the river bottom. Chaparral with Adenostoma fasciculatum, Xylococcus bicolor, Arctostaphylos glauca, Ceanothus crassifolius, Salvia mellifera, etc., with scattered pockets of Stipa grasslands on adjacent slopes. Alluvial substrate with sandy loam soil in the river bottom and granitic and/or gabbroic substrates with sandy or clay soils on surrounding slopes; E and N aspects; slopes 0-120%.",162,33.34889,-117.0375,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1556447
UCR0077171,1681907,2015-02-24,2015,2,24,55,,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5","Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",140,33.35719,-117.35039,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1681907
UCR0077173,1618597,2004-05-04,2004,5,4,125,integrifolia,,San Diego,"hills north of Warner Springs, north Indian Flats Campground of Cleveland National Forest along Road 9S05","Gentle valley with stream running over shallow granite bedrock slabs. Woodland of Quercus agrifolia and open meadows of Muhlengergia rigens in drainage bottom; slopes with scrub of Adenostoma sparsifolium, Adenostoma fasciculatum, Ceanothus greggii perplexans, Yucca whipplei, Rhamnus ilicifolia, and Arctostaphylos glauca. Understory includes Lonicera subspicata, Eriogonum fasciculatum, Eriogonum wrightii membranaceum, and Garrya flavescens. Stream with scattered Salix lasiolepis and Fraxinus velutina.",899,33.35981,-116.67292,,,,,cch2,http://cch2.org/portal/collections/individual/index.php?occid=1618597
