id,accessURI,thumbnailAccessURI,goodQualityAccessURI,Owner,providerManagedID,associatedSpecimenReference
37998,https://bisque.cyverse.org/image_service/image/00-Xy8zsqN9TBuhw8WdELdhK8/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-Xy8zsqN9TBuhw8WdELdhK8/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-Xy8zsqN9TBuhw8WdELdhK8/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:db06611c-92f5-4978-8b85-44109f4109e0,http://cch2.org/portal/collections/individual/index.php?occid=37998
42672,https://bisque.cyverse.org/image_service/image/00-tw4wNsDNNZsEc6b35eroNY/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-tw4wNsDNNZsEc6b35eroNY/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-tw4wNsDNNZsEc6b35eroNY/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:187c9213-4e29-4e7c-9098-557a7e933cea,http://cch2.org/portal/collections/individual/index.php?occid=42672
44681,https://bisque.cyverse.org/image_service/image/00-BLdQsWLgdQPrSJNRLJyFCh/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-BLdQsWLgdQPrSJNRLJyFCh/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-BLdQsWLgdQPrSJNRLJyFCh/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:93332622-dbd0-45a4-91fe-2d30ddeb1e98,http://cch2.org/portal/collections/individual/index.php?occid=44681
52573,https://bisque.cyverse.org/image_service/image/00-KrL2hknTHkazYGv6cdk7vQ/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-KrL2hknTHkazYGv6cdk7vQ/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-KrL2hknTHkazYGv6cdk7vQ/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:eadb04c7-f724-42c0-a3b3-8369698dfc41,http://cch2.org/portal/collections/individual/index.php?occid=52573
58338,https://bisque.cyverse.org/image_service/image/00-zhFXxVaDPin9WjmKNpirG/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-zhFXxVaDPin9WjmKNpirG/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-zhFXxVaDPin9WjmKNpirG/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:d07ea537-3093-454e-a857-0653c1423106,http://cch2.org/portal/collections/individual/index.php?occid=58338
59062,https://bisque.cyverse.org/image_service/image/00-8CwYFqPc2NwfDx2aDkxEJP/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-8CwYFqPc2NwfDx2aDkxEJP/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-8CwYFqPc2NwfDx2aDkxEJP/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:01796d98-00b4-4fa9-aa1d-fac41b8286d6,http://cch2.org/portal/collections/individual/index.php?occid=59062
63687,https://bisque.cyverse.org/image_service/image/00-9LXXKX6jbWeXPgm4pKeiUi/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-9LXXKX6jbWeXPgm4pKeiUi/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-9LXXKX6jbWeXPgm4pKeiUi/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:17bfab8c-ecb9-49cb-91d3-23718d7e374f,http://cch2.org/portal/collections/individual/index.php?occid=63687
65199,https://bisque.cyverse.org/image_service/image/00-UPypogD3HjRhk8uG3SibuC/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-UPypogD3HjRhk8uG3SibuC/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-UPypogD3HjRhk8uG3SibuC/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:41699c6e-889e-4485-8376-0379d12101c2,http://cch2.org/portal/collections/individual/index.php?occid=65199
70368,https://bisque.cyverse.org/image_service/image/00-5TumKBn6R93XG9KQm2sieK/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-5TumKBn6R93XG9KQm2sieK/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-5TumKBn6R93XG9KQm2sieK/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:8f59ec1a-2a1b-4f6f-8228-8b246ab1cfdf,http://cch2.org/portal/collections/individual/index.php?occid=70368
70425,https://bisque.cyverse.org/image_service/image/00-DmeJnV3NDyk99SFu4MCRjM/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-DmeJnV3NDyk99SFu4MCRjM/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-DmeJnV3NDyk99SFu4MCRjM/resize:1250/format:jpeg,"SBBG - Clifton Smith Herbarium, Santa Barbara Botanic Garden (SBBG)",urn:uuid:7dbb5a0c-d4af-4777-a32b-2b8b31866a37,http://cch2.org/portal/collections/individual/index.php?occid=70425
