id,institutionCode,specimen_number,coll_number,scientificName,taxonID,eventDate,year,month,day,startDayOfYear,verbatimEventDate,reproductiveCondition,county,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,verbatimElevation,source,recordId,references
37998,SBBG,SBBG164508,30116,Nemophila menziesii var. menziesii,205103,4/30/1968,1968,4,30,121,4/30/1968,Flowers Present,Kern,Rankin Ranch logging rd up Breckenridge Mtn,35.418,-118.579,1000,,6100 [ft],cch2,urn:uuid:9bbacdba-9351-4418-94f8-f70f3b066285,http://cch2.org/portal/collections/individual/index.php?occid=37998
42672,SBBG,SBBG164507,108619,Nemophila menziesii var. menziesii,205103,4/30/1967,1967,4,30,120,4/30/1967,Flowers Present,Kern,near Tehachapi Loop monument on old Tehachapi Hwy,35.195066,-118.534846,200,,,cch2,urn:uuid:561328b3-a2d4-4823-879f-4a0efdb6cf1d,http://cch2.org/portal/collections/individual/index.php?occid=42672
44681,SBBG,SBBG164522,64775,Nemophila menziesii var. menziesii,205103,4/4/1928,1928,4,4,95,4/4/1928,Flowers Present,Santa Barbara,Solomon Hills: Foxen Cyn,34.778,-120.155,3,,,cch2,urn:uuid:de84c74f-e085-4b06-a42e-672fcaf5dc77,http://cch2.org/portal/collections/individual/index.php?occid=44681
52573,SBBG,SBBG164527,20369,Nemophila menziesii var. menziesii,205103,4/3/1964,1964,4,3,94,4/3/1964,Flowers Present,Santa Barbara,Colson Cyn,34.942,-120.1995,5,,1100 ft,cch2,urn:uuid:78daa20a-b1c6-4c21-b12e-1e5dc8b0f1c9,http://cch2.org/portal/collections/individual/index.php?occid=52573
58338,SBBG,SBBG164512,137391,Nemophila menziesii subsp. menziesii,205100,4/5/2017,2017,4,5,,4/5/2017,Flowers Present,San Benito,"[W of Cedar Flat, Griswold Hills]",36.5567,-120.8108,200,715,,cch2,urn:uuid:2dc3d68e-5130-4311-aaa2-7f97d77564b8,http://cch2.org/portal/collections/individual/index.php?occid=58338
59062,SBBG,SBBG164501,112378,Nemophila menziesii var. menziesii,205103,3/31/1985,1985,3,31,90,3/31/1985,Flowers Present,San Luis Obispo,"St Highway 58, ca. 100 m E of jct with Huerhuero Rd",,,,,,cch2,urn:uuid:d5d9b420-651c-4832-ab66-96b73602b077,http://cch2.org/portal/collections/individual/index.php?occid=59062
63687,SBBG,SBBG164523,6136,Nemophila menziesii var. menziesii,205103,4/25/1938,1938,4,25,115,4/25/1938,Flowers Present,Tulare,jacks Ranch near Posey Post Office,35.805,-118.681,,,,cch2,urn:uuid:5bf13e22-3c44-4c52-b574-36b808dbff43,http://cch2.org/portal/collections/individual/index.php?occid=63687
65199,SBBG,SBBG164521,64773,Nemophila menziesii var. menziesii,205103,1879-00-00,1879,0,0,,1879,Flowers Present,El Dorado,Rose Springs,38.715,-120.939,1000,,,cch2,urn:uuid:5d201160-05c3-4188-883c-09f13cc76a44,http://cch2.org/portal/collections/individual/index.php?occid=65199
70368,SBBG,SBBG164525,64774,Nemophila menziesii var. menziesii,205103,3/25/1928,1928,3,25,85,3/25/1928,Flowers Present,Santa Barbara,Santa Ynez Mtns: Gaviota Pass,34.4895,-120.225,500,,,cch2,urn:uuid:8cb15a9d-312f-4dec-af2d-c2411df396da,http://cch2.org/portal/collections/individual/index.php?occid=70368
70425,SBBG,SBBG164515,49063,Nemophila menziesii var. menziesii,205103,2/17/1974,1974,2,17,48,2/17/1974,Flowers Present,San Luis Obispo,"Grand View Mesa, Nipomo",35.01,-120.48,1000,,,cch2,urn:uuid:e8119bd2-76fa-4161-af81-b5ada4731274,http://cch2.org/portal/collections/individual/index.php?occid=70425
76240,SBBG,SBBG164511,138983,Nemophila menziesii var. menziesii,205103,4/10/2010,2010,4,10,100,10-Apr-10,,Ventura,"Cerro Noreste Rd, vicinity of Valle Vista Campground, W flank of Mt Abel, Los Padres National Forest.",34.87801,-119.34137,200,1469,4821ft,cch2,urn:uuid:550cff16-f876-4f9e-8f83-445b56fbac68,http://cch2.org/portal/collections/individual/index.php?occid=76240
79215,SBBG,SBBG164504,13120,Nemophila menziesii var. menziesii,205103,3/10/1961,1961,3,10,69,3/10/1961,Flowers Present,Fresno,jacalitos Cyn near Coalinga,36.1015,-120.311,2,,,cch2,urn:uuid:9e738d16-d94e-454d-a722-4dc69e547a6f,http://cch2.org/portal/collections/individual/index.php?occid=79215
84545,SBBG,SBBG164514,46841,Nemophila menziesii var. menziesii,205103,4/11/1973,1973,4,11,101,4/11/1973,Flowers Present,San Luis Obispo,St Highway 58 near Shell Crk,35.4585,-120.3335,1000,,,cch2,urn:uuid:ba4b4a65-be1c-46b5-86f3-7602ab279df8,http://cch2.org/portal/collections/individual/index.php?occid=84545
91202,SBBG,SBBG164528,29932,Nemophila menziesii var. menziesii,205103,3/24/1940,1940,3,24,84,3/24/1940,Flowers Present,Fresno,"Curry Mtn, Waltham Cyn [Warthan Cyn]), 9 mi SW of Coalinga",36.0942,-120.4711,1000,,1600 [ft],cch2,urn:uuid:9d07ebf2-0ba3-4dd5-981f-ccb39458489a,http://cch2.org/portal/collections/individual/index.php?occid=91202
93167,SBBG,SBBG164526,22104,Nemophila menziesii var. menziesii,205103,4/17/1965,1965,4,17,107,4/17/1965,Flowers Present,Santa Barbara,Santa Ynez Mtns: Los Padres National Forest; E fork of Cold Spring Cyn,34.465,-119.65,3,,,cch2,urn:uuid:1dee64dc-daf9-4041-8867-2034225c75f3,http://cch2.org/portal/collections/individual/index.php?occid=93167
99519,SBBG,SBBG164499,64781,Nemophila menziesii var. menziesii,205103,1896-00-00,1896,0,0,,1896,Flowers Present,San Luis Obispo,San Luis Obispo County [not specified],,,,,,cch2,urn:uuid:635d2c80-e3c1-4749-90e5-5244e736784c,http://cch2.org/portal/collections/individual/index.php?occid=99519
104876,SBBG,SBBG164506,15981,Nemophila menziesii var. menziesii,205103,4/20/1935,1935,4,20,110,4/20/1935,Flowers Present,Kern,Tehachapi Mtns,,,,,4200 [ft],cch2,urn:uuid:9f09eee5-42ba-403d-8eaf-cffb131ae671,http://cch2.org/portal/collections/individual/index.php?occid=104876
111939,SBBG,SBBG164517,15021,Nemophila menziesii var. menziesii,205103,4/7/1962,1962,4,7,97,4/7/1962,Flowers Present,San Luis Obispo,"Goldtree Hills, 0.5 mi SW of Grant Lake",35.5935,-120.152,1000,,1975 [ft],cch2,urn:uuid:736a32f0-9cd8-49a0-86d6-5692465b3cd8,http://cch2.org/portal/collections/individual/index.php?occid=111939
112404,SBBG,SBBG164505,81949,Nemophila menziesii var. menziesii,205103,3/18/1950,1950,3,18,77,3/18/1950,Flowers Present,Kern,"Soda Lake Rd to Carrizo Plain, ca. 0.8 mi off Hwy 399 near SLO County line",34.971165,-119.455567,500,,,cch2,urn:uuid:2dac38fe-b010-42aa-816e-37b57742d88d,http://cch2.org/portal/collections/individual/index.php?occid=112404
113691,SBBG,SBBG164510,6134,Nemophila menziesii var. menziesii,205103,3/10/1945,1945,3,10,69,3/10/1945,Flowers Present,Madera,Bass Lake,37.324,-119.558,7,,3450 [ft],cch2,urn:uuid:5740d474-7c50-4c6a-9398-95353de2645a,http://cch2.org/portal/collections/individual/index.php?occid=113691
114052,SBBG,SBBG164519,34892,Nemophila menziesii var. menziesii,205103,1889-05-00,1889,5,0,,1889-5,Flowers Present,San Luis Obispo,Morro Valley,,,,,,cch2,urn:uuid:596e97a0-9db2-490e-ad8b-d9e7cfc51b29,http://cch2.org/portal/collections/individual/index.php?occid=114052
125161,SBBG,SBBG164524,48273,Nemophila menziesii var. menziesii,205103,3/14/1973,1973,3,14,73,3/14/1973,,Santa Barbara,"El Mirasol block between Sola and Micheltorena streets, Santa Barbara",34.4293,-119.706,500,,,cch2,urn:uuid:2ee166eb-0407-4ef1-a3a8-774d6381afe4,http://cch2.org/portal/collections/individual/index.php?occid=125161
127054,SBBG,SBBG164520,64770,Nemophila menziesii var. menziesii,205103,1922-03-00,1922,3,0,,1922-3,Flowers Present,Riverside,Murrieta Hot Springs,33.56,-117.157,1000,,1309 [ft],cch2,urn:uuid:fb366217-a9f1-45e6-b782-516d5057f62d,http://cch2.org/portal/collections/individual/index.php?occid=127054
127595,SBBG,SBBG164503,40449,Nemophila menziesii var. menziesii,205103,3/17/1951,1951,3,17,76,3/17/1951,Flowers Present,Contra Costa,W of Orinda,37.88,-122.189,,,,cch2,urn:uuid:fd94928e-7a73-4933-8efa-3e9b8bdecd28,http://cch2.org/portal/collections/individual/index.php?occid=127595
127641,SBBG,SBBG164516,54841,Nemophila menziesii var. menziesii,205103,4/8/1979,1979,4,8,98,4/8/1979,Flowers Present,San Luis Obispo,2 mi S of California Valley along Soda Lake Rd,35.2993,-119.9771,500,,1900 [ft],cch2,urn:uuid:51168e4d-4487-4354-86dd-156b75ed483a,http://cch2.org/portal/collections/individual/index.php?occid=127641
130538,SBBG,SBBG164500,64776,Nemophila menziesii var. menziesii,205103,3/29/1929,1929,3,29,88,3/29/1929,Flowers Present,Santa Barbara,Santa Ynez Valley: Buellton to Lompoc,34.664,-120.333,12,,,cch2,urn:uuid:2dd84f41-ea83-49e0-b630-7bc577535bcd,http://cch2.org/portal/collections/individual/index.php?occid=130538
132327,SBBG,SBBG164498,137525,Nemophila menziesii subsp. menziesii,205100,4/22/2017,2017,4,22,112,4/22/2017,,Monterey,"[Tassajara Rd, near Chews Ridge Rd]",36.3125,-121.5725,200,1475,,cch2,urn:uuid:aebab99c-59e2-4f94-ba4b-35c4406f91e6,http://cch2.org/portal/collections/individual/index.php?occid=132327
133171,SBBG,SBBG164513,107487,Nemophila menziesii var. menziesii,205103,3/22/1961,1961,3,22,81,3/22/1961,Flowers Present,San Luis Obispo,Nacimiento River,,,,,1200 [ft],cch2,urn:uuid:71290cc0-8294-4fd4-9d59-c295aea3a7e1,http://cch2.org/portal/collections/individual/index.php?occid=133171
133513,SBBG,SBBG164502,64771,Nemophila menziesii var. menziesii,205103,1921-04-00,1921,4,0,,1921-4,Flowers Present,Lake,Lakeport,39.045,-122.92,1000,,1350 [ft],cch2,urn:uuid:357b5857-cc4a-47fa-a6e2-dfd67026df1f,http://cch2.org/portal/collections/individual/index.php?occid=133513
141596,SBBG,SBBG164518,96069,Nemophila menziesii var. menziesii,205103,4/8/1971,1971,4,8,98,4/8/1971,Flowers Present,San Luis Obispo,6 mi N of Cayucos,35.473,-120.984,2,,1700 [ft],cch2,urn:uuid:16cd29db-02b8-477d-89a5-905825d86463,http://cch2.org/portal/collections/individual/index.php?occid=141596
149846,SBBG,SBBG164529,127800,Nemophila menziesii var. menziesii,205103,4/5/2003,2003,4,5,95,4/5/2003,Flowers Present,Ventura,"Los Padres National Forest; N border of Sespe Condor Sanctuary, vicinity of Ant Camp on Agua Blanca Crk",34.5767,-118.8861,500,,2900 ft,cch2,urn:uuid:87595bd5-ba28-491a-8e5e-4d7da4c4df65,http://cch2.org/portal/collections/individual/index.php?occid=149846
156099,SBBG,SBBG164509,108888,Nemophila menziesii var. menziesii,205103,4/12/1991,1991,4,12,102,4/12/1991,Flowers Present,San Luis Obispo,"Los Padres National Forest; East Cuesta Ridge, 2 mi up East Cuesta Ridge Rd from La Cuesta Summit",35.339,-120.617,1000,,2000 [ft],cch2,urn:uuid:b9523418-1739-4a4b-9175-73c8f5f62c88,http://cch2.org/portal/collections/individual/index.php?occid=156099
196188,OBI,OBI106045,48661,Nemophila menziesii,205099,1930-00-00,1930,0,0,,"Spring, 1930",,Santa Barbara,,,,,,,cch2,urn:uuid:0207a805-9a9a-45ea-985c-d3dc83c88107,http://cch2.org/portal/collections/individual/index.php?occid=196188
196189,OBI,OBI106038,19531,Nemophila menziesii,205099,5/6/1967,1967,5,6,126,6-May-67,,San Luis Obispo,Avenales Wildlife refuge,35.2055285,-120.1912599,18747,,,cch2,urn:uuid:4e568f6f-415c-4ee3-a8a6-53752aac0521,http://cch2.org/portal/collections/individual/index.php?occid=196189
196190,OBI,OBI106022,77727,Nemophila menziesii,205099,3/1/1978,1978,3,1,60,1-Mar-78,,San Luis Obispo,"Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim soda lake san diego cr rd",35.351177,-120.005123,596,,,cch2,urn:uuid:ccc2255d-3a3f-4721-94ae-01e65f787a70,http://cch2.org/portal/collections/individual/index.php?occid=196190
196191,OBI,OBI106027,77726,Nemophila Menziesii,205099,3/1/1978,1978,3,1,60,1-Mar-78,,San Luis Obispo,"Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim. soda lake san diego cr rd",35.351177,-120.005123,596,,,cch2,urn:uuid:4a8b2cd8-977e-411f-9629-c892bf4d2bf5,http://cch2.org/portal/collections/individual/index.php?occid=196191
196192,OBI,OBI106046,13911,Nemophila menziesii,205099,6/19/1937,1937,6,19,170,19-Jun-37,,Humboldt,"North Coast Range, 3 mi W of Little Van Duzen River at summit of grade-Dinsmore to Bridgeville",40.483215,-123.740232,4627,762,2500ft.,cch2,urn:uuid:93b13155-4d19-44ab-875d-452513807429,http://cch2.org/portal/collections/individual/index.php?occid=196192
196193,OBI,OBI106052,40276,Nemophila menziesii,205099,3/18/1950,1950,3,18,77,18-Mar-50,,Kern,"Along Soda Lake Rd to Carrizo Plain, about 0.8 mi off hwy 399. Near San Luis Obispo county line",34.971205,-119.455334,657,,,cch2,urn:uuid:310f25c5-8ebc-46e7-bcd4-ea371e65ec0c,http://cch2.org/portal/collections/individual/index.php?occid=196193
196194,OBI,OBI106056,39146,Nemophila menziesii,205099,3/19/1978,1978,3,19,78,19-Mar-78,,Kern,"Along State hwy 178 in Kern River Cyn area, 8 mi W of jctn with Bodfish Rd",35.570441,-118.568642,4315,701,2300ft.,cch2,urn:uuid:c73f158a-e9b4-471c-bda6-246b4a9c7642,http://cch2.org/portal/collections/individual/index.php?occid=196194
196195,OBI,OBI106040,20178,Nemophila menziesii,205099,4/8/1979,1979,4,8,98,8-Apr-79,,San Luis Obispo,2 mi S of California Valley along Soda Lake Rd,35.2993,-119.9771,500,579,1900ft.,cch2,urn:uuid:f29762a2-fe15-493e-9479-860173be26b4,http://cch2.org/portal/collections/individual/index.php?occid=196195
196196,OBI,OBI106025,28779,Nemophila menziesii,205099,4/24/1981,1981,4,24,114,24-Apr-81,,San Luis Obispo,Jctn of Shell Crk Rd and Calif hwy 58 S of Shandon,35.45983,-120.33394,305,,,cch2,urn:uuid:18f556f7-c6b0-4eeb-a7f6-5de35540bda4,http://cch2.org/portal/collections/individual/index.php?occid=196196
196197,OBI,OBI106061,47389,Nemophila menziesii,205099,3/31/1985,1985,3,31,90,31-Mar-85,,San Luis Obispo,Along hwy 58 ca 100 m E of jctn with Huerhuero Rd,35.438108,-120.493918,148,,,cch2,urn:uuid:ebec7562-19ab-4f95-a908-63ac4debf139,http://cch2.org/portal/collections/individual/index.php?occid=196197
196198,OBI,OBI106063,54165,Nemophila menziesii,205099,4/15/1995,1995,4,15,105,15-Apr-95,,San Luis Obispo,"Shell Crk, ca 1/2 mi N of jctn with Calif rte 58",35.46411,-120.33005,221,450,450-500m,cch2,urn:uuid:0e74fefa-d2d0-4e9e-a1e4-64e20009a018,http://cch2.org/portal/collections/individual/index.php?occid=196198
196199,OBI,OBI106043,58215,Nemophila menziesii var. menziesii,205103,4/20/1998,1998,4,20,110,20-Apr-98,,San Luis Obispo,"North of Nacimiento Lake, .3 miles south from Interlake Road on Bee Rock Road.",,,,,,cch2,urn:uuid:1dd20626-8ac4-4e7a-9084-547fc83daeba,http://cch2.org/portal/collections/individual/index.php?occid=196199
196200,OBI,OBI106023,58342,Nemophila menziesii var. menziesii,205103,5/22/1998,1998,5,22,142,22-May-98,,San Luis Obispo,Caliente Range. Along Caliente Ridge Rd. between wildlife guzzler (35°03.432' N x 119°46.937' W) and Caliente Peak.,35.045615,-119.7714,1000,1554,4200-5100ft.,cch2,urn:uuid:10cbc9ec-6bb8-4fe4-b15d-1f408ba7f5eb,http://cch2.org/portal/collections/individual/index.php?occid=196200
196202,OBI,OBI106037,13914,Nemophila menziesii,205099,3/23/1952,1952,3,23,83,23-Mar-52,,San Luis Obispo,"Shell Crk. 3 mi E 12 mi S, Shandon",35.481179,-120.321879,9224,,,cch2,urn:uuid:4c62e482-beb9-4be7-acaf-99b8df68f02a,http://cch2.org/portal/collections/individual/index.php?occid=196202
196203,OBI,OBI106039,3990,Nemophila menziesii,205099,3/9/1971,1971,3,9,68,9-Mar-71,,San Luis Obispo,3 mi NE of Santa Margarita,35.418043,-120.568649,1486,274,900ft.,cch2,urn:uuid:2e94ae4c-a83c-45e0-a32e-404ea1536c35,http://cch2.org/portal/collections/individual/index.php?occid=196203
196204,OBI,OBI106053,40939,Nemophila menziesii,205099,4/8/1971,1971,4,8,98,8-Apr-71,,San Luis Obispo,Near top of hill in area of sedimentary deposits. 6 mi N of Cayucos,35.543942,-120.896932,800,518,1700ft.,cch2,urn:uuid:f3a42b5e-1ce8-4781-b6d4-99f8985c327f,http://cch2.org/portal/collections/individual/index.php?occid=196204
196205,OBI,OBI106029,39923,Nemophila menziesii,205099,3/14/1973,1973,3,14,73,14-Mar-73,,Santa Barbara,"In ""organic garden"", El Mirasol block between Sola and Micheltorena Sts, Santa Barbara",34.4293,-119.706,1000,,,cch2,urn:uuid:b804f93e-9fe1-4dc4-a927-5824b24e6919,http://cch2.org/portal/collections/individual/index.php?occid=196205
