specimen_number,id,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,repro,county,locality,habitat,source
SBBG164508,37998,1968-04-30,1968,4,30,121,35.418,-118.579,1859,1000,menziesii,Flowers Present,Kern,Rankin Ranch logging rd up Breckenridge Mtn,NA,cch2
SBBG164507,42672,1967-04-30,1967,4,30,120,35.195066,-118.534846,NA,200,menziesii,Flowers Present,Kern,near Tehachapi Loop monument on old Tehachapi Hwy,slope,cch2
SBBG164522,44681,1928-04-04,1928,4,4,95,34.778,-120.155,NA,3,menziesii,Flowers Present,Santa Barbara,Solomon Hills: Foxen Cyn,bank,cch2
SBBG164527,52573,1964-04-03,1964,4,3,94,34.942,-120.1995,335,5,menziesii,Flowers Present,Santa Barbara,Colson Cyn,woodland; shaded N slope,cch2
SBBG164512,58338,2017-04-05,2017,4,5,95,36.5567,-120.8108,715,200,menziesii,Flowers Present,San Benito,"[W of Cedar Flat, Griswold Hills]",open meadows; N-facing 30-40 deg slope,cch2
SBBG164501,59062,1985-03-31,1985,3,31,90,NA,NA,NA,NA,menziesii,Flowers Present,San Luis Obispo,"St Highway 58, ca. 100 m E of jct with Huerhuero Rd",along hwy; grassy understory in oak woodland,cch2
SBBG164523,63687,1938-04-25,1938,4,25,115,35.805,-118.681,NA,NA,menziesii,Flowers Present,Tulare,jacks Ranch near Posey Post Office,NA,cch2
SBBG164525,70368,1928-03-25,1928,3,25,85,34.4895,-120.225,NA,500,menziesii,Flowers Present,Santa Barbara,Santa Ynez Mtns: Gaviota Pass,NA,cch2
SBBG164515,70425,1974-02-17,1974,2,17,48,35.01,-120.48,NA,1000,menziesii,Flowers Present,San Luis Obispo,"Grand View Mesa, Nipomo","sandy soil, open fields",cch2
SBBG164511,76240,2010-04-10,2010,4,10,100,34.87801,-119.34137,1469,200,menziesii,NA,Ventura,"Cerro Noreste Rd, vicinity of Valle Vista Campground, W flank of Mt Abel, Los Padres National Forest.",Clay loam; N-facing rd cut; part shade; grassland,cch2
SBBG164504,79215,1961-03-10,1961,3,10,69,36.1015,-120.311,NA,2,menziesii,Flowers Present,Fresno,jacalitos Cyn near Coalinga,N slope of hillside,cch2
SBBG164514,84545,1973-04-11,1973,4,11,101,35.4585,-120.3335,NA,1000,menziesii,Flowers Present,San Luis Obispo,St Highway 58 near Shell Crk,NA,cch2
SBBG164528,91202,1940-03-24,1940,3,24,84,36.0942,-120.4711,488,1000,menziesii,Flowers Present,Fresno,"Curry Mtn, Waltham Cyn [Warthan Cyn]), 9 mi SW of Coalinga",N slope,cch2
SBBG164526,93167,1965-04-17,1965,4,17,107,34.465,-119.65,NA,3,menziesii,Flowers Present,Santa Barbara,Santa Ynez Mtns: Los Padres National Forest; E fork of Cold Spring Cyn,along trail (Coyote Fire Sep 1964),cch2
SBBG164506,104876,1935-04-20,1935,4,20,110,NA,NA,1280,NA,menziesii,Flowers Present,Kern,Tehachapi Mtns,NA,cch2
SBBG164517,111939,1962-04-07,1962,4,7,97,35.5935,-120.152,602,1000,menziesii,Flowers Present,San Luis Obispo,"Goldtree Hills, 0.5 mi SW of Grant Lake",gravelly-adobe; steep N slope,cch2
SBBG164505,112404,1950-03-18,1950,3,18,77,34.971165,-119.455567,NA,500,menziesii,Flowers Present,Kern,"Soda Lake Rd to Carrizo Plain, ca. 0.8 mi off Hwy 399 near SLO County line",NA,cch2
SBBG164510,113691,1945-03-10,1945,3,10,69,37.324,-119.558,1052,7,menziesii,Flowers Present,Madera,Bass Lake,NA,cch2
SBBG164524,125161,1973-03-14,1973,3,14,73,34.4293,-119.706,NA,500,menziesii,NA,Santa Barbara,"El Mirasol block between Sola and Micheltorena streets, Santa Barbara",NA,cch2
SBBG164503,127595,1951-03-17,1951,3,17,76,37.88,-122.189,NA,NA,menziesii,Flowers Present,Contra Costa,W of Orinda,moist open hillside,cch2
SBBG164516,127641,1979-04-08,1979,4,8,98,35.2993,-119.9771,579,500,menziesii,Flowers Present,San Luis Obispo,2 mi S of California Valley along Soda Lake Rd,"alkaline soil, field & roadside",cch2
SBBG164500,130538,1929-03-29,1929,3,29,88,34.664,-120.333,NA,12,menziesii,Flowers Present,Santa Barbara,Santa Ynez Valley: Buellton to Lompoc,field,cch2
SBBG164498,132327,2017-04-22,2017,4,22,112,36.3125,-121.5725,1475,200,menziesii,NA,Monterey,"[Tassajara Rd, near Chews Ridge Rd]","sparse forest, one year post burn; S-facing 5-10 deg slope",cch2
