specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
COLL-SD199224,2007-05-08,2007,5,8,128,integrifolia,San Diego,"Anza-Borrego Desert State Park. West of Lake Cuyamaca,1 mile SW of intersection of State hwy. 79 and County hwy. S-1, and 1.0 air mile SE of North Peak summit. Near old ranch road on the west side of hwy. 79.",1409,32.99873,-116.5696,,,,WGS84,cch2,500240,FL,in shade of oaks and pines.,http://cch2.org/portal/collections/individual/index.php?occid=500240,,,,,,,,,
CSUSB91439,1966-04-08,1966,4,8,98,,San Diego,"Highway 78, 2.5 miles west of Julian.",1159,33.08,-116.64139,1000,,,,cch2,1294885,,Chaparral,http://cch2.org/portal/collections/individual/index.php?occid=1294885,,,,,,,,,
COLL-SD185718,2002-04-07,2002,4,7,97,menziesii,San Diego,"W of Ranchita on S22, 0.3 mi E of its junction with S2 on south side of road. This site is a barrow pit area highly disturbed.",1135,33.22,-116.6,,,,WGS84,cch2,500218,FL,Granitic soils.,http://cch2.org/portal/collections/individual/index.php?occid=500218,,,,,,,,,
BSCA0945,1985-05-19,1985,5,19,139,,San Diego County,Jeep Trail to Lost Valley from Los Coyotes Indian Reservation.,1586.29,33.35175,-116.55051,,,,,cch2,1433515,,Among grasses along dry stream banks. Oak-pine woodland.,http://cch2.org/portal/collections/individual/index.php?occid=1433515,,,,,,,,,
CSUSB91444,1975-04-27,1975,4,27,117,,Riverside,Juniper Flats Rd. and Highway 74 at Homeland.,543,33.74366667,-117.1144722,200,,,WGS84,cch2,1294890,,Coastal sage scrub,http://cch2.org/portal/collections/individual/index.php?occid=1294890,,,,,,,,,
CSUSB91441,1965-04-21,1965,4,21,111,menziesii,Riverside,About 1 mile southwest of Lake Matthews Dam; near roadside on steep slope; Riverside.,324,33.83022222,-117.478,1000,,,WGS84,cch2,1294887,,,http://cch2.org/portal/collections/individual/index.php?occid=1294887,,,,,,,,,
CSUSB91443,1966-02-20,1966,2,20,51,menziesii,Riverside,"Arlington Ave., 1 mile east of Victoria Street, 100 yards south of road. City of Riverside.",305,33.94616667,-117.3796389,300,,,WGS84,cch2,1294889,,,http://cch2.org/portal/collections/individual/index.php?occid=1294889,,,,,,,,,
CSUSB91442,1966-03-03,1966,3,3,62,menziesii,Riverside,"Bottom of canyon at east end of Blain Street, in the Box Springs Mountains in Riverside (city).",274,33.98319444,-117.3068056,1000,,,WGS84,cch2,1294888,,,http://cch2.org/portal/collections/individual/index.php?occid=1294888,,,,,,,,,
CSUSB91440,1966-03-14,1966,3,14,73,,Los Angeles,"500 yards along a path, end of 14th Street in the Puente Hills; found in a rocky, grassy slope.",213,34.02444444,-117.93875,3000,,,,cch2,1294886,,,http://cch2.org/portal/collections/individual/index.php?occid=1294886,,,,,,,,,
CSUSB91438,1966-05-04,1966,5,4,124,,Los Angeles,Foothills below Mount Baldy.,1115.67,34.18466667,-117.5817778,18000,,,NAD83,cch2,1294884,,,http://cch2.org/portal/collections/individual/index.php?occid=1294884,,,,,,,,,
CSUSB90239,1977-03-29,1977,3,29,88,integrifolia,San Bernardino,Lytle Creek,1711.63,34.23988889,-117.5268889,4000,,,WGS84,cch2,1297110,Flowering,,http://cch2.org/portal/collections/individual/index.php?occid=1297110,,,,,,,,,
CSUSB90327,1978-05-20,1978,5,20,140,integrifolia,San Bernardino,Lytle Creek,1711.63,34.23988889,-117.5268889,4000,,,WGS84,cch2,1297198,Flowering & Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=1297198,,,,,,,,,
CSUSB90466,1976-04-18,1976,4,18,109,menziesii,San Bernardino,Lytle Creek,1711.63,34.23988889,-117.5268889,4000,,,WGS84,cch2,1297338,Flowering,,http://cch2.org/portal/collections/individual/index.php?occid=1297338,,,,,,,,,
CSUSB91437,1979-06-04,1979,6,4,155,integrifolia,San Bernardino,"San Bernardino Mts., Crestline, Darfo Dr. NE-facing roadside of bank growing in shade from shrubs",1433,34.24738889,-117.2643889,200,,,WGS84,cch2,1295906,Flowering,Yellow Pine forest,http://cch2.org/portal/collections/individual/index.php?occid=1295906,,,,,,,,,
CSUSB93838,2014-04-30,2014,4,30,120,,San Bernardino,"Pacific Crest Trail, in the Cajon Pass, North of San Bernardino City.",1200,34.31168,-117.4626,,,,,cch2,3142704,,Lower riparian habitat that leads up into Chaparral area.,http://cch2.org/portal/collections/individual/index.php?occid=3142704,,,,,,,,,
AHUC100006,1949-04-24,1949,4,24,114,,Tuolumne County,"Tuolumne County, Columbia, sloping towards Vallecito, at Stanislaus River.",305,38.038573,-120.456538,1000,,,WGS84,cch2,1307535,,,http://cch2.org/portal/collections/individual/index.php?occid=1307535,,,,,,,,,
AHUC100007,1952-02-24,1952,2,24,55,,Fresno County,"Fresno County, 0.5 mile southwest of Navalencia.",122,36.677055,-119.391129,1231,DG,,WGS84,cch2,1304479,,,http://cch2.org/portal/collections/individual/index.php?occid=1304479,,,,,,,,,
AHUC100004,1941-04-11,1941,4,11,101,,Mariposa County,"Mariposa County: Near Agua Frio Creek along State Highway 140, about 6 miles west of Mariposa.",610,37.479049,-120.031164,982,"WW, ME",,WGS84,cch2,1306702,,,http://cch2.org/portal/collections/individual/index.php?occid=1306702,,,,,,,,,
AHUC100008,1955-03-15,1955,3,15,74,,Mendocino County,"Mendocino County, Hopland Field Station, Little Buck Pasture.",254.64,39.001841,-123.084724,1062,"DG, WW",,WGS84,cch2,1308975,,,http://cch2.org/portal/collections/individual/index.php?occid=1308975,,,,,,,,,
AHUC100005,1941-04-11,1941,4,11,101,,Mariposa County,"Mariposa County: 9 miles from Mariposa, along State Hwy. 140.",610,37.455256,-120.070729,501,WW,,WGS84,cch2,1372850,,,http://cch2.org/portal/collections/individual/index.php?occid=1372850,,,,,,,,,
AHUC100009,1977-05-02,1977,5,2,122,,Mendocino County,"Mendocino County: 3/4 mile n.w. Cleone, north of Fort Bragg.",4.42,39.500373,-123.789098,1133,DG,,WGS84,cch2,1372851,,,http://cch2.org/portal/collections/individual/index.php?occid=1372851,,,,,,,,,
AHUC100010,1940-03-23,1940,3,23,83,,Fresno County,Fresno County: Piedra.,164.15,36.810227,-119.38207,1474,DC,,WGS84,cch2,1372975,,,http://cch2.org/portal/collections/individual/index.php?occid=1372975,,,,,,,,,
AHUC100011,1940-04-01,1940,4,1,92,,Yolo County,Yolo County: Putah.,214.06,38.505108,-122.083495,3020,DC,,WGS84,cch2,1372979,,,http://cch2.org/portal/collections/individual/index.php?occid=1372979,,,,,,,,,
