specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
JEPS1495,1933-05-07,1933,5,7,127,,Riverside,"about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy",,33.5691,-116.5055,1500,,,WGS84,cch2,3462047,Flowering/Fruiting,Shaded canyon in Ribbonwood belt,http://cch2.org/portal/collections/individual/index.php?occid=3462047,,,,,,,,,
LOB115765,1972-03-10,1972,3,10,70,,Orange,"1.5 miles east of San Juan Station, near Ortega Highway",305,33.594332,-117.487955,722,,,WGS84,cch2,2261811,,Grassy undergrowth,http://cch2.org/portal/collections/individual/index.php?occid=2261811,,,,,,,,,
LOB115764,1970-03-14,1970,3,14,73,integrifolia,Orange,"Lion Canyon 2.25 miles east of San Juan Guard Station on state highway 74, western side of Santa Ana Mountains",366,33.602245,-117.460321,1506,,,WGS84,cch2,2261810,,"Riparian, gradual slope",http://cch2.org/portal/collections/individual/index.php?occid=2261810,,,,,,,,,
LOB115763,1975-03-10,1975,3,10,69,menziesii,Orange,San Juan Loop Trail,,33.61255,-117.430611,725,,,WGS84,cch2,2261809,,"Chaparral, moist area. West-facing slope.",http://cch2.org/portal/collections/individual/index.php?occid=2261809,,,,,,,,,
JEPS3135,1927-06-01,1927,6,1,152,,Riverside,"Saunder's Meadow San Jacinto Mts., Saunder's Meadow (San Jacinto Mountains)",1676,33.7327,-116.7118,300,,,WGS84,cch2,3304477,Flowering/Fruiting,under trees in grassy meadow,http://cch2.org/portal/collections/individual/index.php?occid=3304477,,,,,,,,,
JEPS1893,1908-04-01,1908,4,1,92,integrifolia,Orange,Santa Ana Mountains,,33.74,-117.53,16093,,,NAD27,cch2,3340619,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3340619,,,,,,,,,
DAV300331,1975-04-26,1975,4,26,116,,Riverside County,Riverside County: Mayhew Canyon 1.5 mi. southeast of Glen Ivy on Highway 71.,335,33.7627,-117.4655,700,,,WGS84,cch2,1372675,,,http://cch2.org/portal/collections/individual/index.php?occid=1372675,,,,,,,,,
DAV300368,1952-03-28,1952,3,28,88,,Riverside County,Riverside County: Perris.,443,33.78999,-117.22652,5504,,,WGS84,cch2,1372844,,,http://cch2.org/portal/collections/individual/index.php?occid=1372844,,,,,,,,,
LOB100072,2018-05-23,2018,5,23,143,,Orange,"Santa Ana Mountains, Cleveland National Forest, Trabuco District, Main Divide Truck Trail, just East of Pleasants Peak.",1130,33.7969,-117.607,,,,WGS84,cch2,1893507,flowers,Cliff face.,http://cch2.org/portal/collections/individual/index.php?occid=1893507,,,,,,,,,
LOB115754,2016-03-11,2016,3,11,71,menziesii,Riverside,"near San Gorgonio Pass, W of Palm Springs, near town of Snow Creek, UC Natural Reserve Oasis de los Osos.",515,33.89014,-116.69586,5,,,,cch2,253761,flowers,"Rain in past month and week. Encelia scrub, N-facing slope. Granite boulders just E and N of waterfall.",http://cch2.org/portal/collections/individual/index.php?occid=253761,,,,,,,,,
