specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
SD00010586,2012-02-17,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,,,,,,,,,
SD00010592,2008-04-11,2008,4,11,102,integrifolia,San Diego,"Border Field State Park, at the eastern base of Bunker Hill, south of city of Imperial Beach. South Mesa, flat area just north of US/Mexico Border fence, 1 mi E of Pacific Ocean and about .1 mi NW of Border Monument 257",70,32.53722,-117.105,,,,WGS84,cch2,500286,FL,marine sediment,http://cch2.org/portal/collections/individual/index.php?occid=500286,,,,,,,,,
SD00010634,2008-03-14,2008,3,14,74,integrifolia,San Diego,"Border Field State Park, bottom of east facing slope, south towards the border fence, about 1.3 mi east of Pacific Ocean and .15 miles northeast of Border Monument #257",27,32.5375,-117.10194,,,,WGS84,cch2,500242,FL,marine sediment,http://cch2.org/portal/collections/individual/index.php?occid=500242,,,,,,,,,
SD00010554,1936-04-28,1936,4,28,119,integrifolia,San Diego,Near Monument School,9.07,32.54362,-117.08315,402,,,WGS84,cch2,500058,FFL,,http://cch2.org/portal/collections/individual/index.php?occid=500058,,,,,,,,,
OBI106058,1954-05-18,1954,5,18,138,integrifolia,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",732,32.5962,-116.545,805,,,WGS84,cch2,196221,,One year old burn,http://cch2.org/portal/collections/individual/index.php?occid=196221,,,,,,,,,
SD00010556,1935-04-03,1935,4,3,93,integrifolia,San Diego,Near Tecate Junction on Potrero Grade,564.12,32.59816,-116.64312,805,,,WGS84,cch2,500049,FL,,http://cch2.org/portal/collections/individual/index.php?occid=500049,,,,,,,,,
SD00010611,1941-05-22,1941,5,22,142,integrifolia,San Diego,Burn between Campo and Canyon City,708.61,32.5987,-116.50384,3218,,,WGS84,cch2,500079,FFL,,http://cch2.org/portal/collections/individual/index.php?occid=500079,,,,,,,,,
SD00008034,1983-05-14,1983,5,14,134,menziesii,Imperial,"In-Ko-Pah Mountains, south of I-8. (IPB 10/07)",1158,32.63057,-116.0937,241,,,WGS84,cch2,500148,FL,"Damp, sandy d.g.",http://cch2.org/portal/collections/individual/index.php?occid=500148,,,,,,,,,
SD00008033,2001-03-16,2001,3,16,75,integrifolia,Imperial,"Jacumba Natural Area, In-Ko-Pah Mountains, near Smuggler's Cove. (IPB 10/07)",1046,32.63482,-116.09537,241,,,WGS84,cch2,500176,FL,,http://cch2.org/portal/collections/individual/index.php?occid=500176,,,,,,,,,
SD00010534,2003-04-19,2003,4,19,109,integrifolia,San Diego,Boulevard - Garza Property near Shasta Lane - Location 1- near graded area at southwestern edge of property.,1123,32.63889,-116.34556,,,,WGS84,cch2,500184,FL,Granitic,http://cch2.org/portal/collections/individual/index.php?occid=500184,,,,,,,,,
SD00010538,1941-05-16,1941,5,16,136,integrifolia,San Diego,Campo Boulevard highway,976.99,32.65127,-116.38252,11263,,,WGS84,cch2,500082,FFL,,http://cch2.org/portal/collections/individual/index.php?occid=500082,,,,,,,,,
SD00010547,1935-03-23,1935,3,23,82,integrifolia,Imperial,"Boulder Park on Highway 80, top of Mountain Springs Grade",892.39,32.6589,-116.1008,644,,,WGS84,cch2,500048,FL,,http://cch2.org/portal/collections/individual/index.php?occid=500048,,,,,,,,,
SD00010545,2003-04-29,2003,4,29,119,integrifolia,San Diego,"Walker Canyon Ecological Reserve: between Boulevard and Jacumba on the north side of Interstate 8, along arroyo bottom near stream",870,32.66361,-116.22167,,,,WGS84,cch2,500187,FFL,granitic substrates,http://cch2.org/portal/collections/individual/index.php?occid=500187,,,,,,,,,
SD00010612,1938-05-18,1938,5,18,138,integrifolia,San Diego,Burn at Boulevarde,1019.72,32.66367,-116.27363,1609,,,WGS84,cch2,500070,FFL,,http://cch2.org/portal/collections/individual/index.php?occid=500070,,,,,,,,,
RSA0011369,2013-03-16,2013,3,16,75,,San Diego County,The Jacumba Mountains; north side of Table Mountain.,1033,32.6639,-116.14568,,,,NAD83,cch2,1231699,,"Open valley floor with granitic boulder piles with Juniperus, Yucca whipplei, Ericameria cooperi, Rhus ilicifolia, Rhus ovata, Eriogonum fasciculatum, Simmondsia chinensis, Salvia apiana, Opuntia wolfii, Opuntia chlorotica, Atriplex canescens, Lotus haydonii, Mimulus aridus, ect.",http://cch2.org/portal/collections/individual/index.php?occid=1231699,,,,,,,,,
SD00010582,2012-04-24,2012,4,24,115,integrifolia,San Diego,Mountain Warfare Training Camp Michael Monsoor: La Posta area; east of Morena Reservoir and west of La Posta Road; along a dirt road,970,32.66724,-116.4419,,,,WGS84,cch2,500282,FFL,granitic substrates,http://cch2.org/portal/collections/individual/index.php?occid=500282,,,,,,,,,
