specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,references,source,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC495319,3150192,1932-05-15,1932,5,15,136,integrifolia,Flowering/Fruiting,San Diego,10 mi w Campo; w of Campo,edge of damp grassy place,914,32.60806,-116.62917,1609,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3150192,cch2,,,,,,,,,
UC1787762,3159026,2001-03-16,2001,3,16,75,integrifolia,,Imperial,"Jacumba Natural Area, In-Ko-Pah Mountains, near Smuggler's Cove.","With Prunus fremontii, Agave deserti, Acacia greggii, Ephedra, Mammillaria tetrancistra, Cylindropuntia wolfii, Ziziphus parryi, Keckiella antirrhinoides.",1046,32.628334,-116.11,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3159026,cch2,,,,,,,,,
UC131507,3151231,1905-04-01,1905,4,1,91,integrifolia,Flowering/Fruiting,San Diego,Jacumba and Campo,,,32.64497,-116.33352,14481,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151231,cch2,,,,,,,,,
UC1019608,3147306,1927-04-10,1927,4,10,100,integrifolia,Flowering/Fruiting,San Diego,"3 mi below Dulzura (above Dulzura Creek); , below Dulzura",in shade of chaparral on hillside above creek,,32.66879,-116.82444,402,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3147306,cch2,,,,,,,,,
UC1019607,3161680,1927-04-14,1927,4,14,104,integrifolia,Flowering/Fruiting,San Diego,Moreno Dam,,,32.6851,-116.546,402,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161680,cch2,,,,,,,,,
UC67155,3148622,1895-03-23,1895,3,23,82,integrifolia,Flowering/Fruiting,San Diego,Point Loma,,,32.6948,-117.245,3219,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148622,cch2,,,,,,,,,
UC126909,3156818,1906-04-10,1906,4,10,100,integrifolia,Flowering/Fruiting,San Diego,"near San Diego (Point Loma); , near San Diego",growing under and near a shrub,,32.6948,-117.245,3219,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3156818,cch2,,,,,,,,,
UC880923,3160213,1913-04-06,1913,4,6,96,integrifolia,Flowering/Fruiting,San Diego,Point Loma,,,32.69483,-117.24517,3219,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3160213,cch2,,,,,,,,,
UC310898,3159558,1925-05-15,1925,5,15,135,integrifolia,Flowering/Fruiting,San Diego,4 mi se Buckman's Springs; se of Buckman's Springs,dry gravelly burn,914,32.71833,-116.46917,805,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3159558,cch2,,,,,,,,,
UC303377,3357574,1882-03-17,1882,3,17,76,,Flowering/Fruiting,San Diego,San Diego,,,32.73409,-117.12945,9654,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3357574,cch2,,,,,,,,,
UC67160,3150240,1904-04-10,1904,4,10,101,integrifolia,Flowering/Fruiting,San Diego,Mission Hills,mesa region,60,32.75388,-117.18642,805,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3150240,cch2,,,,,,,,,
UC1789991,3162318,2004-05-22,2004,5,22,143,integrifolia,,San Diego,"Laguna Mountains, Sunrise Highway, Kitchen Creek Truck Trail.","Granitic with black topsoil.; Woodland; Quercus kelloggii, Quercus chrysolepis, Pinus, Ceanothus, Penstemon.",1562,32.8447,-116.449,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3162318,cch2,,,,,,,,,
