specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC495319,1932-05-15,1932,5,15,136,integrifolia,San Diego,10 mi w Campo; w of Campo,914,32.60806,-116.62917,1609,,,WGS84,cch2,3150192,Flowering/Fruiting,edge of damp grassy place,http://cch2.org/portal/collections/individual/index.php?occid=3150192,,,,,,,,,
UC131507,1905-04-01,1905,4,1,91,integrifolia,San Diego,Jacumba and Campo,1121.59,32.64497,-116.33352,14481,,,WGS84,cch2,3151231,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3151231,,,,,,,,,
UC1019608,1927-04-10,1927,4,10,100,integrifolia,San Diego,"3 mi below Dulzura (above Dulzura Creek); , below Dulzura",220.19,32.66879,-116.82444,402,,,WGS84,cch2,3147306,Flowering/Fruiting,in shade of chaparral on hillside above creek,http://cch2.org/portal/collections/individual/index.php?occid=3147306,,,,,,,,,
UC1019607,1927-04-14,1927,4,14,104,integrifolia,San Diego,Moreno Dam,942.45,32.6851,-116.546,402,,,WGS84,cch2,3161680,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3161680,,,,,,,,,
UC67155,1895-03-23,1895,3,23,82,integrifolia,San Diego,Point Loma,94.56,32.6948,-117.245,3219,,,WGS84,cch2,3148622,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3148622,,,,,,,,,
UC126909,1906-04-10,1906,4,10,100,integrifolia,San Diego,"near San Diego (Point Loma); , near San Diego",94.56,32.6948,-117.245,3219,,,WGS84,cch2,3156818,Flowering/Fruiting,growing under and near a shrub,http://cch2.org/portal/collections/individual/index.php?occid=3156818,,,,,,,,,
UC880923,1913-04-06,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,,,,,,,,,
UC310898,1925-05-15,1925,5,15,135,integrifolia,San Diego,4 mi se Buckman's Springs; se of Buckman's Springs,914,32.71833,-116.46917,805,,,WGS84,cch2,3159558,Flowering/Fruiting,dry gravelly burn,http://cch2.org/portal/collections/individual/index.php?occid=3159558,,,,,,,,,
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,81.31,32.73409,-117.12945,9654,,,WGS84,cch2,3357574,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3357574,,,,,,,,,
UC67160,1904-04-10,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,,,,,,,,,
UC880907,1940-04-09,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,,,,,,,,,
UC1019606,1927-04-15,1927,4,15,105,integrifolia,San Diego,"near Carab Acres (between Alpine and San Diego); , near Carab Acres",369.26,32.86952,-116.84145,1609,,,WGS84,cch2,3162223,Flowering/Fruiting,hillside,http://cch2.org/portal/collections/individual/index.php?occid=3162223,,,,,,,,,
UC173769,1894-04-03,1894,4,3,93,integrifolia,San Diego,Ramona,435.2,33.04179,-116.86803,4828,,,WGS84,cch2,3159019,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3159019,,,,,,,,,
