specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UCSB030093,1953-04-25,1953,4,25,115,integrifolia,San Diego,1 mile west of Julian,,33.07817,-116.61458,241,,,WGS84,cch2,306014,,Growing in semi-shade; under Quercus agrifolia; growing among grasses; Baby Blue Eyes,http://cch2.org/portal/collections/individual/index.php?occid=306014,,,,,,,,,
UCSB030408,1962-03-09,1962,3,9,68,menziesii,Orange,4.4 miles east of San Juan Capistrano on State 74,,33.517333,-117.595479,500,,,WGS84,cch2,306016,,On grassy hill; with Quercus agrifolia,http://cch2.org/portal/collections/individual/index.php?occid=306016,,,,,,,,,
UCSB030098,1982-04-03,1982,4,3,93,menziesii,Orange,Rancho Mission Viejo: Calif. 74; 7.2 km. by road E San Juan Capistrano; 1.3 km. NE Viejo Survey Marker,,33.531045,-117.589222,500,,,WGS84,cch2,306026,,"On gentle, west-facing hillside; in mixed oak woodland and grassland; with Lupinus bicolor, Erodium botrys, Plagiobothrys nothofulvus and Dodecatheon clevelandii; in sandy clay soil",http://cch2.org/portal/collections/individual/index.php?occid=306026,,,,,,,,,
UCSB030052,1962-03-17,1962,3,17,76,,Riverside,Southwest of U.S. Highway 71; about 300 feet; by the Alberhill brickyard in Alberhill,,33.72163,-117.39338,1349,,,WGS84,cch2,305950,,Associated with Artemisia sp.; on north slope of small hill,http://cch2.org/portal/collections/individual/index.php?occid=305950,,,,,,,,,
UCSB030081,1957-03-22,1957,3,22,81,,Riverside,"Hwy. 71, near Alberhill",,33.7619,-117.4723,,,,,cch2,305985,,Sandy; flat,http://cch2.org/portal/collections/individual/index.php?occid=305985,,,,,,,,,
UCSB030044,1977-04-07,1977,4,7,97,,Riverside,"South of Lake Matthews; southern Riverside Co., CA",,33.80996,-117.4308,4179,,,WGS84,cch2,305958,,Valley grassland; north slope 10%,http://cch2.org/portal/collections/individual/index.php?occid=305958,,,,,,,,,
UCSB030045,1977-04-15,1977,4,15,105,,Riverside,1 mile S. Cajalco Rd. on Santa Rosa Rd.,,33.82158,-117.36016,521,,,WGS84,cch2,305957,,,http://cch2.org/portal/collections/individual/index.php?occid=305957,,,,,,,,,
UCSB030033,1963-05-03,1963,5,3,123,,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,,33.85103,-116.82793,1200,,,WGS84,cch2,305969,,Moist gully of burned chaparral,http://cch2.org/portal/collections/individual/index.php?occid=305969,,,,,,,,,
UCSB030064,1978-03-16,1978,3,16,75,,Riverside,At top of hill 3/4 mi. W of orange grove at 3000 McAllister Dr. in Riverside,,33.8713,-117.4363,425,,,WGS84,cch2,306005,,"On grassy, north-west facing slope; with Amsinckia",http://cch2.org/portal/collections/individual/index.php?occid=306005,,,,,,,,,
UCSB030050,1963-05-04,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,,,,,,,,,
UCSB030034,1954-04-13,1954,4,13,103,,Los Angeles,On Pomona College Campus,,34.0968,-117.7012,1200,,,WGS84,cch2,305968,,Growing in a wash,http://cch2.org/portal/collections/individual/index.php?occid=305968,,,,,,,,,
UCSB030403,1935-02-22,1935,2,22,53,menziesii,Los Angeles,"San Dimas Exp. Forest; Bell dams; sec. 1, T 1N, R 9W",,34.199248,-117.779642,500,,,WGS84,cch2,306021,,With Quercus agrifolia; in oak wood,http://cch2.org/portal/collections/individual/index.php?occid=306021,,,,,,,,,
UCSB030404,1958-05-10,1958,5,10,130,menziesii,Los Angeles,3 miles N of Foothill Blvd. on Angeles Crest Highway,,34.230227,-118.181587,500,,,WGS84,cch2,306020,,Chaparral community,http://cch2.org/portal/collections/individual/index.php?occid=306020,,,,,,,,,
UCSB030026,1928-04-21,1928,4,21,112,,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,,34.23496,-117.189624,3000,,,WGS84,cch2,305976,,,http://cch2.org/portal/collections/individual/index.php?occid=305976,,,,,,,,,
UCSB030405,1934-04-04,1934,4,4,94,menziesii,San Bernardino,West Mojave Desert; near Hesperia,,34.42407,-117.301134,5000,,,WGS84,cch2,306019,,,http://cch2.org/portal/collections/individual/index.php?occid=306019,,,,,,,,,
