specimen_number,date_new,year,month,day,DOY,lat,long,elev_m,error_dist_m,sub_sp,repro,county,locality,habitat,datum,id,source,references
CAS-BOT-BC224919,2011-04-06,2011,4,6,96,33.763056,-117.466389,311,NA,NA,NA,Riverside,"""Peninsular Range; Santa Ana Mtns. Region: Temescal Canyon, along Temescal Canyon Rd. 1.5 mi. NE (73 deg. ) of Glen Ivy Hot Springs, 0-0.4 mi. NE of I-15 crossing""",NA,NA,NA,cch1,NA
CAS-BOT-BC263265,2012-03-24,2012,3,24,84,37.96519,-122.61191,NA,NA,NA,NA,Marin,"""Mount Tamalpais. Marin Municipal Water District lands: Sky Oaks Meadow, outcrop near Meadow Club golf course""",NA,NA,NA,cch1,NA
CAS-BOT-BC422397,2014-04-26,2014,4,26,116,37.96388,-122.62416,NA,NA,NA,NA,Marin,Mount Tamalpais. Marin Municipal Water District lands: Less than 0.25 miles up Azalea Hill Trail from intersection with Bolinas-Fairfax Road. Plot on north side of trail near shallow drainage.,NA,NA,NA,cch1,NA
CAS-BOT-BC7219,1897-04-15,1897,4,15,105,39.605797,-121.68332,53,415.20972,NA,NA,Butte,Near Clear Creek,NA,"""Terrain Navigator 1:24,000 (copied from UC107941)""",NA,cch1,NA
CHSC116923,2011-03-18,2011,3,18,77,39.91,-122.128611,66,NA,NA,NA,Tehama,"""Corning,Loleta Avenue.""",NA,NA,NA,cch1,NA
CHSC116929,2011-04-24,2011,4,24,114,39.610556,-121.561667,235,NA,NA,NA,Glenn,Oak woodland 4 miles NW of Elk Creek. Beautiful rolling foothills.,NA,NA,NA,cch1,NA
CHSC12046,1970-03-23,1970,3,23,82,39.198889,-121.795,121,3218.68,NA,NA,Sutter,"""Ca. 700 yds. n of Cole House, Moore Canyon, Sutter Buttes.""",NA,NAD 1983,NA,cch1,NA
CHSC14010,1974-04-09,1974,4,9,99,38.176667,-120.391667,914,3218.68,NA,NA,Calaveras,"""5 mi e of Hwy 4, 5 mi e of Murphys; w facing slope.""",NA,NAD 1983,NA,cch1,NA
CHSC14017,1974-03-30,1974,3,30,89,39.011667,-122.366667,335,402.335,NA,NA,Colusa,Locally scattered along roadside ca. 0.5 mi w of jct of Hwys 20 and 16 on Hwy 20.,NA,NAD 1983,NA,cch1,NA
CHSC24140,1976-04-03,1976,4,3,94,38.9425,-122.792222,NA,402.335,NA,NA,Lake,"""Growing ca. 12 yds from road at intersection of Hwys. 29 and 175, 11 mi. s of Kelseyville.""",NA,NAD 1983,NA,cch1,NA
CHSC24951,1976-04-14,1976,4,14,105,39.233889,-123.370278,426,3218.68,NA,NA,Mendocino,Ca. 2-12 yds n of Orr Springs Rd and 12.8 mi w of Orr Springs Rd-Business 101 intersection in central Ukiah.,NA,NAD 1983,NA,cch1,NA
CHSC2522,1958-04-19,1958,4,19,109,39.732778,-121.834167,365,16093.4,NA,NA,Butte,"""Chico Canyon, Chico area.""",NA,NAD 1983,NA,cch1,NA
CHSC26054,1963-05-04,1963,5,4,124,34.014722,-117.001389,1066,1609.34,NA,NA,San Bernardino,Head of Wildwood Canyon above Yucaipa.,NA,NAD 1983,NA,cch1,NA
CHSC27541,1978-04-09,1978,4,9,99,38.9425,-122.792222,499,402.335,NA,NA,Lake,"""Jct. hwy.29 and 175, ca. 3 mi se of Kelseyville.""",NA,NAD 1983,NA,cch1,NA
CHSC27746,1978-03-25,1978,3,25,84,37.707778,-120.200833,502,201.1675,NA,NA,Mariposa,"""Highway 132, ca. .4 mi w of junction with Highway 49 at Coulterville.""",NA,NAD 1983,NA,cch1,NA
CHSC27799,1978-04-08,1978,4,8,98,38.9425,-122.792222,463,402.335,NA,NA,Lake,"""Jct. Hwys. 29 and 175, ca. 3 mi. se of Kelseyville.""",NA,NAD 1983,NA,cch1,NA
CHSC31076,1980-04-02,1980,4,2,93,38.363333,-122.560278,225,201.1675,NA,NA,Sonoma,Ca. 15 mi se of Petaluma. Ca. 1.3 mi w of jct of Warm Springs Rd and Sonoma Mountain Rd on s side of road.,NA,NAD 1983,NA,cch1,NA
CHSC31077,1980-04-01,1980,4,1,92,39.550556,-121.380278,316,804.67,NA,NA,Butte,"""25 yd n of Craig Access Rd, 2 mi ssw of Lumpkin Rd inside boundary of State Park, ca. 18 mi e of Oroville.""",NA,NAD 1983,NA,cch1,NA
CHSC31306,1980-05-14,1980,5,14,135,39.716389,-123.489444,NA,402.335,NA,NA,Mendocino,1.2 mi n of Laytonville city limits between Rte 101 and County Road 307. Under a large Quercus lobata.,NA,NAD 1983,NA,cch1,NA
CHSC32094,1973-04-15,1973,4,15,105,39.395833,-121.361944,304,804.67,NA,NA,Yuba,"""On dry edge of rd cut bank, Darby Rd, Bangor.""",NA,NAD 1983,NA,cch1,NA
CHSC35982,1982-03-18,1982,3,18,77,39.899444,-121.916944,100,402.335,NA,NA,Tehama,"""Open pasture, just N of the Live Oak school and E of and adjacent to Meridian Rd.""",NA,NAD 1983,NA,cch1,NA
CHSC36121,1980-04-12,1980,4,12,103,39.011667,-122.364444,321,402.335,NA,NA,Colusa,"""Ca. 0.3 mi w of jct of Hwys 20 and 16, s side of Bear Creek, ca. 18 mi sw of Williams.""",NA,NAD 1983,NA,cch1,NA
CHSC40119,1985-04-24,1985,4,24,114,38.932222,-123.307222,NA,804.67,NA,NA,Mendocino,Ca 7 mi se of Boonville along w side of Hwy 128.,NA,NAD 1983,NA,cch1,NA
CHSC4019,1967-04-12,1967,4,12,102,39.729167,-121.702778,NA,201.1675,NA,NA,Butte,Honey Run Road ca. 7 yards after the bridge beside the road.,NA,NAD 1983,NA,cch1,NA
CHSC4065,1967-04-20,1967,4,20,110,40.163056,-122.256389,91,402.335,NA,NA,Tehama,Locally abundant atop creek bank s w side of the intersection of Reeds Creek and Paskenta Rd. s of Red Bluff.,NA,NAD 1983,NA,cch1,NA
CHSC43315,1977-04-07,1977,4,7,97,39.266389,-121.813056,45,804.67,NA,NA,Sutter,"""Under Douglas oaks, about 1/2 mile south-west of the Myers home, Myers Ranch, Sutter Buttes.""",NA,NAD 1983,NA,cch1,NA
CHSC43316,1969-04-07,1969,4,7,97,38.556111,-122.186944,243,4828.02,NA,NA,Napa,"""On moist soil of a road cut, near Lake Berryessa.""",NA,NAD 1983,NA,cch1,NA
CHSC52497,1982-05-12,1982,5,12,132,36.366389,-121.544167,NA,201.1675,NA,NA,Monterey,Carmel Valley. Hastings Natural History Reservation. Poison Oak Hill.,NA,NAD 1983,NA,cch1,NA
CHSC55499,1991-04-13,1991,4,13,103,40.401111,-121.9775,365,402.335,NA,NA,Tehama,"""Long Ranch property. Ca. 15 m e Lanes Valley Road, .7 km s A6.""",NA,NAD 1983,NA,cch1,NA
CHSC55712,1991-04-05,1991,4,5,95,39.480278,-122.5,122,402.335,NA,NA,Glenn,"""Ca. 4 km s of Elk Creek, California, and 100 m w of Stony Creek.""",NA,NAD 1983,NA,cch1,NA
CHSC56643,1977-03-31,1977,3,31,90,39.853056,-122.573333,300,804.67,NA,NA,Tehama,"""Ca 1km east of Newville Road, ca 0.8 km north of junction of Round Valley Road and Newville Road; ca 40 km west-northwest of Corning.""",NA,NAD 1983,NA,cch1,NA
CHSC57470,1990-04-12,1990,4,12,102,38.543333,-123.292778,24,201.1675,NA,NA,Sonoma,610 m. N. of Stillwater Cove.,NA,NAD 1983,NA,cch1,NA
