specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5,open_flr_present,frt_present,plant_PI
JEPS1495,5/7/1933,1933,5,7,127,,Riverside,"about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy",1358.7,33.5691,-116.5055,1500,,,WGS84,cch2,3462047,Flowering/Fruiting,Shaded canyon in Ribbonwood belt,http://cch2.org/portal/collections/individual/index.php?occid=3462047,"WW, ME",,1,Total,1,1,1,1,0,,,2.5
JEPS1495,5/7/1933,1933,5,7,127,,Riverside,"about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy",1358.7,33.5691,-116.5055,1500,,,WGS84,cch2,3462047,Flowering/Fruiting,Shaded canyon in Ribbonwood belt,http://cch2.org/portal/collections/individual/index.php?occid=3462047,"WW, ME",,2,Total,1,2,2,0,0,,,2.2
JEPS1495,5/7/1933,1933,5,7,127,,Riverside,"about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy",1358.7,33.5691,-116.5055,1500,,,WGS84,cch2,3462047,Flowering/Fruiting,Shaded canyon in Ribbonwood belt,http://cch2.org/portal/collections/individual/index.php?occid=3462047,"WW, ME",,3,Total,2,2,0,4,2,,,3.2
JEPS1495,5/7/1933,1933,5,7,127,,Riverside,"about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy",1358.7,33.5691,-116.5055,1500,,,WGS84,cch2,3462047,Flowering/Fruiting,Shaded canyon in Ribbonwood belt,http://cch2.org/portal/collections/individual/index.php?occid=3462047,"WW, ME",,4,Total,7,5,2,5,3,,,2.636363636
JEPS1495,5/7/1933,1933,5,7,127,,Riverside,"about ten mi s Kenworthy (Santa Rosa Mountains, Colorado Desert); Colorado Desert, Santa Rosa Mountains, s of Kenworthy",1358.7,33.5691,-116.5055,1500,,,WGS84,cch2,3462047,Flowering/Fruiting,Shaded canyon in Ribbonwood belt,http://cch2.org/portal/collections/individual/index.php?occid=3462047,"WW, ME",,5,Total,8,2,1,0,0,,,1.363636364
LOB115765,3/10/1972,1972,3,10,70,,Orange,"1.5 miles east of San Juan Station, near Ortega Highway",305,33.594332,-117.487955,722,,,WGS84,cch2,2261811,,Grassy undergrowth,http://cch2.org/portal/collections/individual/index.php?occid=2261811,"WW, ME",,1,Total,3,2,2,0,0,,,1.857142857
LOB115765,3/10/1972,1972,3,10,70,,Orange,"1.5 miles east of San Juan Station, near Ortega Highway",305,33.594332,-117.487955,722,,,WGS84,cch2,2261811,,Grassy undergrowth,http://cch2.org/portal/collections/individual/index.php?occid=2261811,"WW, ME",,2,Total,4,2,3,2,0,,,2.272727273
LOB115765,3/10/1972,1972,3,10,70,,Orange,"1.5 miles east of San Juan Station, near Ortega Highway",305,33.594332,-117.487955,722,,,WGS84,cch2,2261811,,Grassy undergrowth,http://cch2.org/portal/collections/individual/index.php?occid=2261811,"WW, ME",,3,Total,2,2,3,0,0,,,2.142857143
LOB115764,3/14/1970,1970,3,14,73,integrifolia,Orange,"Lion Canyon 2.25 miles east of San Juan Guard Station on state highway 74, western side of Santa Ana Mountains",366,33.602245,-117.460321,1506,,,WGS84,cch2,2261810,,"Riparian, gradual slope",http://cch2.org/portal/collections/individual/index.php?occid=2261810,"WW, ME",multiple plants,NA,,,,,,,y,y,#DIV/0!
LOB115763,3/10/1975,1975,3,10,69,menziesii,Orange,San Juan Loop Trail,607.28,33.61255,-117.430611,725,,,WGS84,cch2,2261809,,"Chaparral, moist area. West-facing slope.",http://cch2.org/portal/collections/individual/index.php?occid=2261809,"WW, ME",,1,Total,11,8,3,9,3,,,2.558823529
LOB115763,3/10/1975,1975,3,10,69,menziesii,Orange,San Juan Loop Trail,607.28,33.61255,-117.430611,725,,,WGS84,cch2,2261809,,"Chaparral, moist area. West-facing slope.",http://cch2.org/portal/collections/individual/index.php?occid=2261809,"WW, ME",,2,Total,10,7,4,12,6,,,2.923076923
JEPS3135,6/1/1927,1927,6,1,152,,Riverside,"Saunder's Meadow San Jacinto Mts., Saunder's Meadow (San Jacinto Mountains)",1676,33.7327,-116.7118,300,,,WGS84,cch2,3304477,Flowering/Fruiting,under trees in grassy meadow,http://cch2.org/portal/collections/individual/index.php?occid=3304477,"WW, ME",multiple plants,NA,,,,,,,y,y,#DIV/0!
JEPS1893,4/1/1908,1908,4,1,92,integrifolia,Orange,Santa Ana Mountains,1052.61,33.74,-117.53,16093,,,NAD27,cch2,3340619,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3340619,"WW, ME",bottom left,1,Total,2,2,1,2,1,,,2.75
JEPS1893,4/1/1908,1908,4,1,92,integrifolia,Orange,Santa Ana Mountains,1052.61,33.74,-117.53,16093,,,NAD27,cch2,3340619,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3340619,"WW, ME",middle,2,Total,3,4,3,0,1,,,2.272727273
JEPS1893,4/1/1908,1908,4,1,92,integrifolia,Orange,Santa Ana Mountains,1052.61,33.74,-117.53,16093,,,NAD27,cch2,3340619,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3340619,"WW, ME",top right,3,Total,6,1,0,2,1,,,2.1
DAV300331,4/26/1975,1975,4,26,116,,Riverside County,Riverside County: Mayhew Canyon 1.5 mi. southeast of Glen Ivy on Highway 71.,335,33.7627,-117.4655,700,,,WGS84,cch2,1372675,,,http://cch2.org/portal/collections/individual/index.php?occid=1372675,"WW, ME","only clearly defined plant = right; left clump has multiple plants overlapping, maybe not whole plants, not scored",1,Total,3,1,3,8,4,,,3.473684211
DAV300368,3/28/1952,1952,3,28,88,,Riverside County,Riverside County: Perris.,443,33.78999,-117.22652,5504,,,WGS84,cch2,1372844,,,http://cch2.org/portal/collections/individual/index.php?occid=1372844,DG,bottom left,1,Total,2,1,0,0,0,,,1.333333333
DAV300368,3/28/1952,1952,3,28,88,,Riverside County,Riverside County: Perris.,443,33.78999,-117.22652,5504,,,WGS84,cch2,1372844,,,http://cch2.org/portal/collections/individual/index.php?occid=1372844,DG,"decayed/munched structures, one flower missing and not scored.",2,Total,14,14,6,3,0,,,1.945945946
DAV300368,3/28/1952,1952,3,28,88,,Riverside County,Riverside County: Perris.,443,33.78999,-117.22652,5504,,,WGS84,cch2,1372844,,,http://cch2.org/portal/collections/individual/index.php?occid=1372844,DG,"intertwinted with plant 2, but most stems distinct",3,Total,1,1,1,1,0,,,2.5
