specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5,open_flr_present,frt_present,plant_PI
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",Third plant from left on top row; first two not included,1,Total,1,1,0,0,0,,,1.5
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",,2,Total,1,2,1,1,0,,,2.4
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",,3,Total,0,1,0,0,0,,,2
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",partially covered by label,4,Total,2,3,1,0,0,,,1.833333333
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",,5,Total,3,2,1,0,0,,,1.666666667
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",,6,Total,2,2,0,1,0,,,2
SD00010586,2/17/2012,2012,2,17,48,integrifolia,San Diego,Border Field State Park: west of San Ysidro border crossing; south of Monument Road; just north of the USA/Mexico border fence; east-facing lower slope of Bunker Hill,85,32.5365,-117.10306,,,,WGS84,cch2,500269,FFL,some clay soils,http://cch2.org/portal/collections/individual/index.php?occid=500269,"CPA, DC",Rightmost plant on second row; plant on very bottom not included,7,Total,4,3,1,0,0,,,1.625
SD00010592,4/11/2008,2008,4,11,102,integrifolia,San Diego,"Border Field State Park, at the eastern base of Bunker Hill, south of city of Imperial Beach. South Mesa, flat area just north of US/Mexico Border fence, 1 mi E of Pacific Ocean and about .1 mi NW of Border Monument 257",70,32.53722,-117.105,,,,WGS84,cch2,500286,FL,marine sediment,http://cch2.org/portal/collections/individual/index.php?occid=500286,"CPA, DC",,1,Total,3,0,4,2,2,,,3
SD00010634,3/14/2008,2008,3,14,74,integrifolia,San Diego,"Border Field State Park, bottom of east facing slope, south towards the border fence, about 1.3 mi east of Pacific Ocean and .15 miles northeast of Border Monument #257",27,32.5375,-117.10194,,,,WGS84,cch2,500242,FL,marine sediment,http://cch2.org/portal/collections/individual/index.php?occid=500242,"CPA, DC",No full plants,NA,,,,,,,,,#DIV/0!
SD00010554,4/28/1936,1936,4,28,119,integrifolia,San Diego,Near Monument School,9.07,32.54362,-117.08315,402,,,WGS84,cch2,500058,FFL,,http://cch2.org/portal/collections/individual/index.php?occid=500058,"CPA, DC",,1,Total,16,7,4,5,0,,,1.9375
SD00010554,4/28/1936,1936,4,28,119,integrifolia,San Diego,Near Monument School,9.07,32.54362,-117.08315,402,,,WGS84,cch2,500058,FFL,,http://cch2.org/portal/collections/individual/index.php?occid=500058,"CPA, DC",,2,Total,15,25,6,4,3,,,2.150943396
OBI106058,5/18/1954,1954,5,18,138,integrifolia,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",732,32.5962,-116.545,805,,,WGS84,cch2,196221,,One year old burn,http://cch2.org/portal/collections/individual/index.php?occid=196221,"CPA, DC",See image file for plant numbers,1,Total,12,8,5,6,7,,,2.684210526
OBI106058,5/18/1954,1954,5,18,138,integrifolia,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",732,32.5962,-116.545,805,,,WGS84,cch2,196221,,One year old burn,http://cch2.org/portal/collections/individual/index.php?occid=196221,"CPA, DC",,2,Total,0,0,0,0,9,,,5
OBI106058,5/18/1954,1954,5,18,138,integrifolia,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",732,32.5962,-116.545,805,,,WGS84,cch2,196221,,One year old burn,http://cch2.org/portal/collections/individual/index.php?occid=196221,"CPA, DC",,3,Total,3,6,3,4,17,,,3.787878788
OBI106058,5/18/1954,1954,5,18,138,integrifolia,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",732,32.5962,-116.545,805,,,WGS84,cch2,196221,,One year old burn,http://cch2.org/portal/collections/individual/index.php?occid=196221,"CPA, DC",,4,Total,2,5,9,10,27,,,4.037735849
OBI106058,5/18/1954,1954,5,18,138,integrifolia,San Diego,"On grade along State hwy 94, 5.5 mi W of Campo and 3.8 mi E of Potrero",732,32.5962,-116.545,805,,,WGS84,cch2,196221,,One year old burn,http://cch2.org/portal/collections/individual/index.php?occid=196221,"CPA, DC",,5,Total,5,4,0,2,0,,,1.909090909
SD00010556,4/3/1935,1935,4,3,93,integrifolia,San Diego,Near Tecate Junction on Potrero Grade,564.12,32.59816,-116.64312,805,,,WGS84,cch2,500049,FL,,http://cch2.org/portal/collections/individual/index.php?occid=500049,"CPA, DC","Very blurry, too blurry to score; low-res image",NA,,,,,,,,,#DIV/0!
