specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5,open_flr_present,frt_present,plant_PI
UC495319,5/15/1932,1932,5,15,136,integrifolia,San Diego,10 mi w Campo; w of Campo,914,32.60806,-116.62917,1609,,,WGS84,cch2,3150192,Flowering/Fruiting,edge of damp grassy place,http://cch2.org/portal/collections/individual/index.php?occid=3150192,ME,Looks good - DG. could someone else score these 2 to compare? very full. ,1,Total,9,5,5,12,12,,,3.302325581
UC495319,5/15/1932,1932,5,15,136,integrifolia,San Diego,10 mi w Campo; w of Campo,914,32.60806,-116.62917,1609,,,WGS84,cch2,3150192,Flowering/Fruiting,edge of damp grassy place,http://cch2.org/portal/collections/individual/index.php?occid=3150192,ME,,2,Total,16,20,9,5,5,,,2.327272727
UC131507,4/1/1905,1905,4,1,91,integrifolia,San Diego,Jacumba and Campo,1121.59,32.64497,-116.33352,14481,,,WGS84,cch2,3151231,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3151231,DG,"Blurry, faded colors, dense plants - exclude",NA,,,,,,,y,y,#DIV/0!
UC1019608,4/10/1927,1927,4,10,100,integrifolia,San Diego,"3 mi below Dulzura (above Dulzura Creek); , below Dulzura",220.19,32.66879,-116.82444,402,,,WGS84,cch2,3147306,Flowering/Fruiting,in shade of chaparral on hillside above creek,http://cch2.org/portal/collections/individual/index.php?occid=3147306,ME,,1,Total,9,8,4,9,3,,,2.666666667
UC1019608,4/10/1927,1927,4,10,100,integrifolia,San Diego,"3 mi below Dulzura (above Dulzura Creek); , below Dulzura",220.19,32.66879,-116.82444,402,,,WGS84,cch2,3147306,Flowering/Fruiting,in shade of chaparral on hillside above creek,http://cch2.org/portal/collections/individual/index.php?occid=3147306,ME,,2,Total,6,4,1,3,1,,,2.266666667
UC1019607,4/14/1927,1927,4,14,104,integrifolia,San Diego,Moreno Dam,942.45,32.6851,-116.546,402,,,WGS84,cch2,3161680,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3161680,DG,,1,Total,5,5,2,5,0,,,2.411764706
UC1019607,4/14/1927,1927,4,14,104,integrifolia,San Diego,Moreno Dam,942.45,32.6851,-116.546,402,,,WGS84,cch2,3161680,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3161680,ME,,2,Total,6,6,1,3,0,,,2.0625
UC1019607,4/14/1927,1927,4,14,104,integrifolia,San Diego,Moreno Dam,942.45,32.6851,-116.546,402,,,WGS84,cch2,3161680,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3161680,DG,,3,Total,2,3,1,3,0,,,2.555555556
UC1019607,4/14/1927,1927,4,14,104,integrifolia,San Diego,Moreno Dam,942.45,32.6851,-116.546,402,,,WGS84,cch2,3161680,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3161680,DG,,4,Total,3,5,2,4,2,,,2.8125
UC67155,1895-03-23,1895,3,23,82,integrifolia,San Diego,Point Loma,94.56,32.6948,-117.245,3219,,,WGS84,cch2,3148622,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3148622,DG,"Only top 3 plants scored (middle right not whole). Top left, slightly blurry",1,Total,8,11,5,10,9,,,3.023255814
UC67155,1895-03-23,1895,3,23,82,integrifolia,San Diego,Point Loma,94.56,32.6948,-117.245,3219,,,WGS84,cch2,3148622,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3148622,ME,upper middle,2,Total,1,3,2,1,1,,,2.75
UC67155,1895-03-23,1895,3,23,82,integrifolia,San Diego,Point Loma,94.56,32.6948,-117.245,3219,,,WGS84,cch2,3148622,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3148622,ME,"upper right, really blurry",3,Total,3,3,4,1,0,,,2.272727273
UC126909,4/10/1906,1906,4,10,100,integrifolia,San Diego,"near San Diego (Point Loma); , near San Diego",94.56,32.6948,-117.245,3219,,,WGS84,cch2,3156818,Flowering/Fruiting,growing under and near a shrub,http://cch2.org/portal/collections/individual/index.php?occid=3156818,DG,overlapping plants - exclude,NA,,,,,,,y,y,#DIV/0!
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,Structures very small,1,Total,5,4,0,1,0,,,1.7
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,2,Total,1,3,1,1,0,,,2.333333333
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,"Highlighted: non-zero value in ""6"" column, rescore these!!! ""6"": 1",3,Total,4,5,0,0,0,,,1.555555556
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,4,Total,2,0,2,1,0,,,2.4
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,(6): 2,5,Total,3,2,3,1,2,,,2.727272727
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,6,Total,3,1,2,1,0,,,2.142857143
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,(6): 2,7,Total,2,0,2,2,0,,,2.666666667
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,8,Total,3,3,2,0,0,,,1.875
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,9,Total,8,4,1,1,0,,,1.642857143
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,10,Total,0,2,0,1,0,,,2.666666667
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,11,Total,1,1,0,0,0,,,1.5
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,12,Total,4,6,2,3,2,,,2.588235294
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,ME,,13,Total,1,0,0,3,1,,,3.6
UC880923,4/6/1913,1913,4,6,96,integrifolia,San Diego,Point Loma,101.08,32.69483,-117.24517,3219,,,WGS84,cch2,3160213,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3160213,DG,Messy,14,Total,3,2,0,2,1,,,2.5
UC310898,5/15/1925,1925,5,15,135,integrifolia,San Diego,4 mi se Buckman's Springs; se of Buckman's Springs,914,32.71833,-116.46917,805,,,WGS84,cch2,3159558,Flowering/Fruiting,dry gravelly burn,http://cch2.org/portal/collections/individual/index.php?occid=3159558,SA,bottom left plant,1,Total,0,10,0,8,16,,,3.882352941
UC310898,5/15/1925,1925,5,15,135,integrifolia,San Diego,4 mi se Buckman's Springs; se of Buckman's Springs,914,32.71833,-116.46917,805,,,WGS84,cch2,3159558,Flowering/Fruiting,dry gravelly burn,http://cch2.org/portal/collections/individual/index.php?occid=3159558,SA,bottom right plant,2,Total,1,11,2,5,5,,,3.083333333
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,81.31,32.73409,-117.12945,9654,,,WGS84,cch2,3357574,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3357574,SA,Blurry image,1,Total,3,2,0,0,0,,,1.4
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,81.31,32.73409,-117.12945,9654,,,WGS84,cch2,3357574,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3357574,SA,,2,Total,3,4,0,0,0,,,1.571428571
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,81.31,32.73409,-117.12945,9654,,,WGS84,cch2,3357574,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3357574,SA,left,3,Total,1,2,0,1,0,,,2.25
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,81.31,32.73409,-117.12945,9654,,,WGS84,cch2,3357574,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3357574,SA,middle,4,Total,2,2,0,0,0,,,1.5
UC303377,1882-03-17,1882,3,17,76,,San Diego,San Diego,81.31,32.73409,-117.12945,9654,,,WGS84,cch2,3357574,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3357574,SA,right,5,Total,4,3,0,0,0,,,1.428571429
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,top left,1,Total,0,1,0,0,0,,,2
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,first plant in second row,2,Total,0,2,0,0,0,,,2
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,,3,Total,1,5,0,1,0,,,2.142857143
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,,4,Total,2,5,1,0,0,,,1.875
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,,5,Total,1,2,2,1,0,,,2.5
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,far right in second row,6,Total,2,2,1,0,0,,,1.8
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,far left in third row,7,Total,0,2,2,1,0,,,2.8
UC67160,4/10/1904,1904,4,10,101,integrifolia,San Diego,Mission Hills,60,32.75388,-117.18642,805,,,WGS84,cch2,3150240,Flowering/Fruiting,mesa region,http://cch2.org/portal/collections/individual/index.php?occid=3150240,SA,far right in third row,8,Total,4,0,0,0,0,,,1
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,1,Total,0,4,2,0,0,,,2.333333333
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,2,Total,1,0,0,0,0,,,1
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,3,Total,2,4,1,0,0,,,1.857142857
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,4,Total,3,2,0,0,0,,,1.4
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,5,Total,5,1,0,0,0,,,1.166666667
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,6,Total,1,4,0,2,1,,,2.75
UC880907,4/9/1940,1940,4,9,100,integrifolia,San Diego,"se about 20 mi Cuyamaca Lake (Laguna Mts.); , se of Cuyamaca Lake",1828,32.85186,-116.45182,3219,,,WGS84,cch2,3150290,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3150290,SA,,7,Total,0,2,0,0,0,,,2
UC1019606,4/15/1927,1927,4,15,105,integrifolia,San Diego,"near Carab Acres (between Alpine and San Diego); , near Carab Acres",369.26,32.86952,-116.84145,1609,,,WGS84,cch2,3162223,Flowering/Fruiting,hillside,http://cch2.org/portal/collections/individual/index.php?occid=3162223,SA,,1,Total,0,6,4,2,6,,,3.444444444
UC1019606,4/15/1927,1927,4,15,105,integrifolia,San Diego,"near Carab Acres (between Alpine and San Diego); , near Carab Acres",369.26,32.86952,-116.84145,1609,,,WGS84,cch2,3162223,Flowering/Fruiting,hillside,http://cch2.org/portal/collections/individual/index.php?occid=3162223,SA,,2,Total,1,2,5,3,1,,,3.083333333
UC1019606,4/15/1927,1927,4,15,105,integrifolia,San Diego,"near Carab Acres (between Alpine and San Diego); , near Carab Acres",369.26,32.86952,-116.84145,1609,,,WGS84,cch2,3162223,Flowering/Fruiting,hillside,http://cch2.org/portal/collections/individual/index.php?occid=3162223,SA,,3,Total,1,5,5,3,2,,,3
UC1019606,4/15/1927,1927,4,15,105,integrifolia,San Diego,"near Carab Acres (between Alpine and San Diego); , near Carab Acres",369.26,32.86952,-116.84145,1609,,,WGS84,cch2,3162223,Flowering/Fruiting,hillside,http://cch2.org/portal/collections/individual/index.php?occid=3162223,SA,,4,Total,0,3,2,3,1,,,3.222222222
UC173769,1894-04-03,1894,4,3,93,integrifolia,San Diego,Ramona,435.2,33.04179,-116.86803,4828,,,WGS84,cch2,3159019,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3159019,"SA, DG",Re-Scored (DG) [Old Scores: 1        17        4        11        1]. Poor color. top left; small one in middle was too difficult to score,1,Total,11,12,6,12,4,,,2.688888889
UC173769,1894-04-03,1894,4,3,93,integrifolia,San Diego,Ramona,435.2,33.04179,-116.86803,4828,,,WGS84,cch2,3159019,Flowering/Fruiting,,http://cch2.org/portal/collections/individual/index.php?occid=3159019,SA,Re-Scored (DG) [Old scores: 0        9        8        1        0]. Bottom. Top right plant was actually two plants: removed. (this plant labeled as plant3 from SA scores).,2,Total,7,7,6,4,0,,,2.291666667
