specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5,open_flr_present,frt_present,plant_PI
UCR0077177,5/21/1951,1951,5,21,141,integrifolia,San Diego,Cuyamaca,1416.8,32.97722,-116.57917,,,,,cch2,1462122,,,http://cch2.org/portal/collections/individual/index.php?occid=1462122,DG,No whole plants (all clippings). Has open flowers,NA,,,,,,,y,y,#DIV/0!
UCR0077176,4/5/2004,2004,4,5,96,,San Diego,"Pine Hills area, between Magee Flat and Deadman Flat along Eagle Peak Road",1154.73,33.03111,-116.66056,,,,,cch2,1570996,,"Relatively gently rolling terrain of meadow-like openings surrounded by woodland of Quercus agrifolia and Quercus engelmannii, with scattered Arctostaphylos glauca and Salvia apiana; adjacent rockier slopes previously dominated by chaparral of Adenostoma fasciculatum, Arctostaphylos glauca, etc., but entire area burned in October 2003 fire.",http://cch2.org/portal/collections/individual/index.php?occid=1570996,DG,"Bottom plant, scored by tracing branches. Some breaks, but all appear to connect to the same whole specimen. Other loose structures not scored. Top mess has multiple plants, breaks; not scored.",1,Total,6,5,4,3,5,,,2.826086957
UCR0018152,5/21/1974,1974,5,21,141,integrifolia,San Diego,3 miles east of Julian,1082,33.08889,-116.57917,,,,,cch2,3752992,,"Dry, grassy slope.",http://cch2.org/portal/collections/individual/index.php?occid=3752992,DG,,1,Total,1,1,0,0,1,,,2.666666667
UCR0018152,5/21/1974,1974,5,21,141,integrifolia,San Diego,3 miles east of Julian,1082,33.08889,-116.57917,,,,,cch2,3752992,,"Dry, grassy slope.",http://cch2.org/portal/collections/individual/index.php?occid=3752992,DG,Looks like cotyledons are present. Seeds (appearing viable) on sheet!,2,Total,0,4,1,2,3,,,3.4
UCR0077178,4/27/2004,2004,4,27,118,,San Diego,"Warner Springs area, rolling terrain near the Pacific Crest Trail, south of Hwy 79 and west of the Warner Springs Resort",898,33.27083,-116.64167,,,,,cch2,1568044,,"Grassland dominated by exotic taxa, including Bromus spp., Avena barbata, and Erodium cicutarium, along with natives such as Stipa spp., Aristida, Poa secunda, Opuntia phaeacantha, Eriogonum elongatum, and Gutierrezia sarrothrae.",http://cch2.org/portal/collections/individual/index.php?occid=1568044,DG,"Open flowers present, no whole plants",NA,,,,,,,y,y,#DIV/0!
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,1,Total,0,1,1,0,1,,,3.333333333
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,2,Total,2,2,2,1,0,,,2.285714286
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,3,Total,2,2,1,3,1,,,2.888888889
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,4,Total,0,3,0,0,0,,,2
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,5,Total,0,1,0,1,0,,,3
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,6,Total,2,2,1,1,0,,,2.166666667
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,likely underestimating buds,7,Total,2,9,2,5,3,,,2.904761905
UCR0077171,2/24/2015,2015,2,24,55,,San Diego,"Camp Pendleton, central portion of Base, India Training Area, north of Basilone Road and east of Roblar Road, along a trail in a canyon bottom. Square: D5",140,33.35719,-117.35039,,,,,cch2,1681907,,"Oak woodland with Quercus agrifolia, Malosma laurina, Toxicodendron diversilobum, Salvia apiana, Artemisia californica, Baccharis salicifolia, Platanus racemosa.",http://cch2.org/portal/collections/individual/index.php?occid=1681907,DG,,8,Total,1,2,1,0,0,,,2
UCR0077173,5/4/2004,2004,5,4,125,integrifolia,San Diego,"hills north of Warner Springs, north Indian Flats Campground of Cleveland National Forest along Road 9S05",899,33.35981,-116.67292,,,,,cch2,1618597,,"Gentle valley with stream running over shallow granite bedrock slabs. Woodland of Quercus agrifolia and open meadows of Muhlengergia rigens in drainage bottom; slopes with scrub of Adenostoma sparsifolium, Adenostoma fasciculatum, Ceanothus greggii perplexans, Yucca whipplei, Rhamnus ilicifolia, and Arctostaphylos glauca. Understory includes Lonicera subspicata, Eriogonum fasciculatum, Eriogonum wrightii membranaceum, and Garrya flavescens. Stream with scattered Salix lasiolepis and Fraxinus velutina.",http://cch2.org/portal/collections/individual/index.php?occid=1618597,CF,left,1,Total,3,7,3,10,8,,,3.419354839
UCR0077173,5/4/2004,2004,5,4,125,integrifolia,San Diego,"hills north of Warner Springs, north Indian Flats Campground of Cleveland National Forest along Road 9S05",899,33.35981,-116.67292,,,,,cch2,1618597,,"Gentle valley with stream running over shallow granite bedrock slabs. Woodland of Quercus agrifolia and open meadows of Muhlengergia rigens in drainage bottom; slopes with scrub of Adenostoma sparsifolium, Adenostoma fasciculatum, Ceanothus greggii perplexans, Yucca whipplei, Rhamnus ilicifolia, and Arctostaphylos glauca. Understory includes Lonicera subspicata, Eriogonum fasciculatum, Eriogonum wrightii membranaceum, and Garrya flavescens. Stream with scattered Salix lasiolepis and Fraxinus velutina.",http://cch2.org/portal/collections/individual/index.php?occid=1618597,CF,right,2,Total,0,2,0,3,10,,,4.4
UCR0077103,2/17/1997,1997,2,17,48,menziesii,Riverside,"NW Palomar Mountains: burned areas in the Temecula community of Redhawk, south of the intersection of Redhawk Parkway and Tehachapi Pass Road",396,33.46667,-117.06667,,,,,cch2,1557317,,"Burned chaparral with Bromus madritensis ssp. rubens, Anagallis arvensis, Erodium botrys, Sidalcea malvaeflora, Sanicula bipinnatifida, etc. Metasedimentary substrate with a sandy loam soil; N-NE aspect; 70% slope.",http://cch2.org/portal/collections/individual/index.php?occid=1557317,CF,right plant has no roots,1,Total,7,2,0,1,0,,,1.5
UCR0077104,3/13/1997,1997,3,13,72,menziesii,Riverside,"Agua Tibia Mtns: Redhawk Housing Development, north of the Pechanga Indian Reservation in the hills south of the intersection of Marge Place and Tehachapi Pass (S of Redhawk Parkway)",378,33.46806,-117.075,,,,,cch2,1557955,,"Burned in the Temecula fire of May, 1996. Areas of coastal sage scrub and chaparral, with unburned pockets consisting of Eriogonum fasciculatum, Salvia apiana, Lotus scoparius, Artemisia californica, Ceanothus crassifolius. Arkose substrate with a sandy soil; aspects S, E, N; slope 0-120%.",http://cch2.org/portal/collections/individual/index.php?occid=1557955,"CF, DG, WW",,1,Total,22,20,8,17,9,,,2.618421053
UCR0077083,4/25/1967,1967,4,25,115,,Riverside,"Pauba Ranch [SE of Temecula in Pauba Valley, off Hwy 79]",381,33.48333,-117.05,,,,,cch2,1447225,,"Dry, sandy washes with coastal sage scrub.",http://cch2.org/portal/collections/individual/index.php?occid=1447225,CF,,1,Total,14,7,3,3,3,,,2.133333333
