specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5,open_flr_present,frt_present,plant_PI
UCSB030093,4/25/1953,1953,4,25,115,integrifolia,San Diego,1 mile west of Julian,1216.56,33.07817,-116.61458,241,,,WGS84,cch2,306014,,Growing in semi-shade; under Quercus agrifolia; growing among grasses; Baby Blue Eyes,http://cch2.org/portal/collections/individual/index.php?occid=306014,AC,"excluded 2 outer plants, not whole plants",1,Total,6,3,2,2,0,,,2
UCSB030408,3/9/1962,1962,3,9,68,menziesii,Orange,4.4 miles east of San Juan Capistrano on State 74,87.88,33.517333,-117.595479,500,,,WGS84,cch2,306016,,On grassy hill; with Quercus agrifolia,http://cch2.org/portal/collections/individual/index.php?occid=306016,AC,"excluded top right, not whole plant",1,Total,2,1,1,0,0,,,1.75
UCSB030408,3/9/1962,1962,3,9,68,menziesii,Orange,4.4 miles east of San Juan Capistrano on State 74,87.88,33.517333,-117.595479,500,,,WGS84,cch2,306016,,On grassy hill; with Quercus agrifolia,http://cch2.org/portal/collections/individual/index.php?occid=306016,AC,,2,Total,3,2,0,1,0,,,1.833333333
UCSB030408,3/9/1962,1962,3,9,68,menziesii,Orange,4.4 miles east of San Juan Capistrano on State 74,87.88,33.517333,-117.595479,500,,,WGS84,cch2,306016,,On grassy hill; with Quercus agrifolia,http://cch2.org/portal/collections/individual/index.php?occid=306016,AC,,3,Total,1,1,0,0,0,,,1.5
UCSB030098,4/3/1982,1982,4,3,93,menziesii,Orange,Rancho Mission Viejo: Calif. 74; 7.2 km. by road E San Juan Capistrano; 1.3 km. NE Viejo Survey Marker,95.94,33.531045,-117.589222,500,,,WGS84,cch2,306026,,"On gentle, west-facing hillside; in mixed oak woodland and grassland; with Lupinus bicolor, Erodium botrys, Plagiobothrys nothofulvus and Dodecatheon clevelandii; in sandy clay soil",http://cch2.org/portal/collections/individual/index.php?occid=306026,AC,Excluded - No full plants,NA,,,,,,,y,y,#DIV/0!
UCSB030052,3/17/1962,1962,3,17,76,,Riverside,Southwest of U.S. Highway 71; about 300 feet; by the Alberhill brickyard in Alberhill,392.58,33.72163,-117.39338,1349,,,WGS84,cch2,305950,,Associated with Artemisia sp.; on north slope of small hill,http://cch2.org/portal/collections/individual/index.php?occid=305950,AC,Wierd broken branches - no notes on CCH2. Scores OK -DG,1,Total,1,1,0,0,0,,,1.5
UCSB030081,3/22/1957,1957,3,22,81,,Riverside,"Hwy. 71, near Alberhill",318.64,33.7619,-117.4723,,,,,cch2,305985,,Sandy; flat,http://cch2.org/portal/collections/individual/index.php?occid=305985,AC,Excluded all plants except the middle two - not whole plants.,1,Total,8,2,1,1,0,,,1.583333333
UCSB030081,3/22/1957,1957,3,22,81,,Riverside,"Hwy. 71, near Alberhill",318.64,33.7619,-117.4723,,,,,cch2,305985,,Sandy; flat,http://cch2.org/portal/collections/individual/index.php?occid=305985,AC,,2,Total,1,0,0,0,0,,,1
UCSB030044,4/7/1977,1977,4,7,97,,Riverside,"South of Lake Matthews; southern Riverside Co., CA",488.46,33.80996,-117.4308,4179,,,WGS84,cch2,305958,,Valley grassland; north slope 10%,http://cch2.org/portal/collections/individual/index.php?occid=305958,AC,"excluded, no whole plants",NA,,,,,,,y,y,#DIV/0!
UCSB030045,4/15/1977,1977,4,15,105,,Riverside,1 mile S. Cajalco Rd. on Santa Rosa Rd.,553.28,33.82158,-117.36016,521,,,WGS84,cch2,305957,,,http://cch2.org/portal/collections/individual/index.php?occid=305957,AC,,1,Total,7,5,3,4,1,,,2.35
UCSB030033,5/3/1963,1963,5,3,123,,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,1336.82,33.85103,-116.82793,1200,,,WGS84,cch2,305969,,Moist gully of burned chaparral,http://cch2.org/portal/collections/individual/index.php?occid=305969,AC,Two mystery structures to ask Susan about on top left plant (excluded them on sheet). Re-scored - DG (originally 6        3        0        1        0),1,Total,5,3,2,2,0,,,2.083333333
UCSB030033,5/3/1963,1963,5,3,123,,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,1336.82,33.85103,-116.82793,1200,,,WGS84,cch2,305969,,Moist gully of burned chaparral,http://cch2.org/portal/collections/individual/index.php?occid=305969,AC,,2,Total,8,8,2,1,0,,,1.789473684
UCSB030033,5/3/1963,1963,5,3,123,,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,1336.82,33.85103,-116.82793,1200,,,WGS84,cch2,305969,,Moist gully of burned chaparral,http://cch2.org/portal/collections/individual/index.php?occid=305969,AC,"ordered plants top to bottom, left to right",3,Total,3,4,0,0,0,,,1.571428571
UCSB030033,5/3/1963,1963,5,3,123,,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,1336.82,33.85103,-116.82793,1200,,,WGS84,cch2,305969,,Moist gully of burned chaparral,http://cch2.org/portal/collections/individual/index.php?occid=305969,AC,,4,Total,2,1,0,0,0,,,1.333333333
UCSB030033,5/3/1963,1963,5,3,123,,Riverside,7.2 miles south of Banning on Banning to Idyllwild Road,1336.82,33.85103,-116.82793,1200,,,WGS84,cch2,305969,,Moist gully of burned chaparral,http://cch2.org/portal/collections/individual/index.php?occid=305969,AC,,5,Total,5,6,1,0,0,,,1.666666667
UCSB030064,3/16/1978,1978,3,16,75,,Riverside,At top of hill 3/4 mi. W of orange grove at 3000 McAllister Dr. in Riverside,389.04,33.8713,-117.4363,425,,,WGS84,cch2,306005,,"On grassy, north-west facing slope; with Amsinckia",http://cch2.org/portal/collections/individual/index.php?occid=306005,AC,,1,Total,7,4,0,3,0,,,1.928571429
UCSB030064,3/16/1978,1978,3,16,75,,Riverside,At top of hill 3/4 mi. W of orange grove at 3000 McAllister Dr. in Riverside,389.04,33.8713,-117.4363,425,,,WGS84,cch2,306005,,"On grassy, north-west facing slope; with Amsinckia",http://cch2.org/portal/collections/individual/index.php?occid=306005,AC,,2,Total,4,1,0,0,0,,,1.2
UCSB030050,5/4/1963,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,1198.41,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,AC,excluded bottom plant,1,Total,7,1,1,2,0,,,1.818181818
UCSB030050,5/4/1963,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,1198.41,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,AC,,2,Total,4,4,1,0,0,,,1.666666667
UCSB030050,5/4/1963,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,1198.41,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,AC,,3,Total,6,4,0,0,0,,,1.4
UCSB030050,5/4/1963,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,1198.41,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,AC,,4,Total,7,3,2,0,0,,,1.583333333
UCSB030050,5/4/1963,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,1198.41,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,AC,,5,Total,7,3,1,0,0,,,1.454545455
UCSB030050,5/4/1963,1963,5,4,124,,Riverside,In San Jacinto Mountains; 4 miles south og Banning on Banning to Idyllwild Road,1198.41,33.88068,-116.84681,1000,,,WGS84,cch2,305952,,On burned over east slope,http://cch2.org/portal/collections/individual/index.php?occid=305952,AC,,6,Total,5,4,0,1,0,,,1.7
UCSB030034,4/13/1954,1954,4,13,103,,Los Angeles,On Pomona College Campus,365.77,34.0968,-117.7012,1200,,,WGS84,cch2,305968,,Growing in a wash,http://cch2.org/portal/collections/individual/index.php?occid=305968,AC,,1,Total,10,3,3,3,0,,,1.947368421
UCSB030403,2/22/1935,1935,2,22,53,menziesii,Los Angeles,"San Dimas Exp. Forest; Bell dams; sec. 1, T 1N, R 9W",743.26,34.199248,-117.779642,500,,,WGS84,cch2,306021,,With Quercus agrifolia; in oak wood,http://cch2.org/portal/collections/individual/index.php?occid=306021,JN,multiple root structures present and significant overlap,NA,,,,,,,y,n,#DIV/0!
UCSB030404,5/10/1958,1958,5,10,130,menziesii,Los Angeles,3 miles N of Foothill Blvd. on Angeles Crest Highway,666.64,34.230227,-118.181587,500,,,WGS84,cch2,306020,,Chaparral community,http://cch2.org/portal/collections/individual/index.php?occid=306020,DG,"Especially small structures. top plant scored first; few  structures beyond buds, v small",1,Total,3,0,2,0,0,,,1.8
UCSB030404,5/10/1958,1958,5,10,130,menziesii,Los Angeles,3 miles N of Foothill Blvd. on Angeles Crest Highway,666.64,34.230227,-118.181587,500,,,WGS84,cch2,306020,,Chaparral community,http://cch2.org/portal/collections/individual/index.php?occid=306020,DG,bottom,2,Total,14,10,7,7,2,,,2.325
UCSB030026,4/21/1928,1928,4,21,112,,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,1699.38,34.23496,-117.189624,3000,,,WGS84,cch2,305976,,,http://cch2.org/portal/collections/individual/index.php?occid=305976,AC,upper left corner with only one flower,1,Total,0,1,0,0,0,,,2
UCSB030026,4/21/1928,1928,4,21,112,,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,1699.38,34.23496,-117.189624,3000,,,WGS84,cch2,305976,,,http://cch2.org/portal/collections/individual/index.php?occid=305976,JN,"left side, middle plant",2,Total,2,0,0,0,0,,,1
UCSB030026,4/21/1928,1928,4,21,112,,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,1699.38,34.23496,-117.189624,3000,,,WGS84,cch2,305976,,,http://cch2.org/portal/collections/individual/index.php?occid=305976,JN,left bottom plant - has overlapping second plant (plant 4) with no structures,3,Total,1,0,0,0,0,,,1
UCSB030026,4/21/1928,1928,4,21,112,,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,1699.38,34.23496,-117.189624,3000,,,WGS84,cch2,305976,,,http://cch2.org/portal/collections/individual/index.php?occid=305976,JN,no structures byt has sepearate root structure,4,Total,0,0,0,0,0,,,#DIV/0!
UCSB030026,4/21/1928,1928,4,21,112,,San Bernardino,Near Lake Arrowhead; on Rim of the World Drive,1699.38,34.23496,-117.189624,3000,,,WGS84,cch2,305976,,,http://cch2.org/portal/collections/individual/index.php?occid=305976,JN,mid-left in middle of page,5,Total,1,1,0,0,0,,,1.5
