specimen_number,date_new,year,month,day,DOY,sub_sp,county,locality,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,source,id,repro,habitat,references,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
POM156599,1903-05-26,1903,5,26,146,integrifolia,San Diego,Hills near Campo,793.95,32.6064,-116.469,4827,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM47079,1924-05-10,1924,5,10,131,integrifolia,San Diego,Lions Valley.,682.32,32.71389,-116.75889,1609,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEPS1895,1916-04-02,1916,4,2,93,integrifolia,San Diego,San Diego,15,32.73409,-117.12945,9654,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM126452,1906-05-24,1906,5,24,144,integrifolia,San Diego,Descanso.,1034.13,32.8528,-116.616,1609.34,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM48180,1924-05-11,1924,5,11,132,integrifolia,San Diego,Descanso Creek.,1433,32.88958,-116.57607,1610,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM3737,1897-03-31,1897,3,31,90,menziesii,San Diego,Foster.,146.82,32.9084,-116.9261,805,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM126450,1896-04-01,1896,4,1,92,integrifolia,San Diego,Ramona.,435.2,33.04179,-116.86803,4827,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM126453,1901-04-07,1901,4,7,97,NA,San Diego,Banner Grade.,937.52,33.0782,-116.565,2574.944,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM210106,1935-04-11,1935,4,11,101,NA,San Diego,"""Foot of Banner Grade, San Felipe Valley, San Diego County.""",780.99,33.07822,-116.53295,1609.34,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM73427,1906-04-17,1906,4,17,107,integrifolia,San Diego,Julian.,1220,33.0787,-116.602,1609.34,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POM46977,1919-06-03,1919,6,3,154,integrifolia,San Diego,"""Edge of woods, mesa Grande.""",1021,33.18032,-116.76919,1610,NA,NA,WGS84,cch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
