specimen_number,mean_PI,mean_buds,mean_flowers,mean_spent,mean_immature,mean_mature,flowers_present,fruit_present
AHUC100004,1.588235294,9,6,2,0,0,y,n
AHUC100005,1.6415770605,10,6.5,2.5,0.5,0.5,y,y
AHUC100006,2.69890873025,4,3.75,2.25,2.75,2,y,y
AHUC100007,1.4866161615,3.5,2.3333333333333335,0,0.3333333333333333,0,y,y
AHUC100008,2.158333333333333,1.3333333333333333,1.5,0.5,0.16666666666666666,0,y,y
AHUC100009,2.1500000000000004,5,8,6,1,0,y,y
AHUC100010,1.55458333325,3.25,2.5,1,1.125,0.625,y,y
AHUC100011,1.572580645,14,8.5,0.5,1,0.5,y,y
BSCA0945,2.7048494979999997,10.5,11.5,8,5,7.5,y,y
COLL-SD185718,1.3690476193333334,3.6666666666666665,2.3333333333333335,0,0,0,y,n
COLL-SD199224,3.001897533,7.5,7.5,8,10.5,7.5,y,y
CSUSB90239,2.885714286,4,9,12,7,3,y,y
CSUSB90327,3.2202380953333334,4.333333333333333,6.666666666666667,15,9.333333333333334,6.666666666666667,y,y
CSUSB90466,1.975284091,9.25,3,2,2,0.5,y,y
CSUSB91437,2.4,4,5,3,2,1,y,y
CSUSB91438,NA,NA,NA,NA,NA,NA,y,n
CSUSB91439,1.225,3.5,1,0,0,0,y,n
CSUSB91440,1.7772435894999998,10,5,1.5,2,0,y,y
CSUSB91441,2.538461538,42,37,15,11,25,y,y
CSUSB91442,NA,NA,NA,NA,NA,NA,y,n
CSUSB91443,1.5416666664999998,1.25,1,0,0,0,y,n
CSUSB91444,NA,NA,NA,NA,NA,NA,y,y
CSUSB93838,1.608695652,12,8,3,0,0,y,n
DAV300324,2.5595238095,2.5,4,6.5,2.5,0,y,y
DAV300325,1.2838383836666667,8,2.6666666666666665,0.3333333333333333,0,0,y,n
DAV300326,1.625,1.5,1.3333333333333333,0.16666666666666666,0.16666666666666666,0,y,y
DAV300327,NA,NA,NA,NA,NA,NA,y,y
DAV300328,3,1,1,1,3,0,y,y
DAV300330,2.230769231,8,8,6,4,0,y,y
DAV300331,3.473684211,3,1,3,8,4,y,y
DAV300333,NA,NA,NA,NA,NA,NA,y,y
DAV300334,NA,NA,NA,NA,NA,NA,y,y
DAV300335,NA,NA,NA,NA,NA,NA,y,n
DAV300336,1.9076479073333334,4,4,1,0.3333333333333333,0.6666666666666666,y,y
DAV300337,2.414634146,13,14,2,8,4,y,y
DAV300338,2.039682539666667,3,2,0.3333333333333333,1,0.3333333333333333,y,y
DAV300340,2.166666666625,0.625,0.875,0.125,0.125,0.125,y,y
DAV300341,2.4166666665000003,0.5,2,1,1,0,y,y
DAV300342,1.8977272725,3.5,3,0.5,0.5,0,y,y
DAV300343,3.1623376625,0.5,3,1,3.5,1,y,y
DAV300344,2.700892857,3.5,4,1.5,5.5,0.5,y,y
DAV300345,NA,NA,NA,NA,NA,NA,y,y
DAV300346,2.774193548,9,5,6,6,5,y,y
DAV300349,2,0,1,0,0,0,y,n
DAV300350,NA,NA,NA,NA,NA,NA,y,y
DAV300351,2.75,0.5,1.5,2,0.5,0.5,y,y
DAV300352,2.207142857,4,4,1,2.5,0.5,y,y
DAV300353,2.666666667,4,4,1,5,1,y,y
DAV300354,1.898148148,5.333333333333333,4.333333333333333,0.6666666666666666,1,0,y,y
DAV300355,2,0,1,0,0,0,y,n
DAV300356,3.2507122505,5,2,4.5,2,6.5,y,y
DAV300357,2.2355555553333337,6.666666666666667,5.333333333333333,2.3333333333333335,3.3333333333333335,0.6666666666666666,y,y
DAV300358,2.087878788,8.5,3,4.5,2.5,0,y,y
DAV300359,2.1217948719999997,3.5,3,2,0.5,0.5,y,y
DAV300360,1.888888889,1,2,0.3333333333333333,0,0,y,n
